鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
文山區,房地(土地+建物)+車位,臺北市文山區福興路106巷28弄1~30號,15.86,住,,,1090419,土地2建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981202,106.36,2,2,1,有,有,12000000,112824,坡道平面,36.58,0,,RPQSMLLKNHPFFAA97CA
中正區,房地(土地+建物),臺北市中正區和平西路一段31~60號,4.26,商,,,1090413,土地2建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0970513,38.17,1,1,1,有,有,11430000,299450,,0.0,0,含增建或未登記建物。;,RPPOMLMKNHPFFAA57CA
文山區,房地(土地+建物)+車位,臺北市文山區忠順街二段85巷1~30號,26.97,住,,,1090406,土地1建物1車位2,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020103,229.91,3,2,2,有,有,36000000,156583,坡道平面,40.7,0,含增建或未登記建物。;內含獨立產權車位，未包含在棟數內。,RPVOMLMKNHPFFAA18CA
文山區,房地(土地+建物),臺北市文山區福興路91~120號,10.32,住,,,1090317,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850503,37.31,2,1,1,有,有,5580000,149558,,0.0,0,含增建或未登記建物。;,RPPPMLMKNHPFFAA67CA
文山區,房地(土地+建物),臺北市文山區木柵路四段121~150號,39.64,其他,,,1090418,土地2建物1車位0,六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000214,131.14999999999998,3,2,2,有,有,23800000,181472,,0.0,0,,RPSPMLMKNHPFFAA97CA
文山區,房地(土地+建物),臺北市文山區樟新街56巷1~30號,44.57,住,,,1090328,土地3建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791127,123.66,3,2,2,有,無,18280000,147825,,0.0,0,含增建或未登記建物。;,RPWNMLNKNHPFFAA28CA
文山區,房地(土地+建物),臺北市文山區景中街30巷1~30號,9.19,其他,,,1090428,土地1建物1車位0,三層,七層,套房(1房1廳1衛),見使用執照,鋼筋混凝土造,0770212,62.86,1,1,1,有,有,4000000,63633,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLOKNHPFFAA97CA
文山區,房地(土地+建物),臺北市文山區木柵路四段159巷170弄1~30號,30.65,住,,,1090417,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711016,124.25,3,1,2,有,無,8000000,64386,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLQLNHPFFAA08CA
文山區,房地(土地+建物),臺北市文山區興隆路三段112巷4弄1~30號,9.84,住,,,1090417,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690201,30.16,5,2,2,有,無,2200000,72944,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSPMLTJOHPFFAA68CA
