編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPPMLMKNHPFFAA67CA,興泰段三小段,10.32,都市：住
RPSNMLOKNHPFFAA97CA,景美段五小段,9.19,都市：其他
RPVOMLMKNHPFFAA18CA,木柵段三小段,26.97,都市：住
RPQNMLQLNHPFFAA08CA,博嘉段四小段,28.08,都市：住
RPQNMLQLNHPFFAA08CA,博嘉段四小段,2.56,都市：其他
RPWNMLNKNHPFFAA28CA,實踐段三小段,21.55,都市：住
RPWNMLNKNHPFFAA28CA,實踐段三小段,15.16,都市：住
RPWNMLNKNHPFFAA28CA,實踐段三小段,7.86,都市：住
RPPOMLMKNHPFFAA57CA,南海段二小段,2.74,都市：商
RPPOMLMKNHPFFAA57CA,南海段二小段,1.52,都市：住
RPQNMLMKNHPFFBA67CA,圓環段一小段,12.47,都市：商
RPSPMLMKNHPFFAA97CA,萬芳段四小段,.03,都市：住
RPSPMLMKNHPFFAA97CA,萬芳段四小段,39.62,都市：其他
RPPNMLNKNHPFFBA67CA,雙園段三小段,27.50,都市：住
RPSPMLTJOHPFFAA68CA,興安段一小段,9.84,都市：住
RPTOMLMKNHPFFBA08CA,大同段二小段,27.33,都市：住
RPSNMLNKNHPFFBA97CA,莒光段三小段,12.12,都市：住
RPSNMLMKNHPFFBA87CA,文昌段一小段,29.25,都市：住
RPWNMLOKNHPFFBA48CA,延平段一小段,17.57,都市：其他
RPWNMLOKNHPFFBA48CA,延平段一小段,3.15,都市：商
RPTOMLLLNHPFFBA08CA,中正段一小段,2.93,都市：住
RPTOMLLLNHPFFBA08CA,中正段一小段,20.60,都市：住
RPPNMLLJOHPFFBA47CA,莒光段四小段,10.75,都市：商
RPPNMLLJOHPFFBA47CA,莒光段四小段,28.00,都市：住
RPQSMLLKNHPFFAA97CA,興泰段三小段,13.83,都市：住
RPQSMLLKNHPFFAA97CA,興泰段三小段,2.04,都市：住
RPQOMLMJOHPFFBA77CA,雙園段二小段,19.23,都市：住
RPTQMLLKNHPFFCA28CA,中山段一小段,3.56,都市：商
RPROMLMJOHPFFBA87CA,雙園段二小段,18.91,都市：住
RPWNMLMKNHPFFCA38CA,西湖段二小段,15.79,都市：住
RPSNMLMKNHPFFCA97CA,東湖段四小段,29.68,都市：住
RPWQMLLKNHPFFCA58CA,中山段一小段,4.14,都市：商
RPXNMLMKNHPFFCA48CA,西湖段一小段,24.62,都市：住
RPWPMLLKNHPFFCA48CA,吉林段三小段,4.70,都市：商
RPVNMLMKNHPFFCA28CA,石潭段四小段,6.06,都市：商
RPPOMLMKNHPFFCA77CA,西湖段一小段,41.75,都市：住
RPRPMLPJOHPFFCA38CA,碧山段三小段,13.91,都市：其他
RPQPMLMKNHPFFCA97CA,長春段二小段,5.47,都市：商
RPQPMLMKNHPFFCA97CA,長春段二小段,.60,都市：商
RPQPMLMKNHPFFCA97CA,長春段二小段,.46,都市：商
RPROMLTKNHPFFCA68CA,吉林段三小段,.10,都市：其他
RPROMLTKNHPFFCA68CA,吉林段三小段,.01,都市：商
RPROMLTKNHPFFCA68CA,吉林段三小段,2.76,都市：商
RPQOMLTLNHPFFBA58CA,臨沂段四小段,21.86,都市：住
RPQOMLTLNHPFFBA58CA,臨沂段四小段,32.29,都市：住
RPVPMLMKNHPFFCA48CA,長安段四小段,14.39,都市：商
RPQRMLOKNHPFFCA38CA,大湖段二小段,3.82,都市：住
RPQRMLOKNHPFFCA38CA,大湖段二小段,39.20,都市：住
RPQRMLOKNHPFFCA38CA,大湖段二小段,33.47,都市：住
RPQRMLOKNHPFFCA38CA,大湖段二小段,11.55,都市：住
RPUPMLPJOHPFFCA68CA,碧山段三小段,15.47,都市：其他
RPURMLKLNHPFFCA48CA,潭美段三小段,164.00,都市：工
RPPNMLPJOHPFFBA87CA,雙園段二小段,18.91,都市：住
RPXPMLKLNHPFFCA58CA,石潭段三小段,4.57,都市：住
RPXPMLKLNHPFFCA58CA,石潭段三小段,14.97,都市：住
RPSOMLSLNHPFFCA78CA,德惠段四小段,13.00,都市：商
RPQOMLOKNHPFFDA18CA,和段二小段,2.71,都市：住
RPQOMLOKNHPFFDA18CA,和段二小段,2.85,都市：住
RPQOMLOKNHPFFDA18CA,和段二小段,2.66,都市：住
RPXPMLPJOHPFFCA98CA,碧山段三小段,37.31,都市：其他
RPROMLLKNHPFFDA97CA,吳興段三小段,27.00,都市：住
RPTOMLOKNHPFFDA48CA,和段二小段,5.20,都市：住
RPTOMLOKNHPFFDA48CA,和段二小段,3.87,都市：住
RPTOMLOKNHPFFDA48CA,和段二小段,5.47,都市：住
RPTOMLMKNHPFFDA28CA,寶清段二小段,11.85,都市：商
RPQNMLNKNHPFFDA97CA,新光段三小段,26.57,都市：住
RPUOMLOKNHPFFDA58CA,和段二小段,2.60,都市：住
RPUOMLOKNHPFFDA58CA,和段二小段,1.93,都市：住
RPUOMLOKNHPFFDA58CA,和段二小段,2.73,都市：住
RPTPMLLKNHPFFDA28CA,福德段一小段,21.07,都市：住
RPOPMLOKNHPFFDA08CA,和段二小段,8.67,都市：住
RPOPMLOKNHPFFDA08CA,和段二小段,6.44,都市：住
RPOPMLOKNHPFFDA08CA,和段二小段,9.11,都市：住
RPQPMLOKNHPFFDA28CA,和段二小段,8.56,都市：住
RPQPMLOKNHPFFDA28CA,和段二小段,9.00,都市：住
RPQPMLOKNHPFFDA28CA,和段二小段,5.72,都市：住
RPVPMLNKNHPFFDA68CA,民生段,36.50,都市：住
RPQOMLSJOHPFFDA58CA,敦化段三小段,3.35,都市：商
RPSNMLMKNHPFFEA18CA,立農段三小段,33.00,都市：住
RPWPMLNKNHPFFDA78CA,南港段一小段,30.10,都市：住
RPPPMLMJOHPFFDA97CA,福德段二小段,21.44,都市：住
RPPPMLLKNHPFFEA97CA,立農段五小段,9.15,都市：住
RPPPMLLKNHPFFEA97CA,立農段五小段,.03,都市：住
RPXNMLMKNHPFFEA68CA,行義段二小段,21.66,都市：住
RPROMLPKNHPFFFA58CA,懷生段四小段,.05,都市：住
RPVOMLMKNHPFFEA58CA,芝蘭段一小段,29.00,都市：住
RPVOMLMKNHPFFEA58CA,芝蘭段一小段,26.92,都市：住
RPRNMLNKNHPFFEA18CA,光華段三小段,17.53,都市：商
RPWOMLNKNHPFFEA78CA,福林段二小段,188.77,都市：住
RPWNMLMKNHPFFFA68CA,瑞安段一小段,28.05,都市：住
RPPRMLLKNHPFFFA28CA,懷生段四小段,20.38,都市：住
RPQOMLNKNHPFFFA28CA,通化段二小段,.06,都市：商
RPQOMLNKNHPFFFA28CA,通化段二小段,.01,都市：商
RPVQMLLKNHPFFFA78CA,金華段二小段,30.30,都市：住
RPTNMLOKNHPFFAA18DA,景美段一小段,9.14,都市：住
RPXOMLKLNHPFFAA38DA,景美段四小段,.17,都市：商
RPXOMLKLNHPFFAA38DA,景美段四小段,.04,都市：商
RPXOMLKLNHPFFAA38DA,景美段五小段,5.45,都市：商
RPTOMLPKNHPFFBA48DA,中正段三小段,11.25,都市：住
RPPPMLPLNHPFFAA18DA,河堤段五小段,3.54,都市：商
RPPPMLPLNHPFFAA18DA,河堤段五小段,.56,都市：住
