鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西區,房地(土地+建物),臺中市西區美村路一段181~210號,28.34,住,,,1090331,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0710820,141.71,4,2,2,有,有,7500000,52925,,0.0,0,,RPVOMLLKNHPFFAB18CA
西區,房地(土地+建物),臺中市西區梅川西路一段91~120號,52.0,住,,,1090331,土地1建物1車位0,全,二層,透天厝,住家用,磚造,0570513,91.8,2,2,2,有,無,10500000,114379,,0.0,0,,RPPNMLMKNHPFFAB57CA
南區,房地(土地+建物)+車位,臺中市南區建國南路一段211~240號,23.4,住,,,1090418,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020625,212.73,4,2,2,有,有,14500000,68162,坡道平面,24.05,0,,RPUNMLMKNHPFFAB08CA
西區,房地(土地+建物),臺中市西區東興路三段91~120號,84.0,住,,,1090403,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0700529,211.61,4,3,3,有,無,25000000,118142,,0.0,0,,RPSOMLMKNHPFFAB97CA
南區,房地(土地+建物)+車位,臺中市南區文心南路871~900號,18.02,住,,,1090408,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000127,171.93,3,2,2,有,有,12000000,69796,坡道機械,9.82,0,,RPWNMLNKNHPFFAB38CA
南區,房地(土地+建物)+車位,臺中市南區南和路151~180號,7.98,住,,,1090414,土地1建物1車位1,二十一層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840315,117.31,3,2,2,有,有,6120000,52169,坡道機械,0.0,0,,RPOPMLNKNHPFFAB77CA
西區,房地(土地+建物),臺中市西區向上路一段1~30號,2.71,商,,,1090425,土地2建物1車位0,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830924,26.279999999999998,1,1,1,有,有,1680000,63927,,0.0,0,,RPSPMLNKNHPFFAB18CA
西區,房地(土地+建物),臺中市西區大忠南街86巷1~30號,85.0,住,,,1090306,土地1建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0610724,49.73,2,1,1,有,無,11300000,227227,,0.0,0,,RPWPMLNKNHPFFAB58CA
南區,房地(土地+建物)+車位,臺中市南區忠明南路901~930號,10.16,住,,,1090212,土地2建物1車位1,二十三層,二十七層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0840525,170.66,3,2,2,有,有,7500000,43947,坡道機械,0.0,0,,RPSNMLOKNHPFFAB08CA
西區,房地(土地+建物),臺中市西區向上路一段451~480號,14.36,住,,,1090412,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861205,130.36,3,2,2,有,有,7400000,56766,,0.0,0,,RPUOMLOKNHPFFAB38CA
南區,房地(土地+建物)+車位,臺中市南區忠明南路781~810號,8.13,商,,,1090405,土地2建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0931224,120.64999999999999,2,2,1,有,有,7400000,61334,坡道平面,26.58,0,,RPXOMLOKNHPFFAB68CA
西區,房地(土地+建物),臺中市西區華美街151~180號,92.0,商,,,1090316,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0760720,282.16,5,2,4,有,無,6510000,23072,,0.0,0,親友、員工或其他特殊關係間之交易。;二親等間之買賣,RPUPMLPKNHPFFAB58CA
西區,房地(土地+建物)+車位,臺中市西區五權三街55巷1~30號,43.15,住,,,1090325,土地1建物1車位2,六層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060919,284.92999999999995,3,2,4,有,有,31500000,134886,坡道平面,78.83,3700000,,RPRNMLQKNHPFFAB18CA
西區,房地(土地+建物)+車位,臺中市西區忠勤街301~330號,24.33,住,,,1090406,土地2建物2車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820720,144.02,3,2,2,有,有,6800000,47216,升降機械,0.0,0,,RPROMLSKNHPFFAB48CA
中區,房地(土地+建物),臺中市中區臺灣大道一段301~330號,4.15,商,,,1090422,土地2建物1車位0,七層,十二層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0810914,41.769999999999996,1,1,1,有,有,1780000,42614,,0.0,0,,RPVOMLTKNHPFFAB98CA
南區,房地(土地+建物),臺中市南區工學二街91~120號,18.08,住,,,1090414,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870930,106.8,3,2,2,有,有,5500000,51498,,0.0,0,,RPVNMLRLNHPFFAB78CA
南區,車位,臺中市南區東興路一段31~60號,0.0,,,,1090428,土地0建物0車位1,,,其他,,,,13.86,0,0,0,有,有,30000,,坡道機械,13.86,30000,單獨車位交易。;,RPQQMLTLNHPFFAB78CA
南區,車位,臺中市南區東興路一段31~60號,0.0,,,,1090428,土地0建物0車位1,,,其他,,,,13.86,0,0,0,有,有,30000,,坡道機械,13.86,30000,單獨車位交易。;,RPTQMLTLNHPFFAB09CA
東區,房地(土地+建物),臺中市東區進德路20巷1~30號,33.45,住,,,1090304,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0800321,93.51,4,0,4,有,有,6400000,68442,,0.0,0,,RPPNMLNJOHPFFAB67CA
北屯區,土地,景東段121~150地號,319.08,住,,,1090324,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,31000000,97154,,0.0,0,,RPVRMLLKNHPFFBB58CA
北屯區,房地(土地+建物)+車位,臺中市北屯區旅順路一段1~30號,14.38,住,,,1090415,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820310,136.4,3,2,2,有,有,6600000,48387,坡道機械,0.0,0,,RPQNMLNKNHPFFBB87CA
北屯區,土地,和平段331~360地號,355.36,住,,,1090418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,35000000,98492,,0.0,0,,RPVNMLNKNHPFFBB38CA
北屯區,房地(土地+建物),臺中市北屯區平德路31~60號,22.8,住,,,1090401,土地1建物1車位0,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821026,131.53,3,2,2,有,有,6650000,50559,,0.0,0,含增建或未登記建物。;,RPPOMLNKNHPFFBB87CA
北屯區,土地,仁德段991~1020地號,24.0,其他,,,1090326,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1161600,48400,,0.0,0,,RPOPMLNKNHPFFBB87CA
北屯區,土地,仁德段961~990地號,139.0,住,,,1090326,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18921375,136125,,0.0,0,,SPOPMLNKNHPFFBB97CA
北屯區,土地,軍和段91~120地號,1239.49,住,,,1090423,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,99000000,79872,,0.0,0,,RPVPMLOKNHPFFBB68CA
北屯區,房地(土地+建物)+車位,臺中市北屯區昌平路一段91~120號,21.94,商,,,1090321,土地1建物1車位1,四層,十四層,辦公商業大樓,商業用,鋼筋混凝土造,0791130,160.09,0,0,0,無,有,5300000,33106,坡道平面,0.0,0,,RPTRMLOKNHPFFBB68CA
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹路一段931~960號,21.27,住,,,1090411,土地1建物1車位1,四層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070801,171.19,3,2,2,有,有,11630000,76900,坡道平面,35.56,1200000,,RPUNMLPKNHPFFBB48CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太原路三段345巷1~30號,18.02,住,,,1090323,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0870506,137.67,4,2,2,有,有,7460000,54184,升降機械,8.3,0,,RPOQMLPKNHPFFBB18CA
北屯區,房地(土地+建物),臺中市北屯區軍福十三路391~420號,242.98,住,,,1090421,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050127,422.02,6,3,7,有,無,31450000,74523,,0.0,0,,RPQNMLQKNHPFFBB18CA
