編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLNKNHPFFAB38CA,9,110.49,見其他登記事項,鋼筋混凝土造,100年1月27日,十五層,五層
RPWNMLNKNHPFFAB38CA,9,9.00,見其他登記事項,鋼筋混凝土造,100年1月27日,十五層,
RPWNMLNKNHPFFAB38CA,9,34.77,見其他登記事項,鋼筋混凝土造,100年1月27日,十五層,
RPWNMLNKNHPFFAB38CA,9,17.67,見其他登記事項,鋼筋混凝土造,100年1月27日,十五層,
RPSOMLMKNHPFFAB97CA,39,211.61,住商用,鋼筋混凝土造,70年5月29日,三層,一層 二層 三層 騎樓 地下層
RPWPMLNKNHPFFAB58CA,48,49.73,住家用,見其他登記事項,61年7月24日,一層,一層
RPSPMLNKNHPFFAB18CA,26,19.74,住家用,鋼筋混凝土造,83年9月24日,十三層,十一層
RPSPMLNKNHPFFAB18CA,26,6.54,見其他登記事項,鋼筋混凝土造,83年9月24日,十三層,
RPUNMLMKNHPFFAB08CA,7,129.60,見其他登記事項,鋼筋混凝土造,102年6月25日,十五層,十一層
RPUNMLMKNHPFFAB08CA,7,83.13,見其他登記事項,鋼筋混凝土造,102年6月25日,十五層,
RPPNMLMKNHPFFAB57CA,52,91.80,住家用,磚造,57年5月13日,二層,一層 二層 騎樓
RPVOMLLKNHPFFAB18CA,38,123.14,見其他登記事項,鋼筋混凝土造,71年8月20日,七層,五層
RPVOMLLKNHPFFAB18CA,38,5.35,見其他登記事項,鋼筋混凝土造,71年8月20日,七層,
RPVOMLLKNHPFFAB18CA,38,13.22,共有部份,鋼筋混凝土造,71年8月20日,七層,
RPOPMLNKNHPFFAB77CA,25,84.87,住家用,鋼筋混凝土造,84年3月15日,二十二層,二十一層
RPOPMLNKNHPFFAB77CA,25,6.23,停車空間,鋼筋混凝土造,84年3月15日,二十二層,
RPOPMLNKNHPFFAB77CA,25,26.22,見其他登記事項,鋼筋混凝土造,84年3月15日,二十二層,
