鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
清水區,房地(土地+建物)+車位,市鎮北段1~30地號,14.61,商,,,1080807,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,160.08,3,2,2,有,無,6050000,40429,坡道平面,33.19,920000,,RPOOMLOKNHPFFFB38CB
清水區,房地(土地+建物)+車位,市鎮北段1~30地號,14.61,商,,,1080625,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,153.21,3,2,2,有,無,6150000,44527,坡道機械,26.32,500000,含裝潢含家電,RPPOMLOKNHPFFFB48CB
清水區,房地(土地+建物)+車位,市鎮北段1~30地號,14.61,商,,,1080607,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,160.08,1,1,1,有,無,5930000,39877,坡道平面,33.19,870000,含家電,RPQOMLOKNHPFFFB58CB
清水區,房地(土地+建物)+車位,市鎮北段1~30地號,14.61,商,,,1081016,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,153.21,3,2,2,有,無,5800000,41374,坡道機械,26.32,550000,,RPROMLOKNHPFFFB68CB
清水區,房地(土地+建物)+車位,市鎮北段1~30地號,14.61,商,,,1081025,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,153.21,3,2,2,有,無,5680000,40429,坡道機械,26.32,550000,,RPSOMLOKNHPFFFB78CB
清水區,房地(土地+建物)+車位,市鎮北段1~30地號,14.61,商,,,1080927,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,160.08,3,2,2,有,無,5980000,40586,坡道平面,33.19,830000,,RPUNMLPKNHPFFFB98CB
清水區,房地(土地+建物)+車位,市鎮北段1~30地號,14.61,商,,,1080304,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,153.21,3,2,2,有,無,5450000,39010,坡道機械,26.32,500000,含家電,RPVNMLPKNHPFFFB09CB
清水區,房地(土地+建物)+車位,市鎮北段1~30地號,14.61,商,,,1070830,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,160.38,3,2,2,有,無,5620000,37684,坡道平面,33.27,830000,,RPWNMLPKNHPFFFB56CB
清水區,房地(土地+建物)+車位,市鎮北段1~30地號,14.61,商,,,1071020,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,160.38,3,2,2,有,無,5600000,37527,坡道平面,33.27,830000,,RPOOMLPKNHPFFFB48CB
清水區,房地(土地+建物)+車位,市鎮北段1~30地號,14.61,商,,,1070921,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,153.99,3,2,2,有,無,5500000,38943,坡道機械,26.88,550000,含家電,RPPOMLPKNHPFFFB58CB
清水區,房地(土地+建物)+車位,市鎮北段1~30地號,14.61,商,,,1070929,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,160.38,3,2,2,有,無,5820000,39257,坡道平面,33.27,830000,,RPQOMLPKNHPFFFB68CB
清水區,房地(土地+建物)+車位,市鎮北段1~30地號,14.87,商,,,1071016,土地1建物1車位2,七層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,179.87,3,2,2,有,無,5800000,37369,坡道機械,52.76,1050000,,RPROMLPKNHPFFFB78CB
清水區,房地(土地+建物)+車位,市鎮北段1~30地號,14.61,商,,,1071130,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,153.49,3,2,2,有,無,5600000,40123,坡道機械,26.38,500000,,RPSOMLPKNHPFFFB88CB
清水區,房地(土地+建物)+車位,市鎮北段1~30地號,14.61,商,,,1081107,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,160.08,3,2,2,有,無,5950000,40035,坡道平面,33.19,870000,,RPUOMLPKNHPFFFB09CB
