編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPVNMLPKNHPFFFB09CB,坡道機械,500000,26.32
RPUNMLPKNHPFFFB98CB,坡道平面,830000,33.19
RPOOMLPKNHPFFFB48CB,坡道平面,830000,33.27
RPPOMLOKNHPFFFB48CB,坡道機械,500000,26.32
RPSOMLOKNHPFFFB78CB,坡道機械,550000,26.32
RPOOMLOKNHPFFFB38CB,坡道平面,920000,33.19
RPROMLOKNHPFFFB68CB,坡道機械,550000,26.32
RPWNMLPKNHPFFFB56CB,坡道平面,830000,33.27
RPPOMLPKNHPFFFB58CB,坡道機械,550000,26.88
RPQOMLOKNHPFFFB58CB,坡道平面,870000,33.19
RPSOMLPKNHPFFFB88CB,坡道機械,500000,26.38
RPQOMLPKNHPFFFB68CB,坡道平面,830000,33.27
RPROMLPKNHPFFFB78CB,坡道機械,550000,26.38
RPROMLPKNHPFFFB78CB,坡道機械,500000,26.38
RPUOMLPKNHPFFFB09CB,坡道平面,870000,33.19
