編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXNMLLKNHPFFCB68CC,28,382.79,見其他登記事項,見其他登記事項,80年11月25日,十二層,
RPXNMLLKNHPFFCB68CC,28,449.51,見其他登記事項,見其他登記事項,80年11月25日,十二層,
RPXNMLLKNHPFFCB68CC,28,455.94,見其他登記事項,見其他登記事項,80年11月25日,十二層,
RPTOMLLKNHPFFCB38CC,3,41.37,見其他登記事項,鋼筋混凝土造,106年8月17日,十一層,
RPXOMLLKNHPFFBB68CC,28,316.13,住商用,鋼筋混凝土造,80年12月7日,十六層,
RPXOMLLKNHPFFBB68CC,28,72.76,共有部份,鋼筋混凝土造,80年12月7日,十六層,
RPXOMLLKNHPFFBB68CC,28,11.15,見其他登記事項,鋼筋混凝土造,80年12月7日,十六層,
RPQPMLLKNHPFFCB18CC,29,109.15,住家用,鋼筋混凝土造,80年6月11日,七層,
RPQPMLLKNHPFFCB18CC,29,25.05,共有部分,鋼筋混凝土造,80年6月11日,七層,
RPWNMLLKNHPFFAB38CC,36,162.33,住商用,鋼筋混凝土造,73年7月26日,十一層,
RPWNMLLKNHPFFAB38CC,14,16.85,見其他登記事項,鋼筋混凝土造,95年1月5日,十一層,
RPXQMLLKNHPFFBB88CC,27,121.94,國民住宅,鋼筋混凝土造,82年5月3日,十二層,
RPURMLLKNHPFFBB68CC,1,50.21,見其他登記事項,鋼筋混凝土造,108年5月13日,二十一層,
RPURMLLKNHPFFBB68CC,1,5.44,見其他登記事項,鋼筋混凝土造,108年5月13日,二十二層,
RPURMLLKNHPFFBB68CC,1,17.06,見其他登記事項,鋼筋混凝土造,108年5月13日,二十一層,
RPVQMLLKNHPFFBB68CC,1,50.21,見其他登記事項,鋼筋混凝土造,108年5月13日,二十一層,
RPVQMLLKNHPFFBB68CC,1,5.44,見其他登記事項,鋼筋混凝土造,108年5月13日,二十二層,
RPVQMLLKNHPFFBB68CC,1,17.06,見其他登記事項,鋼筋混凝土造,108年5月13日,二十一層,
RPSOMLLKNHPFFCB28CC,3,34.43,見其他登記事項,鋼筋混凝土造,106年8月17日,十一層,
