編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLMKNHPFFBC77CA,,27.84,住家用,加強磚造,,二層,一層 二層
RPOOMLMKNHPFFBC77CA,21,67.10,住家用,鋼筋混凝土造,88年1月14日,十六層,十四層
RPOOMLMKNHPFFBC77CA,21,16.10,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPOOMLMKNHPFFBC77CA,21,.83,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPOOMLMKNHPFFBC77CA,21,3.83,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPOOMLMKNHPFFBC77CA,21,1.56,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPOOMLMKNHPFFBC77CA,21,.74,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPPNMLSKNHPFFBC38CA,24,76.43,住家用,鋼筋混凝土造,84年11月16日,五層,一層
RPPNMLSKNHPFFBC38CA,24,10.29,共用部份,鋼筋混凝土造,84年11月16日,五層,
RPPNMLNLNHPFFBC97CA,21,36.54,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPTNMLMLNHPFFBC28CA,24,116.21,住家用,鋼筋混凝土造,85年4月26日,十六層,十六層
RPTNMLMLNHPFFBC28CA,24,12.45,共用部份,鋼筋混凝土造,85年4月26日,十六層,
RPTNMLMLNHPFFBC28CA,24,35.41,共用部份,鋼筋混凝土造,85年4月26日,十六層,
RPTNMLPLNHPFFBC58CA,2,55.06,見其他登記事項,鋼筋混凝土造,106年11月9日,十層,三層
RPTNMLPLNHPFFBC58CA,2,27.78,見其他登記事項,鋼筋混凝土造,106年11月9日,十層,
RPROMLOJOHPFFBC28CA,,119.84,見其他登記事項,鋼筋混凝土造,108年12月6日,七層,三層 四層
RPROMLOJOHPFFBC28CA,,85.92,見其他登記事項,鋼筋混凝土造,108年12月6日,九層,
RPQOMLOJOHPFFBC18CA,,120.84,見其他登記事項,鋼筋混凝土造,108年12月6日,九層,一層 二層
RPQOMLOJOHPFFBC18CA,,85.14,見其他登記事項,鋼筋混凝土造,108年12月6日,九層,
RPSOMLOJOHPFFBC38CA,,120.84,見其他登記事項,鋼筋混凝土造,108年12月6日,七層,一層 二層
RPSOMLOJOHPFFBC38CA,,42.41,見其他登記事項,鋼筋混凝土造,108年12月6日,七層,
RPTOMLOJOHPFFBC48CA,,121.57,見其他登記事項,鋼筋混凝土造,108年12月6日,七層,一層 二層
RPTOMLOJOHPFFBC48CA,,92.83,見其他登記事項,鋼筋混凝土造,108年12月6日,七層,
RPRNMLPJOHPFFBC28CA,,121.04,見其他登記事項,鋼筋混凝土造,108年12月6日,七層,一層 二層
RPRNMLPJOHPFFBC28CA,,92.83,見其他登記事項,鋼筋混凝土造,108年12月6日,七層,
RPTNMLMKNHPFFCC28CA,13,21.52,住家用,鋼筋混凝土造,96年8月10日,六層,五層
RPTNMLMKNHPFFCC28CA,13,6.22,共用部份,鋼筋混凝土造,96年8月10日,六層,
RPTNMLMKNHPFFCC28CA,13,9.23,共用部份,鋼筋混凝土造,96年8月10日,六層,
RPOOMLNKNHPFFCC97CA,25,101.79,住家用,鋼筋混凝土造,84年7月1日,十二層,三層
RPOOMLNKNHPFFCC97CA,25,9.25,共用部份,鋼筋混凝土造,84年7月1日,十二層,
RPOOMLNKNHPFFCC97CA,25,19.91,共用部份,鋼筋混凝土造,84年7月1日,十二層,
RPTOMLNKNHPFFCC48CA,8,131.92,見其他登記事項,鋼筋混凝土造,101年3月22日,五層,四層
RPTOMLNKNHPFFCC48CA,8,37.23,見其他登記事項,鋼筋混凝土造,101年3月22日,五層,
RPTOMLNKNHPFFCC48CA,8,2.36,見其他登記事項,鋼筋混凝土造,101年3月22日,五層,
RPSNMLOKNHPFFCC38CA,13,21.52,住家用,鋼筋混凝土造,96年8月10日,六層,五層
RPSNMLOKNHPFFCC38CA,13,6.22,共用部份,鋼筋混凝土造,96年8月10日,六層,
RPSNMLOKNHPFFCC38CA,13,9.23,共用部份,鋼筋混凝土造,96年8月10日,六層,
RPRNMLOKNHPFFCC48EA,23,22.30,住家用,鋼筋混凝土造,86年1月17日,二十層,十五層
RPRNMLOKNHPFFCC48EA,23,5.80,共用部份,鋼筋混凝土造,86年1月17日,二十層,
RPRNMLOKNHPFFCC48EA,23,.42,共用部份,鋼筋混凝土造,86年1月17日,二十層,
RPWNMLMLNHPFFCC88EA,1,129.89,見其他登記事項,鋼筋混凝土造,108年7月23日,十二層,二層
RPWNMLMLNHPFFCC88EA,1,117.18,見其他登記事項,鋼筋混凝土造,108年7月23日,十二層,
