編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOOMLMKNHPFFBC77CA,長潭段,1.52,都市：住
RPOOMLMKNHPFFBC77CA,長潭段,15.24,都市：住
RPPNMLSKNHPFFBC38CA,光明段,26.63,都市：住
RPPNMLSKNHPFFBC38CA,光明段,.02,都市：其他
RPPNMLSKNHPFFBC38CA,光明段,.15,都市：其他
RPPNMLSKNHPFFBC38CA,光明段,.03,都市：其他
RPPNMLSKNHPFFBC38CA,光明段,.07,都市：其他
RPPNMLSKNHPFFBC38CA,光明段,.04,都市：其他
RPTNMLMLNHPFFBC28CA,深美段,.13,都市：其他
RPTNMLMLNHPFFBC28CA,深美段,1.25,都市：住
RPTNMLMLNHPFFBC28CA,祥豐段,.21,都市：住
RPTNMLMLNHPFFBC28CA,深美段,23.81,都市：住
RPTNMLPLNHPFFBC58CA,深澳段,24.51,都市：住
RPROMLOJOHPFFBC28CA,深美段,56.28,都市：住
RPQOMLOJOHPFFBC18CA,深美段,56.28,都市：住
RPSOMLOJOHPFFBC38CA,深美段,51.26,都市：住
RPTOMLOJOHPFFBC48CA,深美段,56.79,都市：住
RPRNMLPJOHPFFBC28CA,深美段,56.79,都市：住
RPTNMLMKNHPFFCC28CA,德育段,11.17,都市：住
RPTNMLMKNHPFFCC28CA,德育段,.97,都市：住
RPTNMLMKNHPFFCC28CA,德育段,.02,都市：住
RPOOMLNKNHPFFCC97CA,大武崙段內寮小段,19.89,都市：其他
RPOOMLNKNHPFFCC97CA,大武崙段內寮小段,1.78,都市：住
RPPNMLQLNHPFFCC38CA,溪頭段,1.27,都市：其他
RPPNMLQLNHPFFCC38CA,溪頭段,9.26,都市：其他
RPPNMLQLNHPFFCC38CA,台五線段,9.21,都市：工
RPTOMLNKNHPFFCC48CA,暖暖段暖暖小段,48.60,都市：住
RPSNMLOKNHPFFCC38CA,德育段,11.17,都市：住
