編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLMKNHPFFCC08CC,工建段,17.77,都市：住
RPRNMLKLNHPFFCC18CC,五堵段五堵北小段,410.00,都市：住
RPRNMLKLNHPFFCC18CC,五堵段五堵北小段,1539.00,都市：住
RPRNMLKLNHPFFCC18CC,五堵段五堵北小段,1398.00,都市：住
RPRNMLKLNHPFFCC18CC,五堵段五堵北小段,800.00,都市：住
RPRNMLKLNHPFFCC18CC,五堵段五堵北小段,626.00,都市：住
RPXNMLKLNHPFFCC88DC,麥金段,6.82,都市：住
RPXNMLKLNHPFFCC88DC,麥金段,.01,都市：住
RPXNMLKLNHPFFCC88DC,麥金段,.00,都市：住
RPRNMLOKNHPFFBC38CC,福祿段,51.00,都市：商
RPRNMLOKNHPFFBC38CC,福祿段,1.00,都市：商
RPRNMLOKNHPFFBC38CC,福祿段,49.00,都市：商
RPRNMLOKNHPFFBC38CC,福祿段,1.00,都市：商
RPRNMLOKNHPFFBC38CC,福祿段,4.00,都市：其他
RPSNMLMKNHPFFBC28CC,調和段,.00,都市：住
RPTNMLMKNHPFFBC38CC,港濱段,.00,都市：住
RPRNMLMKNHPFFBC18CC,調和段,.00,都市：住
RPUNMLMKNHPFFBC48CC,田寮段,.00,都市：商
RPUNMLMKNHPFFBC48CC,田寮段,.00,都市：商
RPUNMLMKNHPFFBC48CC,田寮段,.00,都市：商
RPUNMLMKNHPFFBC48CC,田寮段,.00,都市：商
RPUNMLMKNHPFFBC48CC,田寮段,.00,都市：商
RPUNMLMKNHPFFBC48CC,田寮段,.00,都市：商
