編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLNKNHPFFAD97CA,新臨安段,12.79,都市：其他
RPQNMLNKNHPFFAD97CA,新臨安段,35.06,都市：其他
RPQNMLNKNHPFFAD97CA,新臨安段,35.64,都市：其他
RPQNMLNKNHPFFAD97CA,新臨安段,61.96,都市：其他
RPQNMLNKNHPFFAD97CA,新臨安段,40.87,都市：其他
RPQNMLNKNHPFFAD97CA,新臨安段,36.89,都市：其他
RPQNMLNKNHPFFAD97CA,新臨安段,62.02,都市：其他
RPQNMLNKNHPFFAD97CA,新臨安段,36.50,都市：其他
RPOPMLKLNHPFFAD77CA,頂美段,191.98,都市：住
RPOPMLKLNHPFFAD77CA,頂美段,191.22,都市：住
RPOPMLKLNHPFFAD77CA,頂美段,214.53,都市：住
RPOPMLKLNHPFFAD77CA,頂美段,180.29,都市：住
RPOPMLKLNHPFFAD77CA,頂美段,185.73,都市：住
RPPQMLSKNHPFFAD68CA,正興段,19.42,都市：商
RPPOMLNKNHPFFAD97CA,新南段,84.00,都市：住
RPOOMLMKNHPFFAD77CA,金華段,8.54,都市：住
RPXNMLOKNHPFFAD78CA,開元段,.02,都市：其他
RPXNMLOKNHPFFAD78CA,開元段,6.11,都市：商
RPXNMLOKNHPFFAD78CA,開元段,.29,都市：住
RPUNMLNJOHPFFAD38CA,海興段,188.00,都市：住
RPPOMLMKNHPFFAD87CA,金華段,8.54,都市：住
RPVOMLLLNHPFFAD48CA,星鑽段,56.65,都市：住
RPUNMLMKNHPFFBD38CA,和工段,.69,都市：其他
RPUNMLMKNHPFFBD38CA,和工段,118.65,都市：其他
RPVNMLMKNHPFFBD48CA,和工段,442.39,都市：其他
RPVNMLMKNHPFFBD48CA,和工段,747.08,都市：其他
RPVNMLMKNHPFFBD48CA,和工段,512.61,都市：其他
RPVNMLMKNHPFFBD48CA,和工段,2.40,都市：其他
RPVNMLMKNHPFFBD48CA,和工段,54.91,都市：其他
RPVNMLMKNHPFFBD48CA,和工段,49.36,都市：其他
RPPQMLMLNHPFFAD18CA,正覺段,96.65,都市：住
RPOOMLLKNHPFFBD77CA,學北段,78.96,都市：住
