鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鼓山區,房地(土地+建物)+車位,高雄市鼓山區明倫路121~150號,17.2,商,,,1090221,土地1建物2車位1,一層，二層，騎樓,十二層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0840623,182.32,2,2,2,有,無,25000000,137122,升降機械,0.0,0,,RPTNMLLKNHPFFAE18CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區昌盛路1~30號,7.55,商,,,1090410,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880930,77.42,2,1,1,有,有,5120000,66133,坡道機械,0.0,800000,,RPVNMLLKNHPFFAE38CA
鹽埕區,建物,高雄市鹽埕區北斗街1~30號,0.0,,,,1090511,土地0建物1車位0,九層,十六層,套房(1房1廳1衛),,鋼筋混凝土造,0750217,50.08,1,1,1,有,有,680000,13578,,0.0,0,,RPUNMLMKNHPFFAE38CA
鹽埕區,建物,高雄市鹽埕區大義街91~120號,0.0,,,,1081216,土地0建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0701003,37.68,1,1,1,有,有,190000,5042,,0.0,0,,RPUNMLOKNHPFFAE58CA
前金區,房地(土地+建物)+車位,高雄市前金區河南二路151~180號,9.5,住,,,1090417,土地2建物1車位1,四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841219,99.27,2,2,1,有,有,4500000,45331,坡道機械,0.0,0,,RPTOMLOKNHPFFAE58CA
前金區,房地(土地+建物),高雄市前金區光明街1~30號,16.68,商,,,1090315,土地3建物1車位0,七層,八層,華廈(10層含以下有電梯),,鋼筋混凝土造,0690424,84.12,3,2,2,有,有,4020000,47789,,0.0,0,,RPUNMLNKNHPFFAE48CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區河西一路1441~1470號,29.17,住,,,1090212,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960328,212.22,4,2,2,有,有,17080000,80483,坡道平面,24.75,0,,RPPNMLQKNHPFFAE28CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區裕誠路1681~1710號,21.36,商,,,1090325,土地1建物1車位2,十八層,三十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1040915,372.89,4,2,2,有,有,32000000,85816,坡道平面,39.5,0,親友、員工或其他特殊關係間之交易。;,RPSNMLLLNHPFFAE18CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路361~390號,35.04,住,,,1090403,土地1建物1車位3,十四層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1060601,389.69,3,2,2,有,有,36000000,98166,坡道平面,81.03,5700000,,RPRNMLPLNHPFFAE48CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區神農路61~90號,35.99,商,,,1090108,土地1建物1車位4,二十二層,三十六層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1041104,601.56,0,0,0,無,有,102800000,176067,坡道平面,76.76,10400000,,RPWNMLTLNHPFFAE76CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區青海路31~60號,28.14,住,,,1090309,土地1建物1車位1,二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020619,269.78999999999996,4,2,3,有,有,17800000,65977,坡道平面,0.0,0,,RPQNMLPJOHPFFAE28CA
