編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPTOMLOKNHPFFAE58CA,坡道機械,0,
RPPNMLQKNHPFFAE28CA,坡道平面,0,24.75
RPTNMLLKNHPFFAE18CA,升降機械,0,
RPRNMLPLNHPFFAE48CA,坡道平面,1900000,27.01
RPRNMLPLNHPFFAE48CA,坡道平面,1900000,27.01
RPRNMLPLNHPFFAE48CA,坡道平面,1900000,27.01
RPSNMLLLNHPFFAE18CA,坡道平面,0,19.75
RPSNMLLLNHPFFAE18CA,坡道平面,0,19.75
RPVNMLLKNHPFFAE38CA,坡道機械,800000,
RPWNMLTLNHPFFAE76CA,坡道平面,2600000,19.19
RPWNMLTLNHPFFAE76CA,坡道平面,2600000,19.19
RPWNMLTLNHPFFAE76CA,坡道平面,2600000,19.19
RPWNMLTLNHPFFAE76CA,坡道平面,2600000,19.19
RPSNMLNKNHPFFBE38CA,其他,0,30.71
RPXNMLMKNHPFFBE78CA,坡道機械,0,
RPQNMLPJOHPFFAE28CA,坡道平面,0,
RPQNMLSKNHPFFBE68CA,其他,0,6.97
RPOOMLTKNHPFFBE68CA,坡道平面,1750000,17.64
RPTPMLTKNHPFFBE66CA,坡道平面,0,19.96
RPTPMLTKNHPFFBE66CA,坡道平面,0,19.96
RPPNMLOKNHPFFCE28CA,坡道機械,0,
RPPNMLMJOHPFFCE08CA,坡道平面,0,19.08
RPQOMLNKNHPFFDE48CA,坡道平面,1800000,34.69
RPUOMLOKNHPFFDE98CA,坡道平面,1100000,23.00
RPQPMLNKNHPFFDE58CA,坡道平面,1150000,22.07
RPQPMLNKNHPFFDE58CA,坡道平面,1150000,22.07
RPRPMLOKNHPFFDE78CA,坡道機械,0,
RPQQMLMJOHPFFDE58CA,坡道平面,0,19.87
RPTQMLMJOHPFFDE88CA,坡道平面,0,38.03
RPRQMLMJOHPFFDE68CA,坡道平面,0,19.87
RPSQMLMJOHPFFDE78CA,坡道平面,0,38.03
RPVQMLMJOHPFFDE09CA,坡道平面,0,36.55
RPUQMLMJOHPFFDE98CA,坡道平面,0,38.03
RPXQMLMJOHPFFDE66CA,坡道平面,0,19.87
RPWQMLMJOHPFFDE56CA,坡道平面,0,38.03
RPOQMLLKOHPFFDE38CA,坡道平面,0,
RPQRMLMJOHPFFDE68CA,坡道平面,0,38.03
RPVNMLPKNHPFFEE56CA,升降機械,0,4.49
RPOOMLPKNHPFFEE58CA,坡道平面,0,16.16
RPSOMLTKNHPFFEE76CA,坡道機械,0,9.90
RPRPMLKLNHPFFEE58CA,一樓平面,0,15.00
RPRPMLKLNHPFFEE58CA,一樓平面,0,14.99
RPRPMLKLNHPFFEE58CA,一樓平面,0,15.00
RPRPMLKLNHPFFEE58CA,一樓平面,0,15.00
RPRPMLKLNHPFFEE58CA,一樓平面,0,12.94
RPOOMLPLNHPFFEE68CA,升降機械,0,
RPOOMLPLNHPFFEE68CA,升降機械,0,
RPOOMLPLNHPFFEE68CA,升降機械,0,
RPOOMLPLNHPFFEE68CA,升降機械,0,
RPOOMLPLNHPFFEE68CA,升降機械,0,
RPOOMLPLNHPFFEE68CA,升降機械,0,
RPOOMLPLNHPFFEE68CA,升降機械,0,
RPOOMLPLNHPFFEE68CA,升降機械,0,
RPOOMLPLNHPFFEE68CA,升降機械,0,
RPOOMLMLNHPFFEE38CA,升降平面,0,
RPSNMLNJOHPFFEE68CA,坡道平面,0,
RPQNMLKLNHPFFGE48CA,坡道平面,0,
RPSNMLNKNHPFFGE88CA,坡道平面,0,
RPPNMLLLNHPFFGE48CA,坡道平面,0,
RPROMLKLNHPFFGE68CA,坡道平面,0,20.44
RPSNMLKLNHPFFGE68CA,坡道平面,0,
RPRNMLOJOHPFFIE09CA,坡道平面,1600000,35.50
RPOOMLOKNHPFFLE56CA,一樓平面,700000,18.17
RPROMLNKNHPFFDE68DA,坡道機械,450000,14.88
RPUNMLNLNHPFFLE07CA,升降機械,500000,
RPUNMLNLNHPFFLE07CA,升降機械,500000,
RPQOMLTLNHPFFIE07CA,坡道平面,0,35.79
RPSNMLSLNHPFFGE86CA,坡道平面,0,
RPVNMLSLNHPFFGE17CA,坡道平面,0,
RPTNMLSLNHPFFGE96CA,坡道機械,0,
RPUNMLSLNHPFFGE07CA,坡道機械,0,
RPXNMLSLNHPFFGE37CA,坡道機械,0,
RPOOMLSLNHPFFGE56CA,坡道機械,0,
RPTNMLKLNHPFFGE78CA,坡道機械,0,
RPTNMLKLNHPFFGE78CA,坡道機械,0,
RPPOMLNKNHPFFGE68CA,坡道平面,0,17.99
RPPNMLNKNHPFFFE48CA,坡道平面,0,
RPSNMLSJOHPFFEE56CA,坡道平面,2000000,16.02
RPVPMLPLNHPFFEE86CA,坡道平面,0,18.86
RPSNMLPLNHPFFEE98CA,坡道平面,2300000,25.01
RPQNMLRKNHPFFEE88CA,坡道平面,0,33.26
RPQNMLSKNHPFFEE98CA,坡道機械,0,
RPTOMLMKNHPFFEE78CA,坡道平面,0,
RPXNMLKLNHPFFDE88CA,坡道平面,1170000,
RPOOMLNKNHPFFEE38CA,坡道平面,0,15.71
RPWNMLOKNHPFFCE98CA,坡道平面,0,26.41
RPWNMLOKNHPFFBE88CA,坡道平面,0,17.67
RPOOMLNKNHPFFAE97CA,坡道平面,0,26.16
RPOOMLNKNHPFFAE97CA,坡道平面,0,26.73
