編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUOMLLKNHPFFCE78CC,26,93.98,住家用,鋼筋混凝土造,83年8月9日,十二層,
RPUOMLLKNHPFFCE78CC,26,44.66,住家用,鋼筋混凝土造,83年8月9日,十二層,
RPUOMLLKNHPFFGE56CC,5,167.68,見其他登記事項,見其他登記事項,104年1月28日,一層,
RPRNMLLKNHPFFIE98CC,7,676.30,見其他登記事項,鋼筋混凝土造,102年1月16日,五層,
RPUNMLLKNHPFFDE78CC,11,10.90,住商用,鋼筋混凝土造,98年3月30日,五層,
RPVNMLLKNHPFFDE88CC,40,210.00,,鋼筋混凝土造,69年1月31日,四層,
RPSOMLLKNHPFFCE58CC,2,54.26,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPSOMLLKNHPFFCE58CC,2,15.35,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPSOMLLKNHPFFCE58CC,2,38.41,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPXNMLLKNHPFFEE56CC,12,66.31,住商用,鋼筋混凝土造,96年11月6日,五層,
RPWOMLMKNHPFFGE86CC,20,90.50,住家用,鋼筋混凝土造,89年5月20日,十二層,
RPWOMLMKNHPFFGE86CC,20,58.98,共有部份,鋼筋混凝土造,89年5月20日,十二層,
RPPOMLMKNHPFFGE78CC,,197.78,見其他登記事項,見其他登記事項,108年10月30日,一層,
RPWNMLMKNHPFFEE56CC,4,73.81,見其它登記事項,見其它登記事項,104年11月16日,十五層,
RPWNMLMKNHPFFEE56CC,4,77.69,見其它登記事項,見其它登記事項,104年11月16日,十五層,
RPSNMLMKNHPFFAE38CC,9,49.34,住家用,鋼筋混凝土造,100年10月7日,十五層,
RPSNMLMKNHPFFAE38CC,9,26.99,見其它登記事項,鋼筋混凝土造,100年10月7日,十五層,
RPVNMLMKNHPFFGE66CC,43,238.80,住商用,鋼筋混凝土造,65年11月30日,三層,
RPOOMLMKNHPFFLE56CC,25,90.17,住家用,鋼筋混凝土造,84年2月17日,十九層,
RPOOMLMKNHPFFLE56CC,25,19.49,共有部份,鋼筋混凝土造,84年2月17日,十九層,
RPOOMLMKNHPFFGE78DC,40,218.12,住商用,鋼筋混凝土造,69年9月22日,四層,
RPOOMLMKNHPFFEE48CC,15,185.56,住商用,鋼筋混凝土造,94年10月6日,十五層,
RPSOMLMKNHPFFEE88CC,13,165.98,見其它登記事項,鋼筋混凝土造,96年8月1日,四層,
RPQQMLMKNHPFFDE78CC,2,68.64,見其它登記事項,鋼筋混凝土造,107年7月6日,十五層,
