編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLLKNHPFFDE28CC,中華段一小段,313.00,都市：工
RPUNMLLKNHPFFFE98CC,鳳雄段,562.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLLKNHPFFIE78CC,長庚段,198.35,都市：農
RPUOMLLKNHPFFCE78CC,獅甲段二小段,.00,都市：住
RPUOMLLKNHPFFGE56CC,牛潮埔段,237.00,都市：工
RPVNMLLKNHPFFIE76CC,松埔段,33.06,都市：農
RPRNMLLKNHPFFIE98CC,澄德段,258.25,都市：商
RPUNMLLKNHPFFDE78CC,三塊厝段,.00,都市：住
RPVNMLLKNHPFFDE88CC,義民段,92.94,都市：住
RPQNMLMKNHPFFIE98CC,清福段,99.17,都市：工
RPSOMLLKNHPFFCE58CC,盛興段,12.20,都市：住
RPXNMLLKNHPFFEE56CC,左東段,66.31,都市：商
RPRNMLMKNHPFFIE09CC,松埔段,66.16,都市：農
RPWOMLMKNHPFFGE86CC,文英段,27.48,都市：住
RPPOMLMKNHPFFGE78CC,曹公段,278.24,都市：工
RPWNMLMKNHPFFEE56CC,福民段,.00,都市：住
RPSNMLMKNHPFFAE38CC,龍中段,.00,都市：商
RPVNMLMKNHPFFGE66CC,五甲段,133.00,都市：住
RPOOMLMKNHPFFLE56CC,仁德段,.00,都市：住
RPOOMLMKNHPFFGE78DC,文英段,82.00,都市：住
RPOOMLMKNHPFFEE48CC,新民段,.00,都市：住
RPSOMLMKNHPFFEE88CC,藍田中段,.00,都市：住
RPQQMLMKNHPFFDE78CC,德北段,10.23,都市：住
RPPPMLMKNHPFFEE68CC,左北段,28.27,都市：住
RPWOMLMKNHPFFEE66CC,和平段四小段,100.00,都市：住
RPUNMLMKNHPFFCE78CC,瑞隆段一小段,61.00,都市：住
RPUNMLMKNHPFFCE78CC,瑞隆段一小段,59.00,都市：住
RPUOMLMKNHPFFEE09CC,清豐段,87.86,都市：住
RPUNMLNKNHPFFBE78CC,意誠段,.00,都市：商
RPTOMLMKNHPFFCE78CC,瑞隆段二小段,92.00,都市：住
RPSOMLMKNHPFFCE68CC,瑞隆段一小段,21.40,都市：住
RPVOMLMKNHPFFBE88CC,大統段二小段,.00,都市：商
RPUOMLMKNHPFFBE78CC,苓洲段,4.99,都市：商
RPVOMLMKNHPFFCE98CC,愛群段,14.04,都市：商
RPROMLMKNHPFFBE48CC,過田子段,27.20,都市：商
RPVNMLNKNHPFFBE88CC,意誠段,.00,都市：商
RPOOMLMKNHPFFBE18CC,林德官段,12.03,都市：商
RPQNMLNKNHPFFBE38CC,過田子段,.00,都市：商
RPPPMLNKNHPFFBE48CC,正明段,.00,都市：住
RPUOMLNKNHPFFBE88CC,林德官段,3.18,都市：商
RPUQMLNKNHPFFDE66CC,鼎泰段,12.40,都市：住
RPTOMLNKNHPFFBE78CC,新興段二小段,22.31,都市：商
RPSPMLNKNHPFFDE98CC,大港段一小段,.00,都市：商
RPVNMLNKNHPFFCE98CC,盛興段,14.49,都市：住
RPQQMLNKNHPFFDE88CC,獅頭段一小段,62.00,都市：商
RPUNMLNKNHPFFLE17CC,林園段,89.00,都市：商
RPUNMLNKNHPFFLE17CC,林園段,4.00,都市：商
RPUNMLNKNHPFFLE17CC,林園段,3.00,都市：商
RPUNMLNKNHPFFLE17CC,林園段,13.00,都市：其他
RPUNMLNKNHPFFLE17CC,林園段,13.00,都市：其他
RPUNMLNKNHPFFLE17CC,林園段,129.00,都市：商
RPVNMLNKNHPFFEE56CC,福民段,23.95,都市：住
RPQPMLNKNHPFFEE88CC,楠梓段三小段,.00,都市：住
RPWOMLNKNHPFFBE56DC,新興段四小段,.00,都市：商
RPQNMLNKNHPFFFE78CC,安招段,1831.52,都市：住
RPXQMLNKNHPFFDE96CC,建德段,.00,都市：商
RPPNMLNKNHPFFEE58CC,新庄段八小段,23.80,都市：住
RPPOMLNKNHPFFAE28CC,龍華段一小段,.00,都市：住
RPTOMLNKNHPFFAE68CC,東金段,19.24,都市：商
RPWOMLNKNHPFFIE17CC,豐禾段,76.04,都市：住
RPRNMLOKNHPFFIE66CC,觀音湖段,420.00,都市：農
RPTOMLNKNHPFFFE56CC,大紅段,19.70,都市：住
RPVOMLNKNHPFFFE76CC,後壁田段,39.74,都市：住
RPSOMLNKNHPFFFE09CC,北角宿段,794.08,非都市：工業區 ; 非都市編定：丁種建築用地
RPSOMLNKNHPFFFE09CC,北角宿段,711.03,非都市：工業區 ; 非都市編定：丁種建築用地
RPSOMLNKNHPFFFE09CC,北角宿段,523.67,非都市：工業區 ; 非都市編定：丁種建築用地
RPOPMLNKNHPFFIE09CC,永仁段,198.35,都市：住
RPSNMLOKNHPFFAE58CC,龍華段八小段,.00,都市：商
RPSNMLOKNHPFFLE07CC,赤崁段潮州寮二小段,172.00,都市：農
RPXNMLOKNHPFFFE96CC,大公段,80.00,都市：商
RPUQMLOKNHPFFGE07CC,鳳山段火房口小段,.00,都市：商
RPRQMLOKNHPFFGE76CC,頂新段,6.39,都市：商
RPUOMLOKNHPFFEE66CC,福民段,.00,都市：住
RPRNMLOKNHPFFLE96CC,翁公園段,.00,都市：工
RPUPMLOKNHPFFEE76CC,新庄段十三小段,.00,都市：商
RPOPMLOKNHPFFEE78CC,新庄段七小段,318.00,都市：住
RPTNMLOKNHPFFDE98CC,義民段,2.54,都市：商
RPTNMLOKNHPFFDE98CC,義民段,.05,都市：商
RPRPMLOKNHPFFEE09CC,新庄段八小段,16.47,都市：住
RPSPMLOKNHPFFDE09CC,大港段,94.00,都市：住
RPQPMLOKNHPFFEE98CC,新庄段八小段,20.27,都市：住
RPOOMLPKNHPFFCE58CC,獅甲段,1694.00,都市：住
RPOOMLPKNHPFFCE58CC,獅甲段,1558.00,都市：住
RPWPMLOKNHPFFDE86CC,灣復段,.00,都市：商
RPPOMLPKNHPFFBE58CC,苓洲段,4.33,都市：商
RPQOMLPKNHPFFBE68CC,苓雅寮段,5.97,都市：商
RPRNMLPKNHPFFDE88CC,三塊厝段一小段,.00,都市：商
RPPNMLOKNHPFFBE38CC,苓洲段,104.22,都市：商
RPXPMLOKNHPFFDE96CC,大港段,18.59,都市：住
RPVNMLPKNHPFFCE56CC,獅甲段,.00,都市：住
RPVNMLPKNHPFFCE56CC,獅甲段,.00,都市：住
RPUNMLPKNHPFFDE56CC,金獅段,182.15,都市：住
RPQNMLPKNHPFFEE88CC,芎蕉段,8.61,都市：商
RPUNMLPKNHPFFEE66CC,新庄段十三小段,46.23,都市：商
RPVOMLPKNHPFFEE86CC,新光段,.00,都市：住
RPXOMLPKNHPFFEE07CC,新庄段十三小段,19.91,都市：住
RPPNMLPKNHPFFAE38CC,東金段,.00,都市：商
RPPNMLPKNHPFFAE38CC,東金段,.00,都市：商
RPWOMLPKNHPFFDE86CC,灣和段,226.84,都市：住
RPPOMLPKNHPFFAE48CC,博孝段,116.50,都市：商
RPWNMLPKNHPFFAE09CC,龍中段,7.56,都市：商
RPSNMLPKNHPFFEE09CC,福山段,17.27,都市：商
RPVNMLPKNHPFFAE98CC,龍中段,6.99,都市：商
RPRNMLPKNHPFFJE86CC,大湖段,400.00,都市：農
RPQOMLPKNHPFFAE58CC,鼓中段五小段,14.94,都市：住
RPQOMLPKNHPFFAE58CC,鼓中段五小段,4.53,都市：商
RPSOMLPKNHPFFAE78CC,龍華段八小段,10.00,都市：商
RPTNMLPKNHPFFGE76CC,華鳳段,29.37,都市：住
RPWOMLPKNHPFFFE07CC,灣裡西段,251.28,都市：工
RPUOMLSKNHPFFCE86CC,憲德段二小段,.00,都市：商
RPOOMLSKNHPFFBE78CC,林德官段,60.54,都市：商
RPOOMLSKNHPFFBE78CC,林德官段,20.99,都市：商
RPOOMLSKNHPFFBE78CC,林德官段,26.64,都市：商
RPWNMLSKNHPFFJE67CC,大仁段,232.00,都市：農
RPQNMLQKNHPFFCE78CC,二苓段一小段,3729.00,都市：工
RPROMLSKNHPFFGE96CC,新庄子段,.00,都市：住
RPOOMLSKNHPFFDE98CC,三塊厝段,.00,都市：商
RPRQMLSKNHPFFEE96CC,福山段,.00,都市：商
RPSOMLSKNHPFFEE86CC,新庄段一小段,117.00,都市：住
RPQQMLSKNHPFFEE86CC,新福段五小段,.00,都市：住
RPSNMLSKNHPFFFE86CC,新莊段,192.19,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLSKNHPFFFE86CC,新莊段,172.09,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLSKNHPFFGE17CC,新庄子段,.00,都市：住
RPQNMLTKNHPFFLE37CC,大寮段,264.46,都市：農
RPXNMLSKNHPFFFE37CC,興龍段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPROMLTKNHPFFAE09CC,府北段五小段,.00,都市：商
RPXNMLTKNHPFFLE08CC,翁公園段二小段,280.99,都市：農
RPQOMLTKNHPFFGE96CC,新庄子段,86.00,都市：住
RPQOMLTKNHPFFGE96CC,新庄子段,15.00,都市：住
RPQOMLTKNHPFFGE96CC,新庄子段,9.00,都市：其他
RPWNMLTKNHPFFFE37CC,興樹段,.00,都市：住
