編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLMKNHPFFAF08CA,15,55.55,住家用,鋼筋混凝土造,94年5月25日,十四層,六層
RPQNMLMKNHPFFAF08CA,15,20.89,共有部份,鋼筋混凝土造,94年5月25日,十四層,
RPOOMLNKNHPFFAF08CA,29,124.86,住家用,鋼筋混凝土造,79年12月26日,五層,五層
RPOOMLNKNHPFFAF08CA,29,16.20,共有部份,鋼筋混凝土造,79年12月26日,五層,
RPOOMLNKNHPFFAF08CA,29,34.82,見使用執照,鋼筋混凝土造,79年12月26日,五層,地下層
RPPOMLRLNHPFFAF68CA,49,78.40,住家用,加強磚造,60年4月19日,二層,一層 二層
RPXNMLNKNHPFFAF88CA,49,89.11,住家用,加強磚造,60年5月25日,二層,一層 二層
RPTNMLMKNHPFFAF38CA,26,27.96,商業用,鋼筋混凝土造,83年5月28日,十一層,十一層
RPTNMLMKNHPFFAF38CA,26,2.53,共有部份,鋼筋混凝土造,83年5月28日,十一層,
RPTNMLMKNHPFFAF38CA,26,6.70,共有部份,鋼筋混凝土造,83年5月28日,十一層,
RPQNMLTKNHPFFAF78CA,1,62.78,見其他登記事項,鋼骨鋼筋混凝土造,107年12月13日,二十層,十五層
RPQNMLTKNHPFFAF78CA,1,30.88,見其他登記事項,鋼骨鋼筋混凝土造,107年12月13日,二十層,
RPRNMLMKNHPFFAF18CA,15,128.09,見其他登記事項,鋼筋混凝土造,94年1月28日,十二層,八層
RPRNMLMKNHPFFAF18CA,15,60.65,共有部份,鋼筋混凝土造,94年1月28日,十三層,
RPSNMLNKNHPFFAF38CA,42,96.69,住家用,鋼筋混凝土造,67年7月7日,四層,二層
RPRNMLMKNHPFFAF18CA,15,14.73,共有部份,鋼筋混凝土造,94年1月28日,十三層,
RPSPMLTLNHPFFAF66CA,,87.41,住家用,鋼筋混凝土造,,五層,二層
RPPPMLNKNHPFFAF28CA,1,51.31,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,
RPPPMLNKNHPFFAF28CA,1,56.77,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,五層
RPORMLNJOHPFFAF38CA,1,33.06,見其他登記事項,鋼骨鋼筋混凝土造,108年5月9日,二十八層,
RPVQMLNJOHPFFAF98CA,1,126.93,見其他登記事項,鋼骨鋼筋混凝土造,108年5月9日,二十八層,二十四層
RPVQMLNJOHPFFAF98CA,1,8.84,見其他登記事項,鋼骨鋼筋混凝土造,108年5月9日,二十八層,
RPVQMLNJOHPFFAF98CA,1,20.52,見其他登記事項,鋼骨鋼筋混凝土造,108年5月9日,二十八層,
RPVQMLNJOHPFFAF98CA,1,24.24,見其他登記事項,鋼骨鋼筋混凝土造,108年5月9日,二十八層,
RPTOMLMKNHPFFBF58CA,18,77.18,住家用,鋼筋混凝土造,91年8月19日,十三層,七層
RPTQMLNJOHPFFAF78CA,1,126.93,見其他登記事項,鋼骨鋼筋混凝土造,108年5月9日,二十八層,二十七層
RPTOMLMKNHPFFBF58CA,18,18.15,共有部分,鋼筋混凝土造,91年8月19日,十三層,
RPTQMLNJOHPFFAF78CA,1,85.87,見其他登記事項,鋼骨鋼筋混凝土造,108年5月9日,二十八層,
RPTOMLMKNHPFFBF58CA,18,48.36,共有部分,鋼筋混凝土造,91年8月19日,十三層,
RPTQMLNJOHPFFAF78CA,1,8.84,見其他登記事項,鋼骨鋼筋混凝土造,108年5月9日,二十八層,
RPTQMLNJOHPFFAF78CA,1,20.52,見其他登記事項,鋼骨鋼筋混凝土造,108年5月9日,二十八層,
RPRPMLPJOHPFFAF68CA,,71.88,見其他登記事項,鋼筋混凝土造,109年1月13日,十二層,七層
RPRPMLPJOHPFFAF68CA,,30.26,見其他登記事項,鋼筋混凝土造,109年1月13日,十二層,
RPRPMLPJOHPFFAF68CA,,8.56,見其他登記事項,鋼筋混凝土造,109年1月13日,十二層,
RPSPMLPJOHPFFAF78CA,,76.69,見其他登記事項,鋼筋混凝土造,109年1月13日,十二層,九層
RPSPMLPJOHPFFAF78CA,,8.56,見其他登記事項,鋼筋混凝土造,109年1月13日,十二層,
RPSPMLPJOHPFFAF78CA,,32.29,見其他登記事項,鋼筋混凝土造,109年1月13日,十二層,
RPROMLMKNHPFFBF38CA,25,51.43,住家用,鋼筋混凝土造,84年1月17日,十二層,十層
RPROMLMKNHPFFBF38CA,25,1.54,共有部分,鋼筋混凝土造,84年1月17日,十二層,
RPROMLMKNHPFFBF38CA,25,4.77,共有部分,鋼筋混凝土造,84年1月17日,十二層,
RPROMLMKNHPFFBF38CA,25,7.32,共有部分,鋼筋混凝土造,84年1月17日,十二層,
RPRQMLMKNHPFFBF58CA,27,73.48,住家用,鋼筋混凝土造,82年9月7日,十七層,十四層
RPRQMLMKNHPFFBF58CA,27,20.58,共有部分,鋼筋混凝土造,82年9月7日,十七層,
RPSRMLMKNHPFFBF78CA,1,47.46,見其他登記事項,鋼筋混凝土造,108年6月21日,十三層,四層
RPSRMLMKNHPFFBF78CA,1,11.02,見其他登記事項,鋼筋混凝土造,108年6月21日,十三層,
RPSRMLMKNHPFFBF78CA,1,13.42,見其他登記事項,鋼筋混凝土造,108年6月21日,十三層,
RPPOMLNKNHPFFBF28CA,3,24.95,見其他登記事項,鋼筋混凝土造,105年11月10日,二十一層,
RPVOMLNKNHPFFBF88CA,,18.69,見其他登記事項,鋼筋混凝土造,109年1月16日,九層,
RPVOMLNKNHPFFBF88CA,,33.45,見其他登記事項,鋼筋混凝土造,109年1月16日,八層,三層
RPWOMLNKNHPFFBF98CA,,18.69,見其他登記事項,鋼筋混凝土造,109年1月16日,九層,
RPWOMLNKNHPFFBF98CA,,33.45,見其他登記事項,鋼筋混凝土造,109年1月16日,八層,六層
RPTOMLNKNHPFFBF68CA,,43.91,見其他登記事項,鋼筋混凝土造,109年1月16日,九層,六層
RPTOMLNKNHPFFBF68CA,,24.54,見其他登記事項,鋼筋混凝土造,109年1月16日,九層,
RPRSMLMKNHPFFBF78CA,24,81.64,住家用,鋼筋混凝土造,85年2月9日,七層,四層 夾層
RPRSMLMKNHPFFBF78CA,24,23.68,共有部分,鋼筋混凝土造,85年2月9日,七層,
RPQNMLNKNHPFFBF28CA,9,126.31,見其他登記事項,鋼筋混凝土造,100年7月14日,七層,三層
RPQNMLNKNHPFFBF28CA,9,87.70,見其他登記事項,鋼筋混凝土造,100年7月14日,八層,
RPQNMLNKNHPFFBF28CA,9,26.49,見其他登記事項,鋼筋混凝土造,100年7月14日,八層,
RPSOMLNKNHPFFBF58CA,,43.91,見其他登記事項,鋼筋混凝土造,109年1月16日,九層,五層
RPSOMLNKNHPFFBF58CA,,24.54,見其他登記事項,鋼筋混凝土造,109年1月16日,九層,
RPOPMLNKNHPFFBF28CA,4,121.63,見其他登記事項,鋼筋混凝土造,105年7月4日,二十一層,九層
RPOPMLNKNHPFFBF28CA,4,25.44,見其他登記事項,鋼筋混凝土造,105年7月4日,二十一層,
RPOPMLNKNHPFFBF28CA,4,33.03,見其他登記事項,鋼筋混凝土造,105年7月4日,二十一層,
RPOPMLNKNHPFFBF28CA,4,36.01,見其他登記事項,鋼筋混凝土造,105年7月4日,二十一層,
RPTQMLNKNHPFFBF88CA,28,121.70,住家用,鋼筋混凝土造,80年11月2日,十九層,七層
RPTQMLNKNHPFFBF88CA,28,17.28,共有部分,鋼筋混凝土造,80年11月2日,十九層,
RPTQMLNKNHPFFBF88CA,28,42.88,見其他登記事項,鋼筋混凝土造,80年11月2日,十九層,地下一層
RPTNMLOKNHPFFBF68CA,,65.97,見其他登記事項,鋼筋混凝土造,108年8月7日,十五層,十五層
RPTNMLOKNHPFFBF68CA,,62.99,見其他登記事項,鋼筋混凝土造,108年8月7日,十五層,
RPPQMLOKNHPFFBF58CA,14,83.76,住家用,鋼筋混凝土造,94年12月26日,十四層,八層
RPPQMLOKNHPFFBF58CA,14,15.06,共有部分,鋼筋混凝土造,94年12月26日,十四層,
RPPQMLOKNHPFFBF58CA,14,29.24,共有部分,鋼筋混凝土造,94年12月26日,十四層,
RPSNMLOKNHPFFBF58CA,,66.20,見其他登記事項,鋼筋混凝土造,108年8月7日,十五層,十二層
RPSNMLOKNHPFFBF58CA,,63.45,見其他登記事項,鋼筋混凝土造,108年8月7日,十五層,
RPWNMLOKNHPFFBF98CA,12,2.92,共有部分,鋼筋混凝土造,96年10月17日,十九層,
RPWNMLOKNHPFFBF98CA,12,99.41,住家用,鋼筋混凝土造,96年10月17日,十九層,十五層
RPWNMLOKNHPFFBF98CA,12,9.55,共有部分,鋼筋混凝土造,96年10月17日,十九層,
RPWNMLOKNHPFFBF98CA,12,41.78,共有部分,鋼筋混凝土造,96年10月17日,十九層,
RPWNMLOKNHPFFBF98CA,12,5.58,共有部分,鋼筋混凝土造,96年10月17日,十九層,
RPWNMLOKNHPFFBF98CA,12,29.44,共有部分,鋼筋混凝土造,96年10月17日,十九層,
RPXSMLSKNHPFFBF37CA,43,81.07,住家用,加強磚造,66年4月2日,四層,一層 平台
RPUNMLPKNHPFFBF88CA,12,29.42,住家用,鋼筋混凝土造,97年4月18日,十四層,三層
RPUNMLPKNHPFFBF88CA,12,4.16,共有部分,鋼筋混凝土造,97年4月18日,十四層,
RPUNMLPKNHPFFBF88CA,12,4.27,共有部分,鋼筋混凝土造,97年4月18日,十四層,
RPUNMLPKNHPFFBF88CA,12,3.55,共有部分,鋼筋混凝土造,97年4月18日,十四層,
RPUNMLPKNHPFFBF88CA,12,4.38,共有部分,鋼筋混凝土造,97年4月18日,十四層,
RPPUMLSKNHPFFBF76CA,3,32.47,見其他登記事項,鋼筋混凝土造,106年3月3日,十五層,
RPVNMLOKNHPFFBF88CA,,68.81,見其他登記事項,鋼筋混凝土造,108年8月7日,十五層,十四層
RPVNMLOKNHPFFBF88CA,,62.29,見其他登記事項,鋼筋混凝土造,108年8月7日,十五層,
RPORMLLLNHPFFBF38CA,,66.22,見其他登記事項,鋼筋混凝土造,109年3月16日,十二層,十二層
RPORMLLLNHPFFBF38CA,,43.95,見其他登記事項,鋼筋混凝土造,109年3月16日,十四層,
RPORMLLLNHPFFBF38CA,,14.47,見其他登記事項,鋼筋混凝土造,109年3月16日,十四層,
RPSOMLMKNHPFFCF58CA,28,151.18,住家用,鋼骨混凝土造,80年12月11日,十六層,十層
RPSOMLMKNHPFFCF58CA,28,25.02,共有部分,鋼骨混凝土造,80年12月11日,十六層,
RPSOMLMKNHPFFCF58CA,28,33.21,見使用執照,鋼骨混凝土造,80年12月11日,十六層,地下一層 地下二層 地下三層
RPSOMLMKNHPFFCF58CA,28,3.28,共有部分,鋼骨混凝土造,80年12月11日,十六層,
RPSNMLNKNHPFFCF58CA,,99.90,住家用,加強磚造,,四層,三層 騎樓
RPQPMLTKNHPFFCF56CA,39,77.41,住家用,鋼筋混凝土造,69年12月12日,五層,二層 陽台
RPPPMLLLNHPFFCF38CA,46,117.50,住家用,鋼筋混凝土造,62年10月15日,四層,四層
RPVOMLMKNHPFFCF88CA,,90.60,住家用,加強磚造,,四層,四層
RPSOMLNKNHPFFCF68CA,34,229.13,工業用,鋼筋混凝土造,75年3月19日,五層,二層
RPSOMLNKNHPFFCF68CA,34,9.79,共有部分,鋼筋混凝土造,75年3月19日,五層,
RPSOMLNKNHPFFCF68CA,34,48.14,見使用執照,鋼筋混凝土造,75年4月8日,五層,地下一層
RPRNMLSLNHPFFCF09CA,2,68.07,見其他登記事項,見其他登記事項,107年10月15日,二十四層,十四層
RPRNMLSLNHPFFCF09CA,2,14.69,見其他登記事項,見其他登記事項,107年10月15日,二十四層,
RPRNMLSLNHPFFCF09CA,2,44.74,見其他登記事項,見其他登記事項,107年10月15日,二十四層,
RPROMLQLNHPFFCF98CA,24,71.23,住家用,鋼筋混凝土造,85年1月20日,十七層,四層
