編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPOOMLNKNHPFFAF08CA,坡道平面,0,
RPRNMLMKNHPFFAF18CA,坡道平面,0,38.09
RPPPMLNKNHPFFAF28CA,坡道平面,0,23.98
RPORMLNJOHPFFAF38CA,坡道平面,2300000,33.06
RPTOMLMKNHPFFBF58CA,坡道平面,0,38.54
RPTQMLNJOHPFFAF78CA,坡道平面,0,33.06
RPTQMLNJOHPFFAF78CA,坡道平面,0,28.56
RPRPMLPJOHPFFAF68CA,升降機械,1800000,8.56
RPSPMLPJOHPFFAF78CA,升降機械,1800000,8.56
RPPOMLNKNHPFFBF28CA,坡道平面,1800000,24.95
RPRSMLMKNHPFFBF78CA,坡道平面,0,
RPQNMLNKNHPFFBF28CA,坡道平面,0,
RPQNMLNKNHPFFBF28CA,坡道平面,0,
RPOPMLNKNHPFFBF28CA,坡道平面,2050000,36.01
RPTQMLNKNHPFFBF88CA,坡道平面,0,
RPTNMLOKNHPFFBF68CA,坡道平面,1450000,28.80
RPPQMLOKNHPFFBF58CA,坡道機械,0,13.63
RPSNMLOKNHPFFBF58CA,坡道平面,1400000,28.80
RPWNMLOKNHPFFBF98CA,坡道平面,0,41.78
RPPUMLSKNHPFFBF76CA,坡道平面,1200000,32.47
RPVNMLOKNHPFFBF88CA,坡道平面,1300000,26.48
RPORMLLLNHPFFBF38CA,坡道平面,1900000,27.69
RPSOMLMKNHPFFCF58CA,坡道平面,0,
RPSOMLNKNHPFFCF68CA,坡道平面,0,
RPRNMLSLNHPFFCF09CA,坡道平面,2000000,27.53
RPROMLQLNHPFFCF98CA,坡道平面,0,
RPSPMLKLNHPFFCF58CA,坡道平面,0,
RPQNMLSKNHPFFDF98CA,坡道平面,1800000,35.86
RPROMLNKNHPFFEF78CA,坡道平面,0,
RPVOMLMLNHPFFDF09CA,坡道平面,0,37.79
RPUNMLMLNHPFFCF78CA,坡道平面,1600000,29.63
RPSNMLMLNHPFFEF78CA,坡道平面,1300000,30.10
RPXNMLKLNHPFFEF09CA,坡道機械,0,14.90
RPTOMLSKNHPFFEF86CA,坡道平面,0,34.61
RPPNMLRLNHPFFEF98CA,坡道平面,950000,30.46
RPUOMLNKNHPFFGF66CA,坡道平面,0,39.80
RPRNMLOKNHPFFGF98CA,坡道平面,0,35.11
RPRNMLOKNHPFFGF98CA,坡道平面,0,35.11
RPPQMLOKNHPFFGF09CA,坡道平面,0,31.39
RPPOMLMKNHPFFHF78CA,坡道平面,2000000,37.77
RPRPMLLKNHPFFHF98CA,坡道平面,0,30.29
RPQOMLMKNHPFFHF88CA,坡道平面,1810000,33.48
RPVQMLKLNHPFFHF86CA,坡道平面,0,
RPVQMLKLNHPFFHF86CA,坡道平面,0,
RPQNMLOLNHPFFHF09CA,坡道平面,2000000,
RPWNMLLLNHPFFHF76CA,坡道平面,0,
RPQPMLMKNHPFFIF09CA,坡道機械,0,10.79
RPUOMLNKNHPFFIF86CA,坡道平面,0,
RPSNMLMKNHPFFIF09CA,坡道平面,0,34.77
RPVOMLPLNHPFFIF27CA,坡道平面,0,34.10
RPVOMLPLNHPFFIF27CA,坡道平面,0,34.10
RPVNMLOLNHPFFIF07CA,坡道平面,0,34.10
RPROMLSKNHPFFIF07CA,坡道機械,0,24.36
RPVNMLNJOHPFFIF86CA,坡道平面,1650000,34.99
RPTOMLNJOHPFFIF76CA,坡道平面,1800000,34.99
RPVPMLSKNHPFFAF86DA,坡道平面,1900000,39.31
RPROMLNKNHPFFBF58DA,坡道平面,1800000,
RPROMLNKNHPFFBF58DA,坡道平面,1800000,
RPWPMLKLNHPFFBF98DA,坡道平面,1700000,18.62
RPSOMLOKNHPFFHF76DA,坡道機械,1300000,21.71
RPXQMLOKNHPFFGF37DA,坡道平面,2000000,31.67
RPWQMLRKOHPFFAF17EA,坡道機械,1300000,
RPRPMLTKOHPFFAF76EA,坡道平面,0,45.49
RPRPMLTKOHPFFAF76EA,坡道機械,0,23.76
RPUNMLKLNHPFFHF66EA,坡道平面,2200000,32.67
RPSNMLNJOHPFFGF56EA,坡道機械,0,
RPSNMLTJOHPFFEF96EA,坡道平面,168528,39.44
RPWNMLTKOHPFFEF47EA,坡道平面,0,32.79
RPTNMLMLOHPFFEF56EA,坡道平面,0,21.12
RPQNMLQKNHPFFIF76DA,坡道平面,1300000,41.71
RPROMLPKNHPFFIF86DA,坡道機械,1000000,10.79
RPXQMLPKNHPFFEF27DA,坡道平面,1200000,23.92
RPOPMLMJOHPFFAF28EA,坡道平面,0,15.86
RPOPMLMJOHPFFAF28EA,坡道平面,0,15.86
RPOOMLTKNHPFFEF56DA,坡道機械,1000000,16.95
RPSPMLNKNHPFFEF09DA,坡道平面,1400000,36.52
RPUOMLPKNHPFFGF96DA,坡道平面,2000000,
RPUPMLNKNHPFFBF98DA,坡道平面,1700000,37.63
RPTSMLMKNHPFFBF09DA,坡道平面,2000000,24.94
RPTSMLMKNHPFFBF09DA,坡道平面,2000000,24.94
RPSPMLNKNHPFFBF78DA,坡道平面,1700000,37.63
RPPNMLNKNHPFFBF28DA,坡道平面,1200000,23.94
RPXOMLMLNHPFFIF17CA,坡道平面,0,26.98
RPPOMLTLNHPFFIF07CA,坡道平面,0,33.08
RPWOMLLLNHPFFIF96CA,坡道平面,0,
RPPQMLPJOHPFFHF66CA,坡道平面,2200000,40.46
RPSQMLPJOHPFFHF96CA,坡道機械,1400000,20.23
RPRQMLPJOHPFFHF86CA,坡道機械,1400000,20.23
RPRNMLSJOHPFFHF86CA,坡道平面,2000000,40.46
RPWRMLMKNHPFFIF27CA,坡道平面,0,39.83
RPPNMLOJOHPFFHF88CA,坡道平面,2100000,40.46
RPWOMLNKNHPFFHF96CA,坡道平面,0,31.09
RPWNMLSKNHPFFHF37CA,坡道平面,0,30.00
RPSPMLNKNHPFFHF66CA,坡道平面,0,30.21
RPPRMLNKNHPFFHF56CA,坡道平面,0,
RPPPMLLLNHPFFGF78CA,坡道平面,2100000,27.79
RPPPMLLLNHPFFGF78CA,坡道平面,2100000,27.79
RPUPMLOKNHPFFGF86CA,坡道平面,0,
RPTRMLTKNHPFFGF47CA,坡道平面,0,48.19
RPQPMLOJOHPFFGF09CA,坡道平面,0,30.75
RPWOMLNKNHPFFGF86CA,坡道平面,1600000,35.57
RPTNMLMJOHPFFGF98CA,坡道平面,2400000,31.66
RPQRMLTJOHPFFEF96CA,坡道平面,600000,41.85
RPOOMLTLNHPFFEF56CA,坡道平面,1100000,30.89
RPWNMLTJOHPFFEF17CA,坡道機械,0,15.42
RPXNMLTJOHPFFEF27CA,坡道機械,800000,14.93
RPQOMLNKNHPFFGF88CA,坡道機械,0,14.52
RPXQMLOKNHPFFEF07CA,坡道機械,0,14.90
RPXOMLMKNHPFFEF66CA,坡道平面,0,23.98
RPTNMLNKNHPFFEF88CA,坡道機械,0,
RPTNMLNKNHPFFEF88CA,坡道機械,0,
RPPPMLNKNHPFFDF58CA,坡道平面,2300000,23.03
RPTNMLSLNHPFFCF66CA,坡道平面,2130000,27.53
RPQNMLTJOHPFFCF98CA,坡道平面,0,39.41
RPSNMLSLNHPFFCF56CA,坡道平面,2050000,27.53
RPUNMLSLNHPFFCF76CA,坡道平面,2000000,25.65
RPQNMLOKNHPFFCF48CA,坡道平面,0,27.18
RPVNMLSLNHPFFCF86CA,坡道平面,2150000,27.53
RPVNMLSLNHPFFCF86CA,坡道平面,2100000,25.65
RPTNMLNKNHPFFCF68CA,坡道平面,0,27.53
