編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPTOMLLKNHPFFEF98CC,公司田段,18.15,都市：住
RPRPMLLKNHPFFBF58CC,福德段,.00,都市：住
RPVNMLLKNHPFFAF68CC,文化段,.00,都市：住
RPWQMLLKNHPFFEF86CC,新興段,14.49,都市：住
RPWQMLLKNHPFFEF86CC,新興段,.06,都市：住
RPTRMLLKNHPFFEF66CC,公司田段,.00,都市：住
RPTQMLLKNHPFFEF56CC,中庄段,.00,都市：住
RPXPMLLKNHPFFAF09CC,文化段,.00,都市：住
RPRNMLLKNHPFFCF48CC,行政段,14.52,都市：住
RPTOMLLKNHPFFHF66CC,福和段,.00,都市：住
RPWNMLLKNHPFFAF78CC,和平段,.00,都市：住
RPTOMLLKNHPFFCF78CC,竹林段,.00,都市：住
RPUOMLLKNHPFFHF76CC,新和段,.00,都市：住
RPVPMLLKNHPFFAF88CC,樂利段,.00,都市：住
RPPOMLLKNHPFFCF38CC,復興段,320.42,都市：工
RPVOMLLKNHPFFHF86CC,德光段,.00,都市：住
RPXOMLLKNHPFFHF07CC,中正段,.00,都市：商
RPUNMLLKNHPFFHF76DC,信義段,2.69,都市：商
RPUNMLLKNHPFFHF76DC,信義段,1.32,都市：住
RPPPMLLKNHPFFHF98CC,莊敬段,.00,都市：住
RPPPMLLKNHPFFHF98CC,莊敬段,.00,都市：商
RPQPMLLKNHPFFIF56CC,大埔段二鬮小段,123.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPRMLMKNHPFFGF76EC,過田段,.00,都市：商
RPOOMLMKNHPFFIF98CC,大學段二小段,9.09,都市：商
RPROMLMKNHPFFIF66CC,中華段,16.62,都市：住
RPUNMLLKNHPFFEF56EC,海天段,8.96,都市：住
RPTNMLLKNHPFFEF09EC,舊小基隆段四棧橋小段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPPMLMKNHPFFHF09CC,國光段,.00,都市：住
RPPPMLMKNHPFFHF09CC,國光段,.00,都市：住
RPPPMLMKNHPFFHF09CC,國光段,.00,都市：住
RPPPMLMKNHPFFHF09CC,國光段,.00,都市：住
RPQNMLLKNHPFFAF38EC,新雅段,.00,都市：住
RPOPMLMKNHPFFHF98CC,大智段,.00,都市：住
RPPNMLMKNHPFFDF48CC,智興段,.00,都市：住
RPQNMLMKNHPFFCF48CC,民安段,22.93,都市：住
RPRSMLMKNHPFFGF86CC,二重段,.00,都市：住
RPTPMLMKNHPFFDF09CC,厚德段,.00,都市：住
RPSNMLMKNHPFFCF68CC,安德段,12.68,都市：住
RPQNMLMKNHPFFDF58CC,智興段,.00,都市：住
RPRPMLMKNHPFFEF98CC,新興段,13.30,都市：住
RPTNMLMKNHPFFEF98CC,學府段,.00,都市：住
RPROMLMKNHPFFCF68CC,安德段,.00,都市：住
