鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
桃園區,房地(土地+建物),桃園市桃園區大德一街61~90號,15.01,住,,,1090406,土地1建物1車位0,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821030,77.92,2,1,2,有,有,3800000,48768,,0.0,0,,RPVPMLLKNHPFFAH88CA
桃園區,房地(土地+建物),桃園市桃園區大有路511~540號,5.11,住,,,1090409,土地1建物1車位0,十五層,十九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840419,49.18,1,1,1,有,有,2600000,52867,,0.0,0,,RPQQMLLKNHPFFAH48CA
桃園區,房地(土地+建物),桃園市桃園區南山街121~150號,14.7,工,,,1090419,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830726,86.07,3,2,2,有,有,3300000,38341,,0.0,0,,RPQNMLMKNHPFFAH28CA
桃園區,房地(土地+建物)+車位,桃園市桃園區莊敬路一段181巷1~30號,37.05,住,,,1090416,土地1建物1車位2,十四層，十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840519,274.35,4,2,2,有,有,13250000,48296,坡道平面,0.0,0,,RPXNMLMKNHPFFAH98CA
桃園區,車位,桃園市桃園區民富八街28巷1弄1~30號,0.0,,,,1090320,土地0建物0車位1,一層,五層,其他,住家用,鋼筋混凝土造,0850106,28.529999999999998,0,0,0,有,有,1100000,,坡道平面,0.0,1100000,單獨車位交易。;,RPROMLMKNHPFFAH48CA
桃園區,車位,桃園市桃園區民族路61~90號,0.54,商,,,1090419,土地0建物0車位1,,,其他,,,,33.51,0,0,0,有,有,1700000,,坡道平面,33.51,1700000,,RPUPMLMKNHPFFAH88CA
桃園區,房地(土地+建物)+車位,桃園市桃園區桃二街31~60號,30.16,住,,,1090429,土地3建物1車位1,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820812,125.41,3,2,2,有,有,6800000,54222,坡道機械,0.0,0,,RPWPMLMKNHPFFAH09CA
桃園區,房地(土地+建物),桃園市桃園區三民路二段181~210號,3.31,商,,,1090322,土地2建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850118,34.59,1,1,1,有,有,1365000,39462,,0.0,0,,RPQNMLNKNHPFFAH38CA
桃園區,土地,福元段31~60地號,43.57,其他,,,1090417,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2271138,52126,,0.0,0,,RPWOMLNKNHPFFAH09CA
桃園區,房地(土地+建物),桃園市桃園區中山路991~1020號,7.11,工,,,1081228,土地1建物1車位0,六層,十七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0840414,64.59,1,1,1,有,有,3100000,47995,,0.0,0,,RPXPMLNKNHPFFAH66CA
桃園區,房地(土地+建物),桃園市桃園區縣府路271~300號,23.64,住,,,1090408,土地2建物2車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790507,103.31,2,2,2,有,有,5150000,49850,,0.0,0,,RPWOMLOKNHPFFAH56CA
桃園區,房地(土地+建物),桃園市桃園區民生路481~510號,11.07,商,,,1090427,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0861020,144.51,4,2,2,有,有,7300000,50516,,0.0,0,,RPVNMLSKNHPFFAH76CA
桃園區,房地(土地+建物),桃園市桃園區壽星街8巷5弄1~30號,27.31,住,,,1090411,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701024,85.13,3,2,1,有,無,4500000,52860,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPQPMLSKNHPFFAH09CA
桃園區,車位,桃園市桃園區中正路1381~1410號,2.48,住,,,1090414,土地0建物0車位1,,,其他,,,,24.6,0,0,0,有,有,1860000,,坡道平面,24.6,1860000,,RPTSMLSKNHPFFAH07CA
桃園區,土地,鹽埕段961~990地號,11.26,其他,,,1090504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,439263,39011,,0.0,0,包含公共設施保留地之交易。;,RPVNMLTKNHPFFAH86CA
桃園區,土地,龍壽段391~420地號,989.71,農,,,1090306,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17364000,17545,,0.0,0,,RPOSMLTKNHPFFAH66CA
桃園區,房地(土地+建物),桃園市桃園區大德三街62巷1~30號,73.12,住,,,1090329,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0770914,177.94,5,2,3,有,有,9600000,53951,,0.0,0,,RPPPMLKLNHPFFAH28CA
桃園區,房地(土地+建物)+車位,桃園市桃園區永安北路391~420號,28.35,住,,,1090321,土地1建物1車位1,十二層，十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860221,185.11,5,2,2,有,有,10300000,55643,坡道平面,0.0,0,,RPTNMLOLNHPFFAH88CA
桃園區,房地(土地+建物)+車位,桃園市桃園區江南十街32巷1~30號,23.33,住,,,1090315,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821104,159.57,3,2,2,有,有,7000000,43868,坡道平面,0.0,0,,RPQPMLRLNHPFFAH09CA
桃園區,房地(土地+建物)+車位,桃園市桃園區中正路1381~1410號,10.75,住,,,1090329,土地1建物1車位1,三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830803,112.11,2,2,1,有,有,6800000,60655,坡道平面,26.83,0,,RPORMLRLNHPFFAH09CA
桃園區,土地,新埔段1201~1230地號,5.49,其他,,,1090410,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,529047,96366,,0.0,0,,RPPNMLSLNHPFFAH88CA
桃園區,房地(土地+建物)+車位,桃園市桃園區國強一街271~300號,9.46,商,,,1081113,土地1建物2車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910620,130.34,2,2,1,有,有,7500000,57537,坡道平面,0.0,0,,RPOSMLSLNHPFFAH66CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大業路一段301~330號,15.47,商,,,1090416,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950103,146.95,3,2,2,有,有,9000000,61245,坡道平面,28.05,0,,RPQUMLSLNHPFFAH07CA
