鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
桃園區,房地(土地+建物)+車位,中路三段61~90地號,14.62,住,,,1081025,土地1建物1車位1,一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.76,2,2,1,有,無,9650000,91586,坡道平面,41.41,1650000,,RPVOMLOKNHPFFAH56CB
平鎮區,房地(土地+建物)+車位,環南段31~60地號,29.21,住,,,1080709,土地2建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.29,3,2,2,有,無,8550000,58221,坡道平面,49.2,1500000,,RPTPMLKLNHPFFGH76CB
平鎮區,房地(土地+建物)+車位,環南段31~60地號,29.21,住,,,1080703,土地2建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.29,3,2,2,有,無,8430000,58056,坡道平面,49.2,1400000,,RPUPMLKLNHPFFGH86CB
平鎮區,房地(土地+建物)+車位,環南段31~60地號,29.21,住,,,1080531,土地2建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.29,3,2,2,有,無,8670000,59212,坡道平面,49.2,1500000,,RPVPMLKLNHPFFGH96CB
平鎮區,房地(土地+建物)+車位,環南段31~60地號,29.21,住,,,1080531,土地2建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.29,3,2,2,有,無,8600000,59460,坡道平面,49.2,1400000,,RPWPMLKLNHPFFGH07CB
平鎮區,房地(土地+建物)+車位,環南段31~60地號,29.21,住,,,1080604,土地2建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.29,3,2,2,有,無,8810000,60368,坡道平面,49.2,1500000,,RPXPMLKLNHPFFGH17CB
平鎮區,房地(土地+建物)+車位,環南段31~60地號,29.21,住,,,1080604,土地2建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,171.46,3,2,2,有,無,8950000,60699,坡道平面,50.37,1600000,,RPPQMLKLNHPFFGH09CB
平鎮區,房地(土地+建物)+車位,環南段31~60地號,29.21,住,,,1080801,土地2建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.29,3,2,2,有,無,8970000,62515,坡道平面,49.2,1400000,,RPQQMLKLNHPFFGH56CB
平鎮區,房地(土地+建物)+車位,環南段31~60地號,29.21,住,,,1080604,土地2建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.29,3,2,2,有,無,8900000,60286,坡道平面,49.2,1600000,,RPRQMLKLNHPFFGH66CB
平鎮區,房地(土地+建物)+車位,環南段31~60地號,29.21,住,,,1080531,土地2建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.29,3,2,2,有,無,8650000,59873,坡道平面,49.2,1400000,,RPSQMLKLNHPFFGH76CB
平鎮區,房地(土地+建物)+車位,環南段31~60地號,29.21,住,,,1080801,土地2建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.29,3,2,2,有,無,8500000,56982,坡道平面,49.2,1600000,,RPTQMLKLNHPFFGH86CB
