編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPQQMLKLNHPFFGH56CB,坡道平面,1400000,49.20
RPVOMLOKNHPFFAH56CB,坡道平面,1650000,41.41
RPRQMLKLNHPFFGH66CB,坡道平面,1600000,49.20
RPXPMLKLNHPFFGH17CB,坡道平面,1500000,49.20
RPVPMLKLNHPFFGH96CB,坡道平面,1500000,49.20
RPWPMLKLNHPFFGH07CB,坡道平面,1400000,49.20
RPUPMLKLNHPFFGH86CB,坡道平面,1400000,49.20
RPSQMLKLNHPFFGH76CB,坡道平面,1400000,49.20
RPTPMLKLNHPFFGH76CB,坡道平面,1500000,49.20
RPPQMLKLNHPFFGH09CB,坡道平面,1600000,50.37
RPTQMLKLNHPFFGH86CB,坡道平面,1600000,49.20
