編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWPMLLKNHPFFAH56CC,22,74.22,見其他登記事項,鋼筋混凝土造,87年3月18日,四層,
RPWOMLLKNHPFFEH86CC,9,3161.33,見其他登記事項,見其他登記事項,100年8月18日,二層,
RPPQMLLKNHPFFBH68CC,32,136.62,見其他登記事項,加強磚造,76年12月28日,二層,
RPPRMLLKNHPFFAH68CC,2,52.08,住家用,鋼筋混凝土造,107年5月29日,十五層,
RPPRMLLKNHPFFAH68CC,2,10.60,共有部份,鋼筋混凝土造,107年5月29日,十五層,
RPPRMLLKNHPFFAH68CC,2,47.02,共有部份,鋼筋混凝土造,107年5月29日,十五層,
RPXPMLLKNHPFFAH66CC,25,58.01,住家用,鋼筋混凝土造,83年10月26日,十六層,
RPXPMLLKNHPFFAH66CC,25,.33,共有部份,鋼筋混凝土造,83年10月26日,十六層,
RPXPMLLKNHPFFAH66CC,25,11.60,共有部份,鋼筋混凝土造,83年10月26日,十六層,
RPXPMLLKNHPFFAH66CC,25,9.08,共有部份,鋼筋混凝土造,83年10月26日,十六層,
RPXPMLLKNHPFFAH66CC,25,2.84,共有部份,鋼筋混凝土造,83年10月26日,十六層,
RPOOMLLKNHPFFHH98CC,12,81.69,住家用,鋼筋混凝土造,97年1月10日,六層,
RPOOMLLKNHPFFHH98CC,12,17.79,共有部份,鋼筋混凝土造,97年1月10日,六層,
RPOOMLLKNHPFFHH98CC,12,52.78,共有部份,鋼筋混凝土造,97年1月10日,九層,
RPUPMLLKNHPFFAH98CC,29,146.48,見其他登記事項,鋼筋混凝土造,80年2月26日,五層,
RPWQMLLKNHPFFBH76CC,28,42.01,住家用,鋼筋混凝土造,80年12月30日,七層,
RPWQMLLKNHPFFBH76CC,28,.31,共有部分,鋼筋混凝土造,80年12月30日,七層,
RPWQMLLKNHPFFBH76CC,28,22.37,共有部分,鋼筋混凝土造,80年12月30日,七層,
RPWQMLLKNHPFFBH76CC,28,6.38,共有部分,鋼筋混凝土造,80年12月30日,七層,
RPUQMLLKNHPFFEH86CC,2,95.54,見其他登記事項,鋼筋混凝土造,107年3月30日,十三層,
RPUQMLLKNHPFFEH86CC,2,76.64,共有部份,鋼筋混凝土造,107年3月30日,十三層,
RPXPMLLKNHPFFBH76CC,48,36.00,住家用,加強磚造,61年1月10日,二層,
RPWNMLMKNHPFFGH07CC,25,79.54,住家用,鋼筋混凝土造,84年7月13日,五層,
RPWNMLMKNHPFFGH07CC,25,15.52,共有部份,鋼筋混凝土造,84年7月13日,五層,
RPTOMLMKNHPFFAH88CC,8,91.99,住家用,鋼筋混凝土造,101年10月19日,十二層,
RPTOMLMKNHPFFAH88CC,8,24.81,見其他登記事項,鋼筋混凝土造,101年10月19日,十三層,
