編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPWPMLLKNHPFFAH56CC,桃園段公館頭小段,.00,都市：商
RPWPMLLKNHPFFAH56CC,桃園段公館頭小段,.00,都市：商
RPWOMLLKNHPFFEH86CC,舊厝段,3828.63,非都市：一般農業區 ; 非都市編定：丁種建築用地
RPPQMLLKNHPFFBH68CC,普義段,.00,都市：工
RPPRMLLKNHPFFAH68CC,新埔段,.00,都市：住
RPXOMLMKNHPFFAH76DC,中路二段,450.67,都市：住
RPXPMLLKNHPFFAH66CC,同安段,.00,都市：住
RPOOMLLKNHPFFHH98CC,山頂段,.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPUPMLLKNHPFFAH98CC,小檜溪段,.00,都市：住
RPWQMLLKNHPFFBH76CC,石頭段,.00,都市：住
RPUQMLLKNHPFFEH86CC,西園段,.00,都市：住
RPXPMLLKNHPFFBH76CC,仁愛段,9.20,都市：住
RPWNMLMKNHPFFGH07CC,廣豐段,.00,都市：住
RPTOMLMKNHPFFAH88CC,中德段,15.06,都市：住
RPOPMLMKNHPFFAH48CC,成功段,121.33,都市：其他
RPQPMLMKNHPFFAH68CC,富國段,29.36,都市：住
RPXOMLMKNHPFFEH07CC,五福段,29.40,都市：住
RPRPMLMKNHPFFAH78CC,會稽段,55.60,都市：住
RPOQMLMKNHPFFAH58CC,國聖段,.00,都市：住
RPVPMLMKNHPFFAH56CC,中埔段,.00,都市：住
RPWNMLOKNHPFFCH86CC,和原段,3305.48,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPROMLMKNHPFFGH76DC,延平段,42.22,都市：商
RPQNMLNKNHPFFFH09CC,興豐段,.00,都市：住
RPXNMLMKNHPFFBH86EC,復興段,24.84,都市：住
RPTNMLNKNHPFFGH86CC,廣東段,.00,都市：住
RPQOMLOKNHPFFGH76CC,莊敬段,.00,都市：住
RPWNMLMKNHPFFBH76EC,忠孝段,43.73,都市：住
RPXNMLOKNHPFFHH47CC,善捷段,14.44,都市：住
RPWPMLOKNHPFFEH27CC,竹圍段崁下小段,.00,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPRNMLOKNHPFFEH56CC,南崁段,22.56,都市：住
RPSNMLOKNHPFFEH66CC,南崁段,22.56,都市：住
RPROMLOKNHPFFDH56CC,大金山下段大金山下小段,.00,都市：住
RPQOMLOKNHPFFDH09CC,大金山下段大金山下小段,.00,都市：住
RPSOMLOKNHPFFDH66CC,長岡嶺段,.00,都市：住
RPPOMLOKNHPFFDH98CC,大金山下段大金山下小段,.00,都市：住
RPTOMLOKNHPFFDH76CC,高山段,.00,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPWPMLOKNHPFFDH17CC,頭重溪段,.00,都市：住
RPQNMLOKNHPFFAH68CC,江南段,.00,都市：住
RPUPMLOKNHPFFAH66CC,三元段,.00,都市：住
RPXNMLOKNHPFFAH76CC,大有段,.00,都市：住
RPPRMLPKNHPFFBH56CC,青溪段,.00,都市：住
RPVOMLPKNHPFFBH86CC,華興段,.00,都市：住
RPURMLPKNHPFFAH96CC,同安段,.00,都市：住
RPTRMLPKNHPFFBH96CC,青平段,426.35,都市：住
RPOOMLPKNHPFFAH68CC,埔子段埔子小段,.00,都市：住
RPQQMLOKNHPFFBH09CC,石頭段,.00,都市：住
RPUNMLPKNHPFFAH56CC,埔子段北門埔子小段,.00,都市：商
RPUNMLPKNHPFFAH56CC,埔子段北門埔子小段,.00,都市：商
RPUOMLPKNHPFFDH96CC,大金山下段大金山下小段,.00,都市：住
RPVNMLPKNHPFFDH96CC,楊梅段,.00,都市：住
RPPPMLPKNHPFFAH88CC,埔子段埔子小段,.00,都市：住
RPTOMLPKNHPFFEH96CC,坑子外段山腳小段,.00,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPXPMLPKNHPFFEH47CC,六福段,.00,都市：工
RPXPMLPKNHPFFEH47CC,六福段,.00,都市：工
RPXPMLPKNHPFFEH47CC,六福段,.00,都市：工
RPXPMLPKNHPFFEH47CC,六福段,.00,都市：工
RPXPMLPKNHPFFEH47CC,六福段,.00,都市：工
RPTNMLPKNHPFFGH07CC,金星段,.00,都市：住
RPSNMLPKNHPFFGH96CC,復旦段,.00,都市：住
RPSOMLPKNHPFFGH07CC,福林段,26.08,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPUNMLPKNHPFFCH76CC,仁武段,.00,都市：住
RPXNMLPKNHPFFCH07CC,中正段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLPKNHPFFFH56CC,豐田段,28.08,都市：住
RPROMLPKNHPFFGH07DC,平鎮段,15.47,都市：商
RPOOMLPKNHPFFCH88CC,金龍段,.00,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPVNMLPKNHPFFCH86CC,三層段十三份小段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSQMLPKNHPFFEH17DC,青山段,67.51,都市：住
RPQNMLPKNHPFFHH96DC,文化段,65.38,都市：住
RPPNMLQKNHPFFCH98CC,聖亭段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXRMLSKNHPFFBH67CC,內壢段,1256.00,都市：農
RPXRMLSKNHPFFBH67CC,內壢段,1256.00,都市：農
RPQNMLQKNHPFFBH98CC,中寮段,.00,都市：商
RPRNMLQKNHPFFBH09CC,中寮段,.00,都市：住
RPPNMLQKNHPFFBH88CC,中寮段,.00,都市：商
RPTRMLSKNHPFFBH27CC,青芝段,.00,都市：商
RPTRMLSKNHPFFBH27CC,青芝段,.00,都市：其他
RPPOMLPKNHPFFCH98CC,仁武段,.00,都市：住
RPPTMLSKNHPFFBH07CC,老街溪段,.00,都市：住
RPQTMLSKNHPFFBH17CC,忠福段,.00,都市：住
RPXTMLSKNHPFFBH87CC,環東段,.00,都市：住
RPTPMLSKNHPFFAH96CC,埔子段埔子小段,.00,非都市： ; 非都市編定：
RPTPMLSKNHPFFAH96CC,埔子段埔子小段,.00,非都市： ; 非都市編定：
RPTPMLSKNHPFFAH96CC,埔子段埔子小段,.00,非都市： ; 非都市編定：
RPTPMLSKNHPFFAH96CC,埔子段埔子小段,.00,非都市： ; 非都市編定：
RPSUMLSKNHPFFBH47CC,興南段興南小段,.00,都市：商
RPVPMLSKNHPFFAH17CC,建新段,.00,非都市： ; 非都市編定：
RPQSMLSKNHPFFBH07CC,雙嶺段,.00,都市：住
RPOQMLSKNHPFFAH56CC,中路二段,.00,都市：住
RPRQMLSKNHPFFAH86CC,大樹林段,.00,都市：商
RPPQMLSKNHPFFAH66CC,富國段,.00,非都市： ; 非都市編定：
RPXPMLSKNHPFFAH37CC,龍鳳段,16.87,都市：住
RPXPMLSKNHPFFAH37CC,龍鳳段,.05,都市：住
RPXPMLSKNHPFFAH37CC,龍鳳段,.05,都市：住
RPXPMLSKNHPFFAH37CC,龍鳳段,.33,都市：住
RPTQMLSKNHPFFAH07CC,和平段,12.75,都市：住
RPPSMLSKNHPFFAH86CC,桃園段公館頭小段,.00,都市：商
RPPSMLSKNHPFFAH86CC,桃園段公館頭小段,.00,都市：商
