編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPPRMLLKNHPFFAH68CC,坡道平面,2500,
RPOOMLLKNHPFFHH98CC,坡道平面,2500,
RPTOMLMKNHPFFAH88CC,坡道平面,0,
RPXOMLMKNHPFFEH07CC,坡道平面,0,40.01
RPOQMLMKNHPFFAH58CC,坡道平面,0,31.10
RPXNMLMKNHPFFBH86EC,坡道平面,0,31.38
RPROMLOKNHPFFDH56CC,坡道平面,0,31.70
RPQOMLOKNHPFFDH09CC,坡道平面,0,29.75
RPPOMLOKNHPFFDH98CC,坡道平面,0,29.75
RPUPMLOKNHPFFAH66CC,坡道平面,0,30.69
RPTRMLPKNHPFFBH96CC,坡道平面,0,
RPUNMLPKNHPFFAH56CC,坡道機械,0,14.24
RPUOMLPKNHPFFDH96CC,坡道平面,0,31.70
RPTNMLPKNHPFFGH07CC,坡道平面,0,30.21
RPSOMLPKNHPFFGH07CC,坡道平面,0,
RPUNMLPKNHPFFCH76CC,坡道平面,0,35.93
RPOOMLPKNHPFFFH56CC,坡道平面,0,
RPROMLPKNHPFFGH07DC,坡道平面,0,33.69
RPQNMLPKNHPFFHH96DC,坡道平面,0,32.05
RPQNMLQKNHPFFBH98CC,坡道平面,0,2.42
RPRNMLQKNHPFFBH09CC,升降機械,0,1.21
RPPNMLQKNHPFFBH88CC,坡道平面,0,28.05
RPTRMLSKNHPFFBH27CC,坡道平面,0,40.81
RPPOMLPKNHPFFCH98CC,坡道平面,3900,35.93
RPQSMLSKNHPFFBH07CC,坡道平面,0,37.29
RPOQMLSKNHPFFAH56CC,坡道平面,0,40.77
RPXPMLSKNHPFFAH37CC,坡道平面,0,34.29
RPQRMLSKNHPFFAH86CC,坡道平面,0,29.99
RPWSMLSKNHPFFBH77DC,坡道平面,0,37.08
RPQNMLSKNHPFFHH17CC,坡道平面,0,36.39
RPXOMLSKNHPFFDH57CC,坡道平面,0,39.81
RPTOMLSKNHPFFDH17CC,坡道平面,0,31.70
RPVOMLSKNHPFFDH37CC,坡道平面,0,37.71
RPXNMLTKNHPFFHH97CC,坡道平面,0,36.39
RPRNMLTKNHPFFGH27CC,坡道平面,0,
RPSNMLTKNHPFFGH37CC,坡道平面,0,21.41
RPRNMLTKNHPFFAH66CC,坡道平面,0,32.36
RPXRMLTKNHPFFAH67CC,坡道平面,2000,36.80
RPPQMLTKNHPFFBH86CC,坡道平面,0,
RPRQMLTKNHPFFBH07CC,坡道平面,0,25.36
RPWQMLTKNHPFFBH57CC,坡道平面,0,
RPTOMLTKNHPFFBH07CC,坡道平面,0,
RPUPMLKLNHPFFBH09CC,坡道平面,0,
RPOSMLTKNHPFFBH96CC,坡道平面,0,
RPVRMLTKNHPFFBH57CC,坡道平面,0,
RPSOMLKLNHPFFAH68CC,坡道平面,0,
RPVPMLKLNHPFFAH09CC,坡道平面,0,
RPUOMLKLNHPFFAH88CC,坡道平面,0,
RPPSMLKLNHPFFAH78CC,坡道平面,0,24.03
RPTPMLKLNHPFFFH76CC,坡道平面,0,
RPVOMLKLNHPFFGH96CC,坡道平面,0,42.36
RPVSMLKLNHPFFFH27CC,坡道平面,0,
RPVNMLKLNHPFFEH66CC,坡道平面,0,
RPUQMLKLNHPFFFH96CC,坡道平面,0,
RPWNMLKLNHPFFEH76CC,坡道平面,0,
RPXNMLKLNHPFFEH86CC,坡道平面,0,
