鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
嘉義市,房地(土地+建物),嘉義市嘉義市保成路151~180號,103.0,住,,,1090401,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1090214,205.77,4,2,4,有,無,13700000,66579,,0.0,0,,RPXOMLOKNHPFFAI76CA
嘉義市,房地(土地+建物),嘉義市嘉義市自強街195巷31~60號,18.53,住,,,1090424,土地3建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800620,97.02,3,2,2,有,有,3100000,31952,,0.0,0,,RPOOMLTKNHPFFAI98CA
嘉義市,土地,湖子內段湖內小段61~90地號,3457.0,農,,,1090320,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22000000,6364,,0.0,0,,RPQOMLTKNHPFFAI56CA
嘉義市,房地(土地+建物),嘉義市嘉義市吳鳳南路621巷1~30號,72.0,住,,,1090422,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0660305,89.2,3,2,2,有,無,3650000,40919,,0.0,0,,RPRNMLKLNHPFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市玉山路158巷91~120號,9.98,住,,,1090415,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840711,69.08,2,2,2,有,有,3000000,43428,,0.0,0,,RPTNMLLLNHPFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義市友忠路961~990號,13.1,住,,,1090418,土地2建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870226,99.11,3,2,2,有,有,3388000,34184,,0.0,0,,RPWOMLMKNHPFFAI09CA
嘉義市,房地(土地+建物),嘉義市嘉義市大雅路二段234巷1~30號,101.64,住,,,1090411,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0901015,247.38,4,2,3,有,有,11000000,44466,,0.0,0,,RPQOMLNLNHPFFAI68CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市南京東街211~240號,18.89,住,,,1081111,土地12建物1車位1,九層,九層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1090108,92.28999999999999,3,2,2,有,有,4530000,49084,坡道機械,0.6,0,增建2房1衛。本案依據建設公司提供之預售契約書登載。,RPVNMLQLNHPFFAI76CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市興美六路421~450號,18.62,住,,,1071113,土地12建物1車位1,三層,九層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1090108,92.41999999999999,3,2,2,有,有,6500000,70331,坡道機械,0.6,0,增建2房1衛。本案依據建設公司提供之預售契約書登載。,RPSOMLQLNHPFFAI56CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市南京東街211~240號,19.89,住,,,1051022,土地12建物1車位1,四層,九層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1090108,96.4,2,2,2,有,有,5510000,57158,坡道機械,0.6,0,增建2房1衛。本案依據建設公司提供之預售契約書登載。,RPUOMLQLNHPFFAI76CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市南京東街211~240號,24.92,住,,,1050920,土地12建物1車位1,四層,九層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1090108,118.93,4,2,2,有,有,6300000,52972,坡道機械,0.6,0,增建2房1衛。本案依據建設公司提供之預售契約書登載。,RPOPMLQLNHPFFAI88CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市南京東街211~240號,24.92,住,,,1050916,土地12建物1車位1,三層,九層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1090108,134.07,0,0,0,無,有,6750000,50347,坡道平面,1.21,0,,RPPPMLQLNHPFFAI98CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市南京東街211~240號,24.95,住,,,1070620,土地12建物1車位1,八層,九層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1090108,118.01,3,1,2,有,有,6500000,55080,坡道機械,0.6,0,增建1房1衛。本案依據建設公司提供之預售契約書登載。,RPQPMLQLNHPFFAI09CA
嘉義市,房地(土地+建物),嘉義市嘉義市興美六路421~450號,25.8,住,,,1051115,土地12建物1車位0,五層,九層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1090108,120.53,3,2,2,有,有,6160000,51108,,0.0,0,增建2房1衛。1戶外平面車位無配分公設持分。本案依據建設公司提供之預售契約書登載。,RPTPMLQLNHPFFAI76CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市興美六路421~450號,18.63,住,,,1051007,土地12建物1車位1,八層,九層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1090108,92.41999999999999,3,2,2,有,有,4500000,48691,坡道機械,0.6,0,增建2房1衛。本案依據建設公司提供之預售契約書登載。,RPWPMLQLNHPFFAI07CA
嘉義市,房地(土地+建物),嘉義市嘉義市南興路241~270號,28.1,住,,,1090422,土地1建物1車位0,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700327,105.06,2,1,1,有,有,3500000,33314,,0.0,0,,RPOOMLKMNHPFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義市安樂街61~90號,21.96,住,,,1090108,土地2建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0890111,135.76,3,2,2,有,有,5950000,43827,,0.0,0,,RPOPMLLJOHPFFAI28CA
嘉義市,土地,遠東段211~240地號,15200.0,農,,,1081226,土地19建物0車位0,,,其他,,,,0.0,0,0,0,有,無,281131400,18495,,0.0,0,"乙工總價222,540,780元整每坪單價75500元農地總價58,590,620元整每坪單價35500元",RPUNMLMJOHPFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義市融和街1~30號,68.0,住,,,1090406,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0611112,120.08,3,2,3,有,無,10000000,83278,,0.0,0,,RPUNMLPKNHPFFAI66EA
嘉義市,房地(土地+建物),嘉義市嘉義市蘭州四街61~90號,7.68,住,,,1090330,土地1建物1車位0,五層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820111,33.08,1,1,1,有,有,900000,27207,,0.0,0,,RPROMLSJOHPFFAI76EA
嘉義市,房地(土地+建物),嘉義市嘉義市國華街271~300號,1.79,商,,,1090319,土地1建物1車位0,一層,九層,辦公商業大樓,商業用,鋼筋混凝土造,0700725,11.03,0,0,0,無,無,250000,22665,,0.0,0,,RPQPMLTJOHPFFAI86EA
嘉義市,房地(土地+建物),嘉義市嘉義市興雅路31~60號,12.32,住,,,1090411,土地1建物1車位0,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820823,108.69,3,2,2,有,有,3100000,28521,,0.0,0,,RPPNMLTJOHPFFAI98CA
嘉義市,房地(土地+建物),嘉義市嘉義市芳安路337巷1~30號,34.7,住,,,1090331,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690813,108.29,3,1,2,有,無,914440,8444,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQOMLOKNHPFFAI88EA
嘉義市,房地(土地+建物),嘉義市嘉義市忠孝路781~810號,78.0,住,,,1090409,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830205,222.93,5,2,3,有,無,5800000,26017,,0.0,0,,RPOQMLOKNHPFFAI88EA
嘉義市,土地,鹿寮段781~810地號,89.32,住,,,1090427,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,8957,,0.0,0,代書費 印花稅 登記規費等費用合計21963元整均由買方支付,RPPNMLSLNHPFFAI98CA
嘉義市,房地(土地+建物),嘉義市嘉義市興達路592巷1~30號,16.57,住,,,1090329,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820618,135.66,4,2,2,有,有,4300000,31697,,0.0,0,本買賣含車位壹位。,RPRNMLNLNHPFFAI68CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市合江街121~150號,90.0,住,,,1090410,土地1建物1車位1,全,四層,透天厝,住家用,見其他登記事項,1090227,204.36,4,2,4,有,無,13880000,67919,一樓平面,0.0,0,,RPVNMLTKNHPFFAI96CA
嘉義市,土地,竹圍子段1~30地號,391.0,住,,,1090224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,29000000,74169,,0.0,0,,RPPOMLNLNHPFFAI58CA
嘉義市,土地,北湖段1~30地號,1530.0,農,,,1090408,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3400000,2222,,0.0,0,,RPWNMLNKNHPFFAI09CA
嘉義市,土地,東川段631~660地號,64.0,住,,,1090430,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,23438,,0.0,0,,RPPPMLOKNHPFFAI68CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市成仁街151~180號,37.32,商,,,1090430,土地1建物1車位2,一層，二層，騎樓,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0850305,240.95999999999998,4,2,3,有,有,8000000,33201,升降機械,0.0,0,,RPRNMLPKNHPFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義市重興里10鄰博愛路一段451~480號,138.0,住,,,1090320,土地2建物2車位0,一層，二層，騎樓,二層,店面(店鋪),住家用,木造,0540415,204.11,5,1,2,有,無,13000000,63691,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPOMLPKNHPFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義市湖邊里7鄰博愛路一段320巷91~120號,40.5,住,,,1090426,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710907,91.21,3,2,1,有,無,2500000,27409,,0.0,0,,RPPQMLOKNHPFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義市蘭州四街61~90號,6.87,住,,,1090505,土地1建物1車位0,七層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820111,31.900000000000002,1,0,1,有,有,980000,30721,,0.0,0,,RPQQMLOKNHPFFAI88CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市世賢路一段631~660號,8.88,住,,,1090423,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830718,101.68,2,2,1,有,有,2350000,23112,坡道機械,0.0,0,,RPRQMLOKNHPFFAI98CA
嘉義市,房地(土地+建物),嘉義市嘉義市民生南路55巷1~30號,17.42,住,,,1090408,土地1建物1車位0,一層，二層，夾層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0860418,127.97,2,2,2,有,有,4700000,36727,,0.0,0,含機械式車位壹位,RPSNMLKLNHPFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義市忠孝路781~810號,5.6,住,,,1090331,土地1建物1車位0,四層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0841004,35.58,0,0,0,無,有,1430000,40191,,0.0,0,,RPVOMLOKNHPFFAI56CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市博東路1~30號,22.67,住,,,1090410,土地2建物1車位1,一層，二層，三層,十二層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0830525,163.18,4,2,3,有,有,6050000,37076,坡道機械,0.0,0,,RPROMLNLNHPFFAI78CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市泰山一街31~60號,22.85,住,,,1090427,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831223,191.47,4,2,2,有,有,4880000,25487,坡道機械,0.0,0,,RPUNMLQLNHPFFAI66CA
