編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWOMLMKNHPFFAI09CA,22,75.11,住家用,鋼筋混凝土造,87年2月26日,十二層,四層
RPWOMLMKNHPFFAI09CA,22,11.29,共有部份,鋼筋混凝土造,87年2月26日,十二層,
RPWOMLMKNHPFFAI09CA,22,12.71,共有部份,鋼筋混凝土造,87年2月26日,十二層,
RPOOMLTKNHPFFAI98CA,29,85.57,住家用,鋼筋混凝土造,80年6月20日,七層,一層
RPOOMLTKNHPFFAI98CA,29,11.45,共有部份,鋼筋混凝土造,80年6月20日,七層,
RPRNMLKLNHPFFAI38CA,43,89.20,住家用,鋼筋混凝土加強磚造,66年3月5日,二層,一層 二層 騎樓
RPXOMLOKNHPFFAI76CA,,205.77,見其他登記事項,見其他登記事項,109年2月14日,三層,一層 二層 三層 見其他登記事項
RPVNMLQLNHPFFAI76CA,,48.53,見其他登記事項,見其他登記事項,109年1月8日,九層,九層
RPVNMLQLNHPFFAI76CA,,28.51,見其他登記事項,見其他登記事項,109年1月8日,九層,
RPVNMLQLNHPFFAI76CA,,15.25,見其他登記事項,見其他登記事項,109年1月8日,九層,
RPUOMLQLNHPFFAI76CA,,51.59,見其他登記事項,見其他登記事項,109年1月8日,九層,四層
RPUOMLQLNHPFFAI76CA,,28.54,見其他登記事項,見其他登記事項,109年1月8日,九層,
RPUOMLQLNHPFFAI76CA,,16.26,見其他登記事項,見其他登記事項,109年1月8日,九層,
RPQOMLNLNHPFFAI68CA,18,226.26,見其他登記事項,鋼筋混凝土造,90年10月15日,四層,一層 二層 三層 四層 地下層
RPQOMLNLNHPFFAI68CA,18,21.12,共有部份,鋼筋混凝土造,90年10月15日,四層,
RPSOMLQLNHPFFAI56CA,,48.05,見其他登記事項,見其他登記事項,109年1月8日,九層,三層
RPSOMLQLNHPFFAI56CA,,27.70,見其他登記事項,見其他登記事項,109年1月8日,九層,
RPSOMLQLNHPFFAI56CA,,16.67,見其他登記事項,見其他登記事項,109年1月8日,九層,
RPTNMLLLNHPFFAI68CA,25,55.53,住家用,鋼筋混凝土造,84年7月11日,十二層,九層
RPTNMLLLNHPFFAI68CA,25,13.55,共有部份,鋼筋混凝土造,84年7月11日,十二層,
RPQPMLQLNHPFFAI09CA,,68.93,見其他登記事項,見其他登記事項,109年1月8日,九層,八層
RPQPMLQLNHPFFAI09CA,,27.10,見其他登記事項,見其他登記事項,109年1月8日,九層,
