編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPVNMLQLNHPFFAI76CA,坡道機械,0,.60
RPUOMLQLNHPFFAI76CA,坡道機械,0,.60
RPSOMLQLNHPFFAI56CA,坡道機械,0,.60
RPQPMLQLNHPFFAI09CA,坡道機械,0,.60
RPPPMLQLNHPFFAI98CA,坡道平面,0,1.21
RPOPMLQLNHPFFAI88CA,坡道機械,0,.60
RPWPMLQLNHPFFAI07CA,坡道機械,0,.60
RPVNMLTKNHPFFAI96CA,一樓平面,0,
RPRNMLPKNHPFFAI78CA,升降機械,0,
RPRNMLPKNHPFFAI78CA,升降機械,0,
RPRQMLOKNHPFFAI98CA,坡道機械,0,
RPROMLNLNHPFFAI78CA,坡道機械,0,
RPUNMLQLNHPFFAI66CA,坡道機械,0,
RPSNMLPKNHPFFAI09EA,升降機械,0,
RPSNMLPKNHPFFAI09EA,升降機械,0,
RPSNMLPKNHPFFAI09EA,坡道平面,0,
RPSNMLPKNHPFFAI09EA,坡道平面,0,
RPQNMLKMNHPFFAI38CA,坡道平面,0,
RPSNMLTJOHPFFAI66CA,坡道平面,0,
RPSNMLTJOHPFFAI66CA,坡道平面,0,
RPOPMLTJOHPFFAI09CA,坡道平面,0,
RPOPMLTJOHPFFAI09CA,坡道機械,0,
RPSNMLRLNHPFFAI56CA,坡道平面,0,
RPPNMLKLNHPFFAI38EA,升降機械,0,
