鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路一段271~300號,25.39,住,,,1061128,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090117,166.99,3,2,2,有,有,10050000,68436,坡道平面,34.02,950000,,RPPOMLLKNHPFFBJ48CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街181~210號,20.72,住,,,1090229,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960615,122.37,2,2,1,有,有,7380000,60309,坡道平面,29.06,0,含增建或未登記建物。;,RPOQMLMKNHPFFBJ68CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口七街1~30號,25.45,住,,,1071005,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081004,133.85,2,2,1,有,有,9250000,87027,坡道平面,41.35,1200000,,RPPUMLMKNHPFFBJ56CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口七街1~30號,25.43,住,,,1090305,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081004,133.19,2,2,1,有,有,10100000,93641,坡道平面,41.35,1500000,,RPQUMLMKNHPFFBJ66CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口七街1~30號,25.45,住,,,1080623,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081004,133.19,2,2,1,有,有,9900000,92552,坡道平面,41.35,1400000,,RPRUMLMKNHPFFBJ76CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口七街1~30號,25.43,住,,,1090304,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081004,133.19,2,2,1,有,有,10500000,97997,坡道平面,41.35,1500000,,RPSUMLMKNHPFFBJ86CA
新埔鎮,土地,福田段361~390地號,196.06,住,,,1090414,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11267000,57467,,0.0,0,,RPRNMLNKNHPFFBJ78CA
竹北市,房地(土地+建物),新竹縣竹北市中山路232巷6弄1~30號,144.49,工,,,1090404,土地2建物1車位0,全,四層,透天厝,商業用,鋼筋混凝土造,0950808,299.56,4,2,5,有,有,17680000,59020,,0.0,0,含增建或未登記建物。;,RPWOMLSKNHPFFBJ27CA
關西鎮,土地,關農段1~30地號,3837.58,農,,,1090218,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,34245370,8924,,0.0,0,,RPVPMLTKNHPFFBJ37CA
