編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQUMLMKNHPFFBJ66CA,,58.38,住家用,鋼筋混凝土造,108年10月4日,十二層,四層
RPQUMLMKNHPFFBJ66CA,,74.81,見其他登記事項,鋼筋混凝土造,108年10月4日,十二層,
RPPUMLMKNHPFFBJ56CA,,58.86,住家用,鋼筋混凝土造,108年10月4日,十二層,二層
RPPUMLMKNHPFFBJ56CA,,74.99,見其他登記事項,鋼筋混凝土造,108年10月4日,十二層,
RPSUMLMKNHPFFBJ86CA,,58.38,住家用,鋼筋混凝土造,108年10月4日,十二層,十二層
RPSUMLMKNHPFFBJ86CA,,74.81,見其他登記事項,鋼筋混凝土造,108年10月4日,十二層,
RPWOMLSKNHPFFBJ27CA,14,294.80,商業用,鋼筋混凝土造,95年8月8日,四層,一層 二層 三層 四層
RPWOMLSKNHPFFBJ27CA,14,.59,共用部分,鋼筋混凝土造,95年8月8日,四層,
RPWOMLSKNHPFFBJ27CA,14,4.16,共用部分,鋼筋混凝土造,95年8月8日,四層,
RPOQMLMKNHPFFBJ68CA,13,67.87,住家用,鋼筋混凝土造,96年6月15日,十二層,十層
RPOQMLMKNHPFFBJ68CA,13,11.36,共用部分,鋼筋混凝土造,96年6月15日,十二層,
RPOQMLMKNHPFFBJ68CA,13,43.14,共用部分,鋼筋混凝土造,96年6月15日,十二層,
RPPOMLLKNHPFFBJ48CA,,89.48,住家用,鋼筋混凝土造,109年1月17日,十四層,六層
RPPOMLLKNHPFFBJ48CA,,77.51,見其他登記事項,鋼筋混凝土造,109年1月17日,十四層,
RPPOMLKLNHPFFBJ48CA,12,.05,商業用,鋼筋混凝土造,97年2月1日,十九層,一層
RPPOMLKLNHPFFBJ48CA,12,.02,共用部分,鋼筋混凝土造,97年2月1日,十九層,
RPPOMLKLNHPFFBJ48CA,12,60.17,共用部分,鋼筋混凝土造,97年2月1日,十九層,
RPPOMLKLNHPFFBJ48CA,12,193.56,住家用,鋼筋混凝土造,97年2月1日,十九層,十二層
RPPOMLKLNHPFFBJ48CA,12,54.76,共用部分,鋼筋混凝土造,97年2月1日,十九層,
RPPOMLKLNHPFFBJ48CA,12,23.03,共用部分,鋼筋混凝土造,97年2月1日,十九層,
RPRUMLMKNHPFFBJ76CA,,58.38,住家用,鋼筋混凝土造,108年10月4日,十二層,七層
RPRUMLMKNHPFFBJ76CA,,74.81,見其他登記事項,鋼筋混凝土造,108年10月4日,十二層,
RPTPMLKLNHPFFBJ98CA,3,217.46,住家用,鋼筋混凝土造,106年3月29日,二十三層,十二層
RPTPMLKLNHPFFBJ98CA,3,106.98,見其他登記事項,鋼筋混凝土造,106年3月29日,二十三層,
RPTPMLKLNHPFFBJ98CA,3,.22,見其他登記事項,鋼筋混凝土造,106年3月29日,一層,一層
RPTPMLKLNHPFFBJ98CA,3,78.52,見其他登記事項,鋼筋混凝土造,106年3月29日,二十三層,
RPTQMLRLNHPFFBJ17CA,,40.00,住家用,鋼筋混凝土造,108年10月14日,二十三層,十七層
RPTQMLRLNHPFFBJ17CA,,22.24,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPTQMLRLNHPFFBJ17CA,,17.96,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPTQMLRLNHPFFBJ17CA,,3.31,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPRQMLRLNHPFFBJ96CA,,53.14,住家用,鋼筋混凝土造,108年10月14日,二十三層,十三層
RPRQMLRLNHPFFBJ96CA,,31.21,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPRQMLRLNHPFFBJ96CA,,35.92,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPRQMLRLNHPFFBJ96CA,,3.31,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPUQMLRLNHPFFBJ27CA,,57.01,住家用,鋼筋混凝土造,108年10月14日,二十三層,七層
RPUQMLRLNHPFFBJ27CA,,33.44,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPUQMLRLNHPFFBJ27CA,,35.92,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPUQMLRLNHPFFBJ27CA,,3.31,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPSQMLRLNHPFFBJ07CA,,40.00,住家用,鋼筋混凝土造,108年10月14日,二十三層,十五層
RPSQMLRLNHPFFBJ07CA,,22.24,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPSQMLRLNHPFFBJ07CA,,17.96,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPSQMLRLNHPFFBJ07CA,,3.31,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPQQMLRLNHPFFBJ86CA,,53.14,住家用,鋼筋混凝土造,108年10月14日,二十三層,二十一層
RPQQMLRLNHPFFBJ86CA,,31.21,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPQQMLRLNHPFFBJ86CA,,35.92,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPQQMLRLNHPFFBJ86CA,,3.31,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPRQMLLLNHPFFBJ98CA,6,108.32,住家用,鋼筋混凝土造,103年3月21日,二十四層,九層
RPRQMLLLNHPFFBJ98CA,6,59.40,見其他登記事項,鋼筋混凝土造,103年3月21日,二十四層,
RPRQMLLLNHPFFBJ98CA,6,19.67,見其他登記事項,鋼筋混凝土造,103年3月21日,二十四層,
RPWQMLRLNHPFFBJ47CA,,57.01,住家用,鋼筋混凝土造,108年10月14日,二十三層,二十三層
RPWQMLRLNHPFFBJ47CA,,33.44,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPWQMLRLNHPFFBJ47CA,,35.92,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPWQMLRLNHPFFBJ47CA,,3.31,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPVQMLRLNHPFFBJ37CA,,57.01,住家用,鋼筋混凝土造,108年10月14日,二十三層,十三層
RPVQMLRLNHPFFBJ37CA,,33.44,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPVQMLRLNHPFFBJ37CA,,35.92,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPVQMLRLNHPFFBJ37CA,,3.31,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPUPMLRLNHPFFBJ17CA,,57.00,住家用,鋼筋混凝土造,108年10月14日,二十三層,九層
RPUPMLRLNHPFFBJ17CA,,33.39,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPUPMLRLNHPFFBJ17CA,,35.92,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPUPMLRLNHPFFBJ17CA,,3.31,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPVPMLRLNHPFFBJ27CA,,39.86,住家用,鋼筋混凝土造,108年10月14日,二十三層,十一層
RPVPMLRLNHPFFBJ27CA,,22.24,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPVPMLRLNHPFFBJ27CA,,17.96,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPVOMLTLNHPFFBJ37CA,,88.34,住家用,鋼筋混凝土造,108年9月29日,十四層,十一層
RPVOMLTLNHPFFBJ37CA,,69.56,見其他登記事項,鋼筋混凝土造,108年9月29日,十四層,
RPXPMLRLNHPFFBJ47CA,,40.00,住家用,鋼筋混凝土造,108年10月14日,二十三層,十一層
RPXPMLRLNHPFFBJ47CA,,22.24,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPWPMLRLNHPFFBJ37CA,,40.00,住家用,鋼筋混凝土造,108年10月14日,二十三層,七層
RPWPMLRLNHPFFBJ37CA,,22.24,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPWPMLRLNHPFFBJ37CA,,17.96,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPOQMLRLNHPFFBJ66CA,,53.14,住家用,鋼筋混凝土造,108年10月14日,二十三層,十八層
RPOQMLRLNHPFFBJ66CA,,31.21,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPOQMLRLNHPFFBJ66CA,,35.92,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPOQMLRLNHPFFBJ66CA,,3.31,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPUOMLTLNHPFFBJ27CA,,88.34,住家用,鋼筋混凝土造,108年9月29日,十四層,八層
RPUOMLTLNHPFFBJ27CA,,69.56,見其他登記事項,鋼筋混凝土造,108年9月29日,十四層,
RPOPMLTLNHPFFBJ76CA,,86.52,住家用,鋼筋混凝土造,108年9月29日,十四層,七層
RPOPMLTLNHPFFBJ76CA,,68.52,見其他登記事項,鋼筋混凝土造,108年9月29日,十四層,
RPXOMLTLNHPFFBJ57CA,,86.52,住家用,鋼筋混凝土造,108年9月29日,十四層,三層
RPXOMLTLNHPFFBJ57CA,,68.52,見其他登記事項,鋼筋混凝土造,108年9月29日,十四層,
RPQPMLTLNHPFFBJ96CA,,88.20,住家用,鋼筋混凝土造,108年9月29日,十四層,三層
RPQPMLTLNHPFFBJ96CA,,69.36,見其他登記事項,鋼筋混凝土造,108年9月29日,十四層,
RPVPMLTLNHPFFBJ47CA,,77.64,商業用,鋼筋混凝土造,108年9月29日,十四層,一層
RPVPMLTLNHPFFBJ47CA,,74.55,見其他登記事項,鋼筋混凝土造,108年9月29日,十四層,
RPSNMLLMNHPFFBJ88CA,6,402.40,住商用,鋼筋混凝土造,103年1月22日,四層,一層 二層 三層 四層 屋頂突出物 見其他登記事項
RPRPMLTLNHPFFBJ07CA,,62.74,住家用,鋼筋混凝土造,108年9月29日,十四層,十一層
RPRPMLTLNHPFFBJ07CA,,56.90,見其他登記事項,鋼筋混凝土造,108年9月29日,十四層,
RPWPMLTLNHPFFBJ57CA,,84.18,商業用,鋼筋混凝土造,108年9月29日,十四層,一層
RPWPMLTLNHPFFBJ57CA,,106.52,見其他登記事項,鋼筋混凝土造,108年9月29日,十四層,
RPSOMLTLNHPFFBJ07CA,,80.29,住家用,鋼筋混凝土造,108年9月29日,十四層,二層
RPSOMLTLNHPFFBJ07CA,,91.78,見其他登記事項,鋼筋混凝土造,108年9月29日,十四層,
RPSNMLKKOHPFFBJ68CA,1,206.83,住商用,鋼筋混凝土造,108年9月16日,四層,一層 二層 三層 四層
RPPNMLTKNHPFFCJ66CA,27,94.89,住家用,鋼筋混凝土造,82年6月22日,六層,四層
RPPNMLTKNHPFFCJ66CA,27,12.06,共有部分,鋼筋混凝土造,82年6月22日,六層,
RPPNMLTKNHPFFCJ66CA,27,33.80,共有部分,鋼筋混凝土造,82年6月22日,六層,
RPPUMLTKNHPFFCJ37CA,27,94.60,住家用,鋼筋混凝土造,81年12月31日,五層,五層
RPPUMLTKNHPFFCJ37CA,27,13.99,共有部分,鋼筋混凝土造,81年12月31日,五層,
RPUNMLMKNHPFFDJ56CA,,171.60,見其他登記事項,鋼筋混凝土造,108年10月24日,四層,一層 二層 三層 四層 屋頂突出物
RPWNMLNKNHPFFDJ86CA,1,262.46,見其他登記事項,鋼筋混凝土造,108年9月16日,四層,一層 二層 三層 四層
RPTOMLRLNHPFFCJ07CA,5,90.84,見其他登記事項,鋼筋混凝土造,104年3月25日,十四層,九層
RPTOMLRLNHPFFCJ07CA,5,17.52,共有部分,鋼筋混凝土造,104年3月25日,十四層,
RPTOMLRLNHPFFCJ07CA,5,22.73,共有部分,鋼筋混凝土造,104年3月25日,十五層,
RPTOMLRLNHPFFCJ07CA,5,.02,見其他登記事項,鋼筋混凝土造,104年3月25日,十四層,一層
RPTOMLRLNHPFFCJ07CA,5,28.65,共有部分,鋼筋混凝土造,104年3月25日,十五層,
RPTOMLRLNHPFFCJ07CA,5,.00,共有部分,鋼筋混凝土造,104年3月25日,十四層,
RPUNMLLLNHPFFDJ56CA,,120.89,見其他登記事項,鋼筋混凝土造,109年1月22日,十四層,十三層
RPUNMLLLNHPFFDJ56CA,,25.86,共有部分,鋼筋混凝土造,109年1月22日,十四層,
RPUNMLLLNHPFFDJ56CA,,57.18,共有部分,鋼筋混凝土造,109年1月22日,十四層,
