編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQOMLMKNHPFFDJ09CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLTKNHPFFBJ27CC,縣華段,143.50,都市：住
RPVNMLLKNHPFFBJ56CC,公園段,36.35,都市：住
RPXOMLOKNHPFFDJ37CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLNKNHPFFBJ86CC,仁安段,124.96,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPWNMLNKNHPFFBJ86CC,仁安段,409.75,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPWNMLNKNHPFFBJ86CC,仁安段,105.35,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPWNMLNKNHPFFBJ86CC,仁安段,1041.12,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPROMLMKNHPFFDJ56CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWOMLOKNHPFFDJ27CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLTKNHPFFBJ86CC,家興段,.00,都市：商
RPTPMLPKNHPFFBJ96CC,翰林段,.00,都市：住
