編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPUNMLPJOHPFFBK76CA,坡道平面,0,17.99
RPTNMLNKNHPFFCK56CA,坡道平面,0,
RPPNMLMKNHPFFDK78CA,坡道機械,0,
RPROMLMKNHPFFDK09CA,坡道平面,0,23.62
RPWNMLPJOHPFFBK96CA,坡道平面,0,21.97
SPROMLMKNHPFFDK56CA,坡道平面,0,23.62
RPPOMLNKNHPFFDK98CA,坡道平面,0,32.11
RPQNMLMKNHPFFFK09CA,坡道平面,1100000,
RPTNMLPKNHPFFFK07CA,坡道平面,1000000,26.24
RPUNMLTKNHPFFFK57CA,一樓平面,0,
RPPNMLTKNHPFFBK66CA,坡道平面,0,
RPPNMLTKNHPFFBK66CA,坡道平面,0,
RPQNMLRKNHPFFBK56CA,坡道平面,0,
RPSNMLKLNHPFFDK98CA,坡道平面,0,
RPSNMLKLNHPFFDK98CA,坡道平面,0,
RPQOMLNKNHPFFDK09CA,坡道平面,800000,33.41
RPRNMLOKNHPFFDK56CA,一樓平面,0,
RPOOMLNKNHPFFFK09CA,坡道平面,850000,26.60
RPSNMLPKNHPFFFK96CA,坡道平面,1100000,33.91
RPUNMLOKNHPFFFK07CA,坡道平面,1200000,27.85
RPQNMLOKNHPFFFK66CA,一樓平面,0,
RPTNMLQLNHPFFFK27CA,坡道平面,900000,39.44
RPQNMLQKNHPFFDK66CA,一樓平面,600000,11.57
RPPNMLQKNHPFFDK56CA,一樓平面,600000,11.57
RPUNMLQKNHPFFDK07CA,一樓平面,600000,11.57
RPPNMLOKOHPFFDK09CA,一樓平面,600000,11.57
RPTNMLQKNHPFFDK96CA,一樓平面,600000,11.57
RPVNMLQKNHPFFDK17CA,一樓平面,600000,11.57
RPQNMLOKOHPFFDK56CA,一樓平面,600000,11.57
RPOOMLSLNHPFFBK66CA,坡道機械,0,
RPRNMLSLNHPFFBK86CA,一樓平面,0,
RPOOMLTKNHPFFBK66CA,一樓平面,0,
RPSNMLSLNHPFFBK96CA,一樓平面,0,
RPTNMLSLNHPFFBK07CA,一樓平面,0,
RPUNMLSLNHPFFBK17CA,一樓平面,0,
RPQNMLLJOHPFFDK78CA,坡道平面,0,
RPPNMLLLNHPFFDK78CA,坡道平面,1000000,32.12
RPPNMLNJOHPFFCK78CA,升降機械,300000,
RPTNMLLLNHPFFDK56CA,升降機械,0,
RPXNMLPKNHPFFFK47CA,坡道平面,900000,27.85
RPRNMLSKNHPFFFK17CA,坡道平面,850000,26.60
RPPNMLLLNHPFFFK98CA,坡道機械,0,9.96
RPSNMLPLNHPFFFK07CA,坡道平面,800000,13.49
RPQNMLQLNHPFFFK96CA,坡道平面,0,
RPWNMLTKNHPFFFK77CA,一樓平面,0,12.95
RPTNMLLMNHPFFDK66CA,一樓平面,600000,11.58
RPSNMLTKNHPFFDK17CA,坡道平面,1200000,34.72
RPRNMLLMNHPFFDK09CA,一樓平面,600000,11.57
RPTNMLRLNHPFFCK07CA,一樓平面,500000,
RPUNMLMLNHPFFFK96CA,坡道平面,1000000,27.85
RPTNMLMLNHPFFFK86CA,坡道平面,1000000,25.63
RPTNMLQLNHPFFDK07CA,坡道平面,0,
RPTNMLQLNHPFFDK07CA,坡道平面,0,
RPQNMLOJOHPFFBK88CA,一樓平面,0,
RPQNMLMLNHPFFDK98CA,坡道機械,0,
RPTNMLMLNHPFFBK09CA,一樓平面,0,
RPRNMLMLNHPFFBK88CA,一樓平面,0,
