編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPTNMLLKNHPFFAM98CA,永昌段,139.78,都市：住
RPUNMLKLNHPFFBM56CA,中興段,107.00,都市：住
RPQNMLMKNHPFFCM98CA,愛蘭段,36.79,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLLKNHPFFAM09CA,內新段,426.40,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLMLNHPFFBM09CA,土城段,152.15,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLKLNHPFFAM68CA,牛運堀段,304.00,都市：住
RPUNMLMKNHPFFAM56CA,光華段,92.46,都市：住
RPPNMLPLNHPFFBM56CA,建興段,153.85,都市：住
RPUNMLOKNHPFFBM86CA,炎峰段,77.31,都市：住
RPSNMLKLNHPFFAM88CA,二重溪段,15.60,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLKLNHPFFAM88CA,二重溪段,75.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLMKNHPFFDM98CA,新初鄉段,2585.88,非都市：一般農業區 ; 非都市編定：農牧用地
RPVOMLSLNHPFFCM67CA,曲冰段,253.50,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLPKNHPFFDM07CA,圳頭段,9.07,都市：住
RPTNMLPKNHPFFDM07CA,圳頭段,177.40,都市：住
RPVNMLPKNHPFFCM17CA,忠孝段,54.08,都市：住
RPQNMLMLNHPFFDM56CA,新內湖段,728.72,都市：住
RPQNMLMLNHPFFDM56CA,新內湖段,168.06,都市：其他
RPTNMLMKNHPFFBM66DA,草屯段,99.00,都市：其他
RPRNMLMKNHPFFDM66DA,保生段,193.07,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLMKNHPFFDM66DA,保生段,5.37,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLMJOHPFFCM09CA,東潤段,62.05,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLOJOHPFFDM76CA,中州段,436.02,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLOKNHPFFCM96DA,紅瓦厝段,78.55,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLQLNHPFFDM86CA,內樹皮段,20.91,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLMKNHPFFCM56DA,大瑪璘段,97.55,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLPKNHPFFDM17CA,豬頭棕段,2519.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
