鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
彰化市,土地,石牌段511~540地號,69.55,,山坡地保育區,農牧用地,1090428,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,126000,1812,,0.0,0,,RPRPMLNKNHPFFAN66CA
彰化市,房地(土地+建物),彰化縣彰化市自由街91~120號,77.0,住,,,1090424,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0650511,78.4,4,3,1,有,無,2500000,31888,,0.0,0,親友、員工或其他特殊關係間之交易。;權利人有二人各持分二分之一。,RPWNMLLKNHPFFAN76CA
彰化市,土地,古夷段721~750地號,80.09,住,,,1090427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4820000,60182,,0.0,0,,RPPNMLMKNHPFFAN78CA
芬園鄉,土地,同安段361~390地號,6907.27,,山坡地保育區,農牧用地,1090407,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,1737,,0.0,0,,RPUOMLMKNHPFFAN76CA
花壇鄉,房地(土地+建物),彰化縣花壇鄉宏宅街121~150號,73.38,,特定農業區,甲種建築用地,1090410,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0700116,117.08,2,2,2,有,無,2000000,17082,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVRMLOKNHPFFAN37CA
彰化市,房地(土地+建物),彰化縣彰化市自強路328巷31~60號,128.0,住,,,1090228,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0630919,84.99,2,2,2,有,無,6600000,77656,,0.0,0,,RPPNMLRKNHPFFAN66CA
彰化市,房地(土地+建物)+車位,彰化縣彰化市延平路63巷1~30號,32.4,住,,,1090406,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070920,200.36,3,2,2,有,有,13960000,69675,坡道平面,0.0,0,,RPQNMLPKNHPFFAN56CA
彰化市,房地(土地+建物),彰化縣彰化市中華西路250巷31~60號,112.88,住,,,1090413,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1070810,207.59,4,2,4,有,無,17000000,81892,,0.0,0,,RPQOMLKLNHPFFAN88CA
彰化市,房地(土地+建物),彰化縣彰化市泰和路三段480巷1~30號,68.0,,鄉村區,乙種建築用地,1090419,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0641115,115.92,4,1,2,有,無,3500000,30193,,0.0,0,親友、員工或其他特殊關係間之交易。;本買賣案件係親友間買賣，其交易價格可能異於市場正常交易價格。,RPSNMLOLNHPFFAN76CA
