編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPRPMLNKNHPFFAN66CA,石牌段,69.55,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLMKNHPFFAN78CA,古夷段,80.09,都市：住
RPUOMLMKNHPFFAN76CA,同安段,6907.27,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPWNMLLKNHPFFAN76CA,牛稠子段中庄子小段,77.00,都市：住
RPPNMLRKNHPFFAN66CA,牛稠子段下小段,128.00,都市：住
RPQOMLKLNHPFFAN88CA,西門口段,93.00,都市：住
RPQOMLKLNHPFFAN88CA,西門口段,1.88,都市：住
RPQOMLKLNHPFFAN88CA,西門口段,18.00,都市：住
RPVRMLOKNHPFFAN37CA,溪南段,73.38,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSNMLOLNHPFFAN76CA,阿夷段阿夷小段,68.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLPKNHPFFAN56CA,延和段,32.40,都市：住
RPPNMLLMNHPFFAN88CA,牛稠子段山腳小段,504.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLPKNHPFFBN96CA,和東段,76.00,都市：住
RPQOMLPJOHPFFAN66CA,牛稠子段山腳小段,22.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLPJOHPFFAN66CA,牛稠子段山腳小段,73.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLOJOHPFFAN56CA,東興段,112.00,都市：住
RPQNMLOJOHPFFAN09CA,南郭段南郭小段,38.80,都市：住
RPVNMLLKNHPFFBN76CA,伸股段,330.57,都市：住
RPQNMLMKNHPFFCN09CA,上林段,3949.93,非都市：工業區 ; 非都市編定：丁種建築用地
RPPOMLSLNHPFFBN07CA,福澤段,74.39,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLQLNHPFFBN17CA,福澤段,2.23,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLQLNHPFFBN17CA,福澤段,13.17,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLQLNHPFFBN17CA,福澤段,75.20,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLQLNHPFFBN17CA,福澤段,11.20,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLMKNHPFFCN56CA,外中段,1450.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLMKNHPFFCN56CA,外中段,889.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLLKNHPFFCN76CA,頂和段,88.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLLKNHPFFCN76CA,頂和段,5.00,非都市：特定農業區 ; 非都市編定：水利用地
