編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLMKNHPFFAO96CA,2,96.08,見其他登記事項,鋼筋混凝土造,107年8月20日,十四層,一層 二層
RPWNMLMKNHPFFAO96CA,2,38.71,共有部分,鋼筋混凝土造,107年8月20日,十四層,
RPOOMLLKNHPFFAO78CA,1,91.76,見其他登記事項,鋼筋混凝土造,108年7月16日,五層,四層
RPOOMLLKNHPFFAO78CA,1,23.92,共有部分,鋼筋混凝土造,108年7月16日,五層,
RPOOMLLKNHPFFAO78CA,1,9.65,共有部分,鋼筋混凝土造,108年7月16日,五層,
RPUPMLMKNHPFFAO96CA,24,77.36,住家用,鋼筋混凝土造,84年10月9日,八層,五層
RPUPMLMKNHPFFAO96CA,24,28.70,共有部分,鋼筋混凝土造,84年10月9日,八層,
RPXOMLMKNHPFFAO17CA,5,137.11,見其他登記事項,鋼筋混凝土造,103年12月8日,二十八層,二十四層
RPXOMLMKNHPFFAO17CA,5,59.50,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPXOMLMKNHPFFAO17CA,5,.02,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPXOMLMKNHPFFAO17CA,5,.11,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPXOMLMKNHPFFAO17CA,5,.02,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPXOMLMKNHPFFAO17CA,5,30.90,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPXOMLMKNHPFFAO17CA,5,34.85,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPRRMLPKNHPFFAO17CA,,199.20,見其他登記事項,鋼筋混凝土造,109年3月3日,三層,一層 二層 三層
RPRRMLPKNHPFFAO17CA,8,.19,見其他登記事項,見其他登記事項,100年3月31日,二層,一層
RPRRMLPKNHPFFAO17CA,8,4.32,見其他登記事項,見其他登記事項,100年3月31日,二層,一層 二層 見其他登記事項
RPTRMLPKNHPFFAO37CA,,194.67,見其他登記事項,鋼筋混凝土造,109年3月3日,三層,一層 二層 三層
RPTRMLPKNHPFFAO37CA,8,.19,見其他登記事項,見其他登記事項,100年3月31日,二層,一層
RPTRMLPKNHPFFAO37CA,8,4.32,見其他登記事項,見其他登記事項,100年3月31日,二層,一層 二層 見其他登記事項
RPPOMLMKNHPFFAO98CA,13,25.16,辦公室,鋼筋混凝土造,96年4月12日,七層,三層
RPPOMLMKNHPFFAO98CA,13,13.58,見其他登記事項,鋼筋混凝土造,96年4月12日,七層,
