編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPOOMLLKNHPFFAO78CA,升降機械,750000,5.02
RPUPMLMKNHPFFAO96CA,坡道機械,0,
RPXOMLMKNHPFFAO17CA,坡道平面,1425000,29.76
RPXOMLMKNHPFFAO17CA,坡道平面,1425000,29.76
RPXNMLSKNHPFFAO67CA,坡道平面,0,
RPRPMLSKNHPFFAO27CA,坡道平面,1400000,33.11
RPVOMLSKNHPFFAO57CA,升降機械,0,10.44
RPXNMLPLNHPFFAO47CA,坡道平面,0,
RPXNMLPLNHPFFAO47CA,坡道平面,0,
RPQOMLMJOHPFFAO09CA,坡道平面,0,
RPQQMLTJOHPFFAO37CA,坡道平面,350000,22.25
RPQQMLTJOHPFFAO37CA,坡道平面,350000,29.40
RPUOMLTLNHPFFAO67CA,一樓平面,0,
RPPOMLOLNHPFFAO66CA,坡道平面,0,31.93
RPVNMLSKNHPFFAO47CA,坡道平面,0,23.15
RPVNMLSKNHPFFAO47CA,坡道平面,0,23.15
RPTOMLNKNHPFFAO86CA,坡道平面,0,29.45
RPVPMLSKNHPFFAO67CA,坡道平面,0,
RPVQMLPKNHPFFAO47CA,升降機械,0,
RPTQMLPKNHPFFAO27CA,坡道平面,0,
RPTQMLPKNHPFFAO27CA,坡道平面,0,
RPSPMLSKNHPFFAO37CA,坡道平面,0,
RPPNMLLKOHPFFAO88CA,其他,320000,20.83
RPSNMLLKOHPFFAO56CA,其他,352000,20.83
RPQNMLMKOHPFFAO09CA,其他,312000,20.83
RPXNMLLKOHPFFAO07CA,其他,280000,20.83
RPRNMLMKOHPFFAO56CA,其他,320000,20.83
RPSNMLMKOHPFFAO66CA,其他,352000,20.83
RPWNMLMKOHPFFAO07CA,其他,312000,20.83
RPUNMLMKOHPFFAO86CA,其他,312000,20.83
RPVNMLMKOHPFFAO96CA,其他,280000,20.83
RPXPMLKKOHPFFAO17CA,坡道平面,0,
RPTPMLQLNHPFFAO37CA,升降機械,0,
RPSNMLLLNHPFFAO56CA,坡道平面,0,44.60
RPQPMLTKNHPFFAO27CA,坡道平面,0,
RPQPMLTKNHPFFAO27CA,坡道平面,0,
RPPRMLPKNHPFFAO96CA,坡道平面,0,27.57
RPOOMLSKNHPFFAO86CA,坡道機械,0,
RPXNMLTKNHPFFAO77CA,坡道平面,1550000,37.39
RPUNMLTKNHPFFAO47CA,坡道平面,1500000,37.39
RPWNMLTKNHPFFAO67CA,坡道平面,1550000,37.39
RPVNMLTKNHPFFAO57CA,坡道平面,1450000,37.39
RPOOMLTKNHPFFAO96CA,坡道平面,1000000,22.49
RPVOMLTKNHPFFAO67CA,坡道平面,1550000,37.39
RPPOMLTKNHPFFAO07CA,坡道平面,1550000,37.39
RPORMLTKNHPFFAO27CA,坡道機械,0,15.73
RPQOMLTKNHPFFAO17CA,坡道平面,900000,22.49
RPTRMLTKNHPFFAO77CA,坡道機械,0,8.27
RPTQMLTKNHPFFAO67CA,坡道平面,1500000,37.39
RPXPMLTKNHPFFAO97CA,坡道平面,1450000,37.39
RPUQMLTKNHPFFAO77CA,坡道平面,950000,22.49
RPOQMLTKNHPFFAO17CA,坡道平面,0,
RPPQMLTKNHPFFAO27CA,坡道平面,1450000,37.39
RPUPMLTKNHPFFAO67CA,坡道平面,1500000,37.39
RPRQMLTKNHPFFAO47CA,坡道平面,950000,22.49
RPROMLLLNHPFFAO56CA,坡道機械,0,
RPRPMLKLNHPFFAO56CA,一樓平面,0,
RPTPMLKLNHPFFAO76CA,一樓平面,0,20.99
RPXOMLLLNHPFFAO17CA,坡道平面,0,
RPQOMLLLNHPFFAO09CA,坡道平面,0,26.44
RPQPMLLLNHPFFAO56CA,坡道平面,0,
RPQPMLLLNHPFFAO56CA,坡道平面,0,
RPQNMLNLNHPFFAO56CA,坡道平面,0,32.72
RPVOMLNJOHPFFAO07CA,坡道平面,0,40.66
RPOOMLSJOHPFFAO86CA,坡道平面,0,
RPVNMLLJOHPFFAO76CA,坡道平面,0,28.24
RPVNMLLJOHPFFAO76CA,坡道平面,0,33.44
RPVNMLTLNHPFFAO67CA,坡道平面,1400000,31.21
RPUNMLMLNHPFFAO86CA,坡道平面,2100000,29.71
RPWNMLTLNHPFFAO77CA,坡道平面,1500000,31.21
RPTNMLRLNHPFFAO27CA,坡道平面,0,64.28
RPPOMLMKOHPFFAO09CA,坡道平面,0,
RPQNMLTLNHPFFAO17CA,坡道平面,0,
RPSNMLLJOHPFFAO09CA,坡道平面,1150000,44.36
RPSOMLMLNHPFFAO76CA,坡道平面,0,
RPRPMLTKNHPFFAO37CA,坡道平面,1350000,29.76
RPOQMLKLNHPFFAO98CA,坡道平面,0,
