編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVNMLPKNHPFFAO47EB,新興段,37.01,都市：住
RPVNMLPKNHPFFAO47EB,新興段,.00,都市：其他
RPPOMLPKNHPFFAO96EB,新興段,31.31,都市：住
RPWNMLPKNHPFFAO57EB,新興段,35.93,都市：住
RPPOMLPKNHPFFAO96EB,新興段,.00,都市：其他
RPWNMLPKNHPFFAO57EB,新興段,.00,都市：其他
RPOOMLPKNHPFFAO86EB,新興段,31.31,都市：住
RPOOMLPKNHPFFAO86EB,新興段,.00,都市：其他
RPTNMLPKNHPFFAO27EB,新興段,37.01,都市：住
RPTNMLPKNHPFFAO27EB,新興段,.00,都市：其他
RPQOMLPKNHPFFAO07EB,新興段,35.93,都市：住
RPQOMLPKNHPFFAO07EB,新興段,.00,都市：其他
RPSNMLPKNHPFFAO17EB,新興段,35.93,都市：住
RPSNMLPKNHPFFAO17EB,新興段,.00,都市：其他
RPSOMLPKNHPFFAO27EB,新興段,35.93,都市：住
RPSOMLPKNHPFFAO27EB,新興段,.00,都市：其他
RPXNMLPKNHPFFAO67EB,新興段,35.93,都市：住
RPXNMLPKNHPFFAO67EB,新興段,.00,都市：其他
RPROMLPKNHPFFAO17EB,新興段,37.01,都市：住
RPROMLPKNHPFFAO17EB,新興段,.00,都市：其他
RPTOMLPKNHPFFAO37EB,新興段,37.01,都市：住
RPTOMLPKNHPFFAO37EB,新興段,.00,都市：其他
RPXOMLPKNHPFFAO77EB,新興段,49.44,都市：住
RPXOMLPKNHPFFAO77EB,新興段,.00,都市：其他
RPOPMLPKNHPFFAO96EB,新興段,31.31,都市：住
RPUOMLPKNHPFFAO47EB,新興段,37.01,都市：住
RPOPMLPKNHPFFAO96EB,新興段,.00,都市：其他
RPUOMLPKNHPFFAO47EB,新興段,.00,都市：其他
RPWOMLPKNHPFFAO67EB,新興段,35.93,都市：住
RPWOMLPKNHPFFAO67EB,新興段,.00,都市：其他
RPVOMLPKNHPFFAO57EB,新興段,35.93,都市：住
RPVOMLPKNHPFFAO57EB,新興段,.00,都市：其他
RPRPMLPKNHPFFAO27EB,新興段,31.31,都市：住
RPRPMLPKNHPFFAO27EB,新興段,.00,都市：其他
RPQPMLPKNHPFFAO17EB,新興段,37.01,都市：住
RPQPMLPKNHPFFAO17EB,新興段,.00,都市：其他
RPSPMLPKNHPFFAO37EB,新興段,41.64,都市：住
RPSPMLPKNHPFFAO37EB,新興段,.00,都市：其他
RPPPMLPKNHPFFAO07EB,新興段,31.31,都市：住
RPPPMLPKNHPFFAO07EB,新興段,.00,都市：其他
RPTPMLPKNHPFFAO47EB,新興段,31.31,都市：住
RPTPMLPKNHPFFAO47EB,新興段,.00,都市：其他
RPUPMLPKNHPFFAO57EB,新興段,37.01,都市：住
RPUPMLPKNHPFFAO57EB,新興段,.00,都市：其他
RPXPMLPKNHPFFAO87EB,新興段,31.31,都市：住
RPXPMLPKNHPFFAO87EB,新興段,.00,都市：其他
RPOQMLPKNHPFFAO07EB,新興段,37.31,都市：住
RPOQMLPKNHPFFAO07EB,新興段,.00,都市：其他
RPQQMLPKNHPFFAO27EB,新興段,35.93,都市：住
RPQQMLPKNHPFFAO27EB,新興段,.00,都市：其他
RPVPMLPKNHPFFAO67EB,新興段,31.31,都市：住
RPVPMLPKNHPFFAO67EB,新興段,.00,都市：其他
RPWPMLPKNHPFFAO77EB,新興段,49.35,都市：住
RPWPMLPKNHPFFAO77EB,新興段,.00,都市：其他
RPPQMLPKNHPFFAO17EB,新興段,37.01,都市：住
RPPQMLPKNHPFFAO17EB,新興段,.00,都市：其他
RPSQMLPKNHPFFAO47EB,新興段,31.31,都市：住
RPSQMLPKNHPFFAO47EB,新興段,.00,都市：其他
RPRNMLSKNHPFFAO37EB,新興段,1.18,非都市： ; 非都市編定：
RPRNMLSKNHPFFAO37EB,新興段,.00,非都市： ; 非都市編定：
RPRQMLPKNHPFFAO37EB,新興段,36.23,都市：住
RPRQMLPKNHPFFAO37EB,新興段,.00,都市：其他
