編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWOMLLKNHPFFAO17CC,34,96.60,住家用,鋼筋混凝土造,74年10月30日,五層,
RPWOMLLKNHPFFAO17CC,34,14.43,共有部分,鋼筋混凝土造,74年10月30日,五層,
RPQPMLLKNHPFFAO66CC,,62.48,住家用,加強磚造,,二層,
RPPPMLLKNHPFFAO56CC,26,346.99,農舍,鋼筋混凝土造,82年11月22日,三層,
RPQOMLLKNHPFFAO56CC,26,38.85,住家用,鋼筋混凝土造,83年7月23日,五層,
RPQOMLLKNHPFFAO56CC,26,15.79,共有部分,鋼筋混凝土造,83年7月23日,五層,
RPOOMLOKNHPFFAO66CC,,61.70,住家用,鋼筋混凝土造,,五層,
RPTOMLMKNHPFFAO96CC,28,69.33,住家用,鋼筋混凝土造,81年10月14日,七層,
RPXOMLLKNHPFFAO27CC,,74.00,商業用,磚造,,二層,
RPTOMLMKNHPFFAO96CC,28,9.70,共有部分,鋼筋混凝土造,81年10月14日,八層,
RPTOMLMKNHPFFAO96CC,28,14.06,共有部分,鋼筋混凝土造,81年10月14日,五層,
RPVOMLNKNHPFFAO27CC,4,106.86,見其他登記事項,鋼筋混凝土造,105年1月27日,二十八層,
RPVOMLNKNHPFFAO27CC,4,58.34,共有部分,鋼筋混凝土造,105年1月27日,二十八層,
RPPNMLOKNHPFFAO66CC,36,75.90,住家用,鋼筋混凝土造,73年5月23日,五層,
RPXNMLOKNHPFFAO47CC,24,60.11,商業用,鋼筋混凝土造,85年1月31日,十四層,
RPXNMLOKNHPFFAO47CC,24,14.82,共有部分,鋼筋混凝土造,85年1月31日,十四層,
RPPOMLOKNHPFFAO76CC,,135.22,住家用,鋼筋混凝土造,,十四層,
RPPOMLOKNHPFFAO76CC,,85.78,共有部分,鋼筋混凝土造,,十四層,
RPQQMLTKNHPFFAO57CC,,52.29,國民住宅,加強磚造,,四層,
RPSPMLKLNHPFFAO86CC,24,130.51,商業用,鋼筋混凝土造,84年12月23日,十層,
RPSPMLKLNHPFFAO86CC,24,28.79,共有部分,鋼筋混凝土造,84年12月23日,十層,
RPSPMLKLNHPFFAO86CC,24,23.34,共有部分,鋼筋混凝土造,84年12月23日,十層,
RPSRMLTKNHPFFAO87CC,26,92.42,住家用,鋼筋混凝土造,83年3月14日,五層,
RPSRMLTKNHPFFAO87CC,26,9.39,共有部分,鋼筋混凝土造,83年3月14日,五層,
