鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
古坑鄉,房地(土地+建物),雲林縣古坑鄉永興路151~180號,40.16,,鄉村區,乙種建築用地,1090411,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050630,142.94,3,2,2,有,有,5100000,35679,,0.0,0,,RPQOMLMKNHPFFAP56CA
斗六市,土地,九老爺段1471~1500地號,2081.0,,特定農業區,農牧用地,1090313,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4060000,1951,,0.0,0,,RPPOMLNKNHPFFAP56CA
斗六市,房地(土地+建物),雲林縣斗六市莊敬路347巷30弄61~90號,22.41,住,,,1090425,土地4建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830615,107.10000000000001,3,2,2,有,無,3500000,32680,,0.0,0,,RPQNMLOKNHPFFAP66CA
斗六市,土地,梅林東段931~960地號,121.93,,鄉村區,乙種建築用地,1090404,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800000,31165,,0.0,0,含增建或未登記建物。;,RPSNMLOKNHPFFAP86CA
斗南鎮,土地,東明段301~330地號,2458.88,,特定農業區,農牧用地,1090427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1700000,691,,0.0,0,,RPSNMLMKNHPFFBP76CA
斗南鎮,土地,埤麻段31~60地號,310.22,,鄉村區,乙種建築用地,1090416,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,7414,,0.0,0,,RPQNMLNKNHPFFBP66CA
斗南鎮,房地(土地+建物),雲林縣斗南鎮正福路11巷1~30號,119.48,農,,,1071225,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1081209,233.25,4,3,4,有,無,8260000,35413,,0.0,0,,RPUNMLNKNHPFFBP07CA
二崙鄉,土地,惠來厝段931~960地號,1805.0,,特定農業區,農牧用地,1090414,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3068500,1700,,0.0,0,,RPQNMLTKNHPFFCP37CA
褒忠鄉,土地,馬鳴段1321~1350地號,2602.33,,特定農業區,農牧用地,1090421,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2602230,1000,,0.0,0,,RPQNMLMKNHPFFDP76CA
