編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPOMLNKNHPFFAP56CA,九老爺段,2081.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLNKNHPFFBP66CA,埤麻段,23.50,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLNKNHPFFBP66CA,埤麻段,286.72,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLMKNHPFFDP76CA,馬鳴段,2602.33,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLOKNHPFFAP86CA,梅林東段,5.24,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLOKNHPFFAP86CA,梅林東段,54.45,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLOKNHPFFAP86CA,梅林東段,62.24,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLMKNHPFFBP76CA,東明段,2458.88,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLTKNHPFFCP37CA,惠來厝段,1805.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQOMLMKNHPFFAP56CA,永興段,40.16,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLTKNHPFFDP57CA,新興段,1141.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLNKNHPFFEP07CA,蕃薯段,2123.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPOOMLOKNHPFFDP86CA,五間段,4.25,都市：住
RPQNMLOKNHPFFAP66CA,公正段,20.34,都市：住
RPQNMLOKNHPFFAP66CA,公正段,.52,都市：住
RPQNMLOKNHPFFAP66CA,公正段,.00,都市：其他
RPQNMLOKNHPFFAP66CA,公正段,1.54,都市：住
RPQOMLOKNHPFFDP07CA,五間段,4.31,都市：住
RPPOMLOKNHPFFDP96CA,五間段,4.25,都市：住
RPROMLOKNHPFFDP17CA,五間段,4.33,都市：住
RPUNMLNKNHPFFBP07CA,文安段,95.35,都市：農
RPUNMLNKNHPFFBP07CA,文安段,24.13,都市：農
RPUNMLLKNHPFFFP27CA,新北段,4376.07,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLMKNHPFFFP96CA,東北段,484.76,都市：住
RPPNMLSKNHPFFEP37CA,新北段,115.87,都市：住
RPXNMLSJOHPFFDP08CA,褒忠段,177.00,都市：住
RPPNMLKKOHPFFFP76CA,崙中段,215.03,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLNKNHPFFCP47DA,振興段,26.62,都市：住
RPWNMLNKNHPFFCP47DA,振興段,125.26,都市：住
RPTNMLLLNHPFFFP27CA,豐安段,73.41,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLTJOHPFFFP67CA,橋頭段,1842.50,非都市：一般農業區 ; 非都市編定：農牧用地
RPOOMLNKNHPFFCP76DA,振興段,13.31,都市：住
RPOOMLNKNHPFFCP76DA,振興段,64.66,都市：住
RPUOMLTLNHPFFAP87DA,斗六一段,21.56,都市：住
RPQNMLSLNHPFFCP47DA,振興段,38.12,都市：住
