鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉萬新路273巷1~30號,133.78,,鄉村區,乙種建築用地,1080630,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090103,210.28,5,2,4,有,無,8450000,40185,,0.0,0,,RPPNMLOKNHPFFAT96CA
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉萬新路241~270號,134.0,,鄉村區,乙種建築用地,1080918,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090103,208.26,5,2,4,有,無,9400000,45136,,0.0,0,,RPQNMLOKNHPFFAT07CA
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉萬新路271~300號,126.0,,鄉村區,乙種建築用地,1080626,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090103,207.95,5,2,4,有,無,9250000,44482,,0.0,0,,RPRNMLOKNHPFFAT17CA
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉萬新路241~270號,122.0,,鄉村區,乙種建築用地,1090214,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090103,207.95,5,2,4,有,無,9500000,45684,,0.0,0,,RPSNMLOKNHPFFAT27CA
麟洛鄉,土地,麟忠段211~240地號,1234.99,,一般農業區,農牧用地,1090418,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7140000,5781,,0.0,0,,RPOOMLMKNHPFFAT76CA
九如鄉,土地,九清段511~540地號,1530.0,,特定農業區,農牧用地,1090420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2448000,1600,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLNKNHPFFAT86CA
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉萬新路273巷1~30號,141.78,,鄉村區,乙種建築用地,1080623,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090103,210.16,5,2,4,有,無,8600000,40921,,0.0,0,,RPSNMLNKNHPFFAT17CA
屏東巿,房地(土地+建物),屏東縣屏東市公德街31~60號,402.0,住,,,1090416,土地3建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0590825,190.8,3,1,1,有,無,13376000,70105,,0.0,0,,RPUNMLNKNHPFFAT37CA
萬丹鄉,土地,水泉段781~810地號,358.23,住,,,1090219,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7043400,19662,,0.0,0,,RPTOMLSKNHPFFAT87CA
