編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXNMLPKNHPFFAT08CC,24,35.37,住家用,鋼筋混凝土造,84年11月25日,十二層,
RPXNMLPKNHPFFAT08CC,24,10.49,見其他登記事項,鋼筋混凝土造,84年11月25日,十二層,
RPVNMLKLNHPFFDT77CC,43,140.77,見其他登記事項,鋼筋混凝土造,66年4月11日,三層,
RPUOMLKLNHPFFAT47CC,22,95.85,見其他登記事項,鋼筋混凝土造,87年9月17日,七層,
RPUOMLKLNHPFFAT47CC,22,43.66,見其他登記事項,鋼筋混凝土造,87年9月17日,七層,
RPSPMLOKNHPFFAT67CC,13,8.58,見其他登記事項,鋼筋混凝土造,96年5月30日,八層,
RPSPMLOKNHPFFAT67CC,13,7.72,見其他登記事項,鋼筋混凝土造,96年5月30日,八層,
RPOOMLMKNHPFFDT27CC,24,121.72,住家用,鋼筋混凝土造,85年3月4日,十六層,
RPOOMLMKNHPFFDT27CC,24,78.33,見其他登記事項,鋼筋混凝土造,85年3月4日,十六層,
