編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLMKNHPFFAU96CA,24,222.43,住商用,鋼筋混凝土造,84年12月27日,四層,一層 二層 三層 四層
RPQNMLMKNHPFFAU96CA,24,86.06,見其他登記事項,鋼筋混凝土造,84年12月27日,四層,地下層
RPSOMLOKNHPFFAU47CA,27,94.63,住家用,鋼筋混凝土造,82年5月28日,五層,四層
RPSOMLOKNHPFFAU47CA,27,6.77,共有部份,鋼筋混凝土造,82年5月28日,五層,
RPQPMLMKNHPFFAU17CA,23,39.91,住家用,鋼筋混凝土造,86年8月27日,九層,八層 九層
RPQPMLMKNHPFFAU17CA,23,1.93,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPQPMLMKNHPFFAU17CA,23,7.99,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPQPMLMKNHPFFAU17CA,23,5.99,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPQOMLMKNHPFFAU07CA,26,177.12,住商用,鋼筋混凝土造,82年10月26日,三層,一層 二層 三層 騎樓
RPTNMLNKNHPFFAU37CA,17,106.23,住家用,鋼筋混凝土造,91年12月2日,14,五層
RPTNMLNKNHPFFAU37CA,17,61.92,共有部份,鋼筋混凝土造,91年12月2日,十四層,
RPPPMLMKNHPFFAU07CA,2,53.40,見其他登記事項,鋼筋混凝土造,107年4月27日,十二層,六層
RPPPMLMKNHPFFAU07CA,2,12.17,見其他登記事項,鋼筋混凝土造,107年4月27日,十二層,
RPPPMLMKNHPFFAU07CA,2,15.78,共有部份,鋼筋混凝土造,107年4月27日,十二層,
RPPNMLOKNHPFFAU07CA,34,93.16,住家用,鋼筋混凝土造,75年9月16日,二層,一層 二層
RPQNMLPKNHPFFAU27CA,42,57.45,住家用,鋼筋混凝土加強磚造,66年11月29日,一層,一層
RPOPMLMKNHPFFAU96CA,2,53.39,見其他登記事項,鋼筋混凝土造,107年4月27日,十二層,八層
RPOPMLMKNHPFFAU96CA,2,47.07,見其他登記事項,鋼筋混凝土造,107年4月27日,十二層,
RPOPMLMKNHPFFAU96CA,2,16.50,共有部份,鋼筋混凝土造,107年4月27日,十二層,
RPPQMLOJOHPFFAU37CA,26,39.93,住家用,鋼筋混凝土造,83年4月14日,六層,六層
RPPQMLOJOHPFFAU37CA,26,14.60,共有部份,鋼筋混凝土造,83年4月14日,六層,
RPQNMLLKNHPFFBU07DA,24,171.19,住商用,鋼筋混凝土造,85年8月30日,三層,一層 二層 三層 屋頂突出物
RPWNMLSJOHPFFAU18CA,22,106.83,住家用,鋼筋混凝土造,87年4月3日,十層,十層
RPWNMLSJOHPFFAU18CA,22,13.96,共有部份,鋼筋混凝土造,87年4月3日,十層,
RPWNMLSJOHPFFAU18CA,22,17.25,共有部份,鋼筋混凝土造,87年4月3日,十層,
RPWNMLSKNHPFFAU18CA,32,32.94,住家用,鋼筋混凝土造,76年11月17日,七層,四層
RPWNMLSKNHPFFAU18CA,32,10.52,共有部份,鋼筋混凝土造,76年11月17日,七層,
RPOOMLPLNHPFFAU27CA,37,77.90,住家用,鋼筋混凝土造,71年11月13日,五層,二層
RPOOMLPLNHPFFAU27CA,37,10.06,共有部份,鋼筋混凝土造,71年11月13日,五層,
RPXPMLOKNHPFFAU08CA,,42.32,住家用,木造,,一層,一層
RPUNMLOKNHPFFAU57CA,24,61.71,住家用,鋼筋混凝土造,85年2月5日,十二層,四層
RPUNMLOKNHPFFAU57CA,24,9.56,共有部份,鋼筋混凝土造,85年2月5日,十二層,
RPUNMLOKNHPFFAU57CA,24,8.84,共有部份,鋼筋混凝土造,85年2月5日,十二層,
RPWNMLOKNHPFFAU77CA,26,124.51,住家用,鋼筋混凝土造,83年5月20日,三層,一層 二層 三層
RPRNMLSKNHPFFAU67CA,42,114.76,住商用,鋼筋混凝土加強磚造,67年1月1日,二層,一層 二層 騎樓
RPPOMLKLNHPFFAU86CA,26,37.75,住家用,鋼筋混凝土造,83年2月2日,七層,七層
RPPOMLKLNHPFFAU86CA,,11.84,共有部份,鋼筋混凝土造,,七層,
RPXNMLNKNHPFFAU77CA,26,28.95,共有部份,鋼筋混凝土造,82年10月15日,五層,
RPXNMLNKNHPFFAU77CA,26,81.76,商業用,鋼筋混凝土造,82年10月15日,五層,一層
RPRQMLSKNHPFFAU97CA,,32.06,見其他登記事項,鋼筋混凝土造,108年12月17日,四層,四層
RPRQMLSKNHPFFAU97CA,,10.75,見其他登記事項,鋼筋混凝土造,108年12月17日,四層,
RPVOMLLLNHPFFAU57CA,21,113.78,住家用,鋼筋混凝土造,88年5月20日,五層,四層 五層 見其他登記事項
RPVOMLLLNHPFFAU57CA,21,13.40,停車空間,鋼筋混凝土造,88年5月20日,五層,
RPVOMLLLNHPFFAU57CA,21,25.67,共有部份,鋼筋混凝土造,88年5月20日,五層,
RPOOMLOKNHPFFAU07CA,25,47.27,住家用,鋼筋混凝土造,84年8月31日,六層,四層
RPOOMLOKNHPFFAU07CA,25,25.92,共有部份,鋼筋混凝土造,84年8月31日,六層,
RPUOMLNKNHPFFAU57CA,24,27.88,住家用,鋼筋混凝土造,85年5月17日,六層,三層
RPUOMLNKNHPFFAU57CA,24,6.74,共有部份,鋼筋混凝土造,85年5月17日,六層,
RPQOMLOKNHPFFAU27CA,10,242.91,農舍,鋼筋混凝土造,99年7月30日,三層,一層 二層 三層
RPTPMLOKNHPFFAU67CA,,140.23,住家用,鋼筋混凝土造,109年2月10日,三層,一層 二層 三層
RPWOMLOKNHPFFAU87CA,4,189.01,住家用,鋼筋混凝土造,104年11月10日,三層,一層 二層 三層 屋頂突出物
RPVOMLOKNHPFFAU77CA,,189.33,住家用,鋼筋混凝土造,109年1月15日,三層,一層 二層 三層 屋頂突出物
RPQOMLPKNHPFFAU37CA,25,83.45,住家用,鋼筋混凝土造,84年5月16日,八層,四層
RPQOMLPKNHPFFAU37CA,25,43.16,共有部份,鋼筋混凝土造,84年5月16日,八層,
RPSNMLPKNHPFFAU47CA,25,50.11,住家用,鋼筋混凝土造,83年10月5日,五層,五層
RPSNMLPKNHPFFAU47CA,25,11.76,共有部份,鋼筋混凝土造,83年10月5日,五層,
RPSOMLPKNHPFFAU57CA,43,116.96,住商用,鋼筋混凝土加強磚造,66年8月29日,二層,一層 二層 騎樓
RPPPMLLKOHPFFAU07CA,11,248.11,農舍,鋼筋混凝土造,97年11月28日,三層,一層 二層 三層
RPVNMLMLNHPFFAU57CA,34,131.72,住家用,鋼筋混凝土加強磚造,75年1月24日,二層,一層 二層 騎樓
RPXQMLKKOHPFFAU87CA,6,252.37,住家用,鋼筋混凝土造,103年4月22日,四層,一層 二層 三層 四層
RPVOMLPJOHPFFAU87CA,25,21.16,住家用,鋼筋混凝土造,84年8月19日,十一層,六層
RPVOMLPJOHPFFAU87CA,25,7.42,共有部份,鋼筋混凝土造,84年8月19日,十一層,
RPRPMLMKOHPFFAU37CA,,168.27,住家用,鋼筋混凝土造,109年2月10日,三層,一層 二層 三層 屋頂突出物
RPPNMLRKNHPFFAU37CA,,50.42,見其他登記事項,鋼筋混凝土造,108年12月13日,五層,五層
RPUNMLPKNHPFFCU87CA,24,191.19,住家用,鋼筋混凝土造,85年9月15日,三層,一層 二層 三層
RPOOMLPKNHPFFAU17CA,1,202.75,住家用,鋼筋混凝土造,108年10月17日,三層,一層 二層 三層 見其他登記事項
RPVNMLPKNHPFFAU77CA,14,179.30,住商用,鋼筋混凝土造,95年2月6日,四層,一層 二層 三層 四層
RPPNMLPKNHPFFCU37CA,2,104.81,住家用,見其他登記事項,107年2月27日,二層,一層 二層
RPXNMLTKNHPFFAU38CA,31,91.20,住家用,鋼筋混凝土造,77年11月25日,五層,二層
RPXNMLTKNHPFFAU38CA,31,6.14,共有部份,鋼筋混凝土造,77年11月25日,五層,
RPRNMLPKNHPFFAU37CA,22,176.93,住商用,鋼筋混凝土造,86年12月26日,四層,一層 二層 三層 四層
RPSPMLOKNHPFFAU57CA,29,129.99,住家用,鋼筋混凝土造,79年11月16日,三層,一層 二層 三層 屋頂突出物 見其他登記事項
RPWOMLTKNHPFFAU38CA,,36.50,見其他登記事項,鋼筋混凝土造,109年1月2日,七層,六層
RPWOMLTKNHPFFAU38CA,,17.29,見其他登記事項,鋼筋混凝土造,109年1月2日,七層,
RPWOMLTKNHPFFAU38CA,,2.70,見其他登記事項,鋼筋混凝土造,109年1月2日,七層,
RPTOMLKLNHPFFAU27CA,,56.89,見其他登記事項,鋼筋混凝土造,109年1月2日,八層,四層
RPTOMLKLNHPFFAU27CA,,23.10,見其他登記事項,鋼筋混凝土造,109年1月2日,八層,
RPTOMLKLNHPFFAU27CA,,13.75,見其他登記事項,鋼筋混凝土造,109年1月2日,八層,
RPSOMLKLNHPFFAU17CA,,56.89,見其他登記事項,鋼筋混凝土造,109年1月2日,八層,四層
RPSOMLKLNHPFFAU17CA,,23.10,見其他登記事項,鋼筋混凝土造,109年1月2日,八層,
RPXOMLKLNHPFFAU67CA,25,30.17,住家用,鋼筋混凝土造,84年8月19日,十一層,一層
RPXOMLKLNHPFFAU67CA,25,10.09,共有部份,鋼筋混凝土造,84年8月19日,十一層,
RPOPMLKLNHPFFAU86CA,,36.08,見其他登記事項,鋼筋混凝土造,109年1月2日,八層,五層
RPOPMLKLNHPFFAU86CA,,23.29,見其他登記事項,鋼筋混凝土造,109年1月2日,八層,
