鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
台東市,房地(土地+建物),臺東縣臺東市博愛路91巷1~30號,58.0,住,,,1080927,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,,78.58,3,2,1,有,無,2300000,29270,,0.0,0,,RPSNMLLKNHPFFAV17CA
台東市,房地(土地+建物),臺東縣臺東市豐里街601巷1~30號,113.72,,鄉村區,乙種建築用地,1090410,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1070523,228.51,4,2,4,有,無,9580000,41924,,0.0,0,,RPVNMLMKNHPFFAV57CA
台東市,房地(土地+建物),臺東縣臺東市鐵花路241~270號,53.0,商,,,1090423,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0750129,143.36,6,1,3,有,無,15000000,104632,,0.0,0,,RPTNMLNJOHPFFAV47CA
長濱鄉,房地(土地+建物),臺東縣長濱鄉長濱路181~210號,93.61,住,,,1090229,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0760630,112.74,3,2,2,有,無,2600000,23062,,0.0,0,,RPPNMLMKNHPFFBV07CA
成功鎮,建物,臺東縣成功鎮民?路1~30號,0.0,,,,1090424,土地0建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0620101,91.69,1,1,1,有,無,300000,3272,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPQNMLTKNHPFFBV87CA
成功鎮,土地,忠仁段301~330地號,189.07,住,,,1090424,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,15867,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPPNMLMLNHPFFBV17CA
台東市,房地(土地+建物),臺東縣臺東市漢陽北路151~180號,101.47,住,,,1061215,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0720118,119.58,3,3,2,有,無,5000000,41813,,0.0,0,親友、員工或其他特殊關係間之交易。;11.土地及建物分次登記案件。前案建物登記收件字號：107年東地所字第3290號。買賣無簽訂紙本契約。,RPTNMLNKNHPFFAV57DA
關山鎮,土地,水井段481~510地號,6252.87,,山坡地保育區,農牧用地,1090423,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8300000,1327,,0.0,0,,RPQNMLOKNHPFFCV47CA
關山鎮,房地(土地+建物),臺東縣關山鎮復興路91~120號,131.39,住,,,1090219,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0740716,110.52,3,2,2,有,無,4000000,36193,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLOKNHPFFCV67CA
卑南鄉,土地,鎮樂段631~660地號,3890.0,,山坡地保育區,農牧用地,1090415,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3306500,850,,0.0,0,,RPXNMLLLNHPFFAV77CA
台東市,土地,順天段751~780地號,0.86,住,,,1090421,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6536,0,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSOMLLLNHPFFAV37CA
台東市,房地(土地+建物),臺東縣臺東市臨海路一段151~180號,75.0,住,,,1090427,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0870420,214.13,4,2,3,有,無,5000000,23350,,0.0,0,,RPWNMLMKNHPFFAV67CA
台東市,房地(土地+建物),臺東縣臺東市平等街23巷1~30號,32.0,住,,,1090418,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,,65.58,2,2,2,有,無,2800000,42696,,0.0,0,,RPXNMLMKNHPFFAV77CA
