編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLOKNHPFFCV47CA,水井段,6071.02,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLOKNHPFFCV47CA,水井段,181.85,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLMLNHPFFBV17CA,忠仁段,189.07,都市：住
RPXNMLLLNHPFFAV77CA,鎮樂段,3490.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPXNMLLLNHPFFAV77CA,鎮樂段,250.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPXNMLLLNHPFFAV77CA,鎮樂段,150.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLMKNHPFFBV07CA,濱海段,93.61,都市：住
RPVNMLMKNHPFFAV57CA,豐里段,75.48,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLMKNHPFFAV57CA,豐里段,38.24,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLLLNHPFFAV37CA,順天段,.86,都市：住
RPSNMLLKNHPFFAV17CA,台東段,58.00,都市：住
RPTNMLNKNHPFFAV57DA,常德段,101.47,都市：住
RPSNMLOKNHPFFCV67CA,豐泉段,23.53,都市：住
RPSNMLOKNHPFFCV67CA,豐泉段,107.86,都市：住
RPTNMLNJOHPFFAV47CA,台東段,53.00,都市：商
RPRNMLNKNHPFFAV27CA,新生段,272.00,都市：農
RPPNMLOKNHPFFAV17CA,岩灣段,438.70,都市：住
RPROMLSKNHPFFAV87CA,利泰段,139.26,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLMKNHPFFAV77CA,台東段,32.00,都市：住
RPWNMLMKNHPFFAV67CA,台東段,75.00,都市：住
RPSNMLKLNHPFFAV17CA,南王段,59.65,都市：住
RPPNMLQLNHPFFBV67DA,北都歷段,1085.02,非都市：風景區 ; 非都市編定：農牧用地
RPRNMLOKNHPFFCV67DA,福文段,10.88,都市：住
RPRNMLOKNHPFFCV67DA,福文段,40.89,都市：住
RPUNMLKLNHPFFAV37CA,東谷段,116.24,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWNMLOKNHPFFAV87CA,豐成段,91.02,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLOKNHPFFAV87CA,豐成段,123.03,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLOKNHPFFAV77CA,建成段,105.74,都市：住
RPRNMLSKNHPFFAV77CA,知本段,1000.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPOOMLTKNHPFFAV67CA,台東段,152.00,都市：住
RPSNMLOKNHPFFAV47CA,建興段,2164.00,都市：農
RPTNMLTKNHPFFBV18CA,萬年段,10.50,非都市：風景區 ; 非都市編定：農牧用地
RPTNMLTKNHPFFBV18CA,萬年段,2600.00,非都市：風景區 ; 非都市編定：農牧用地
RPTNMLTKNHPFFBV18CA,萬年段,93.50,非都市：風景區 ; 非都市編定：農牧用地
RPTNMLTKNHPFFBV18CA,萬年段,254.50,非都市：風景區 ; 非都市編定：農牧用地
RPQNMLOKNHPFFAV37DA,南清段,4.08,都市：商
RPPNMLOKNHPFFCV37CA,水井段,96.56,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLOKNHPFFCV37CA,水井段,3029.04,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLOKNHPFFCV37CA,水井段,1849.31,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLSKNHPFFBV97DA,小馬東段,1023.31,非都市：風景區 ; 非都市編定：農牧用地
RPRNMLSKNHPFFBV97DA,小馬東段,1349.13,非都市：風景區 ; 非都市編定：農牧用地
RPRNMLSKNHPFFBV97DA,小馬東段,398.83,非都市：風景區 ; 非都市編定：農牧用地
RPRNMLSKNHPFFBV97DA,小馬東段,143.75,非都市：風景區 ; 非都市編定：農牧用地
RPRNMLSKNHPFFBV97DA,小馬東段,513.23,非都市：風景區 ; 非都市編定：農牧用地
RPRNMLSKNHPFFBV97DA,小馬東段,6.36,非都市：風景區 ; 非都市編定：農牧用地
RPRNMLSKNHPFFBV97DA,小馬東段,3711.67,非都市：風景區 ; 非都市編定：農牧用地
RPQNMLSKNHPFFBV87DA,新美山段,711.79,非都市：風景區 ; 非都市編定：農牧用地
RPQNMLSKNHPFFBV87DA,新美山段,236.87,非都市：風景區 ; 非都市編定：農牧用地
RPQNMLSKNHPFFBV87DA,新美山段,2039.44,非都市：風景區 ; 非都市編定：農牧用地
RPQNMLSKNHPFFBV87DA,新美山段,2158.13,非都市：風景區 ; 非都市編定：農牧用地
RPQNMLSKNHPFFBV87DA,新美山段,697.08,非都市：風景區 ; 非都市編定：農牧用地
RPQNMLSKNHPFFBV87DA,新美山段,1965.67,非都市：風景區 ; 非都市編定：農牧用地
RPQNMLPKNHPFFDV67CA,秀山段,8.08,都市：其他
RPQNMLPKNHPFFDV67CA,秀山段,.00,都市：其他
RPPNMLTKNHPFFCV87CA,四維段,10607.72,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLPKNHPFFDV57CA,秀山段,8.08,都市：其他
RPPNMLPKNHPFFDV57CA,秀山段,.00,都市：其他
RPRNMLPKNHPFFDV77CA,秀山段,10.39,都市：其他
RPRNMLPKNHPFFDV77CA,秀山段,.00,都市：其他
RPQNMLPLNHPFFCV67CA,里段,85.70,都市：商
RPSNMLQLNHPFFAV87DA,馬蘭段,120.00,都市：住
RPSOMLSKNHPFFAV08DA,利家段,107.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLSKNHPFFAV28CA,射馬干段,2894.35,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLSKNHPFFAV08CA,新中寮段,187.45,都市：其他
RPSNMLSKNHPFFAV87CA,石壁段,102.25,都市：住
RPSNMLSKNHPFFAV87CA,石壁段,5.05,都市：其他
RPSOMLTKNHPFFAV08CA,利家段,1945.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLPKNHPFFAV27CA,興安段,106.97,都市：住
RPSNMLRLNHPFFAV87CA,光明段,175.34,都市：住
RPSNMLRLNHPFFAV87CA,光明段,255.75,都市：其他
RPSNMLRLNHPFFAV87CA,光明段,2119.62,都市：其他
RPXNMLSKNHPFFAV38CA,台東段,54.00,都市：商
RPXNMLSKNHPFFAV38CA,台東段,34.00,都市：商
RPOPMLSKNHPFFAV67CA,東海段,14.93,都市：住
RPOPMLSKNHPFFAV67CA,東海段,.96,都市：住
RPQNMLSKNHPFFAV67CA,台東段,84.00,都市：住
RPPNMLTKNHPFFAV67CA,德安段,22.88,都市：住
RPPNMLTKNHPFFAV67CA,德安段,.16,都市：其他
RPPNMLTKNHPFFAV67CA,德安段,2.11,都市：其他
RPPNMLTKNHPFFAV67CA,德安段,.04,都市：其他
RPWOMLSKNHPFFAV48DA,建本段,1594.08,都市：農
RPSNMLTKNHPFFBV08CA,忠勇段,80.71,都市：住
RPRNMLKLNHPFFAV07CA,台東段,58.69,都市：住
RPUNMLTKNHPFFAV18CA,台東段,11.11,都市：住
RPWNMLSKNHPFFAV38DA,新中寮段,86.48,都市：其他
RPRNMLTKNHPFFAV87CA,公西段,410.55,都市：農
RPRNMLTKNHPFFAV87CA,公西段,5.50,都市：農
RPTNMLTKNHPFFAV08CA,德安段,423.01,都市：住
RPWNMLTKNHPFFAV38CA,豐榮段,19.72,都市：住
RPVNMLTKNHPFFAV28CA,豐榮段,39.43,都市：住
SPTNMLTKNHPFFAV18CA,德安段,242.94,都市：其他
SPTNMLTKNHPFFAV18CA,德安段,79.87,都市：其他
SPTNMLTKNHPFFAV18CA,德安段,11.86,都市：其他
SPTNMLTKNHPFFAV18CA,德安段,.02,都市：其他
SPTNMLTKNHPFFAV18CA,德安段,61.04,都市：其他
RPPNMLKLNHPFFAV86CA,興安段,207.61,都市：住
RPPNMLTKNHPFFDV97CA,秀山段,6.78,都市：其他
RPXOMLSKNHPFFAV48CA,馬蘭段,10.98,都市：住
RPWNMLLLNHPFFAV67CA,利家段,1598.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLKLNHPFFAV96CA,德安段,38.24,都市：住
RPVNMLKLNHPFFAV47CA,豐源段,3000.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLLLNHPFFAV96CA,豐年段,99.22,都市：住
RPPOMLTKNHPFFAV87DA,豐年段,119.52,都市：住
RPQOMLTKNHPFFAV87CA,台東段,17.80,都市：其他
RPQOMLTKNHPFFAV87CA,台東段,34.00,都市：住
RPPNMLKLNHPFFCV07CA,鹿寮段,2625.70,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLTJOHPFFAV87CA,富岡南段,92.41,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLTJOHPFFAV87CA,富岡南段,91.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLTJOHPFFAV87CA,富岡南段,83.47,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLTJOHPFFAV87CA,富岡南段,95.38,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLTJOHPFFAV87CA,富岡南段,88.85,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLTJOHPFFAV87CA,富岡南段,85.45,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLTJOHPFFAV87CA,富岡南段,82.10,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLTJOHPFFAV87CA,富岡南段,89.08,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLTKNHPFFAV18CA,光明段,191.00,都市：住
RPSNMLLLNHPFFDV67DA,復興段,96.31,都市：商
RPSNMLLLNHPFFDV67DA,復興段,29.53,都市：商
RPSNMLLLNHPFFDV67DA,復興段,5.56,都市：其他
RPQNMLLLNHPFFCV37DA,海端段,1063.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
SPQOMLTKNHPFFAV97CA,台東段,34.00,都市：住
RPTNMLQLNHPFFAV87CA,中正段,100.00,都市：住
RPOOMLKKOHPFFAV86CA,台東段,10.08,都市：住
RPQNMLQLNHPFFAV57CA,建康段,53.11,都市：農
RPPNMLQLNHPFFAV47CA,建康段,53.11,都市：農
RPWNMLMLNHPFFAV77CA,豐康段,100.32,都市：住
RPTOMLLLNHPFFAV47CA,豐年段,116.08,都市：住
RPTOMLLLNHPFFAV47CA,豐年段,24.99,都市：住
RPSNMLMLNHPFFAV47DA,台東段,25.00,都市：住
RPRNMLLLNHPFFAV27DA,新田段,63.10,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLMLNHPFFBV27CA,南都蘭段,76.16,非都市：風景區 ; 非都市編定：農牧用地
RPQNMLMLNHPFFBV27CA,南都蘭段,182.86,非都市：風景區 ; 非都市編定：農牧用地
RPQNMLMLNHPFFBV27CA,南都蘭段,2736.15,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLPLNHPFFBV47CA,阿都蘭段,71.92,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLPLNHPFFBV47CA,阿都蘭段,174.18,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLPLNHPFFBV47CA,阿都蘭段,2697.66,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLPLNHPFFBV47CA,阿都蘭段,1100.23,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLLLNHPFFDV27CA,蘭里段,49.84,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLLLNHPFFDV27CA,蘭里段,7.76,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLLLNHPFFDV27CA,蘭里段,533.92,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLLLNHPFFDV27CA,蘭里段,8.87,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLLLNHPFFDV27CA,蘭里段,17.06,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLLLNHPFFAV27CA,台東段,98.00,都市：住
