編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLOKNHPFFAW27CA,5,403.38,農舍,鋼筋混凝土造,103年11月17日,三層,一層 二層 三層
RPSNMLOKNHPFFAW57CA,2,209.19,見其他登記事項,鋼筋混凝土造,107年6月27日,三層,一層 二層 三層 屋頂突出物
RPSNMLOKNHPFFAW57CA,2,87.32,見其他登記事項,鋼筋混凝土造,107年6月27日,三層,
RPRNMLNKNHPFFAW37CA,4,31.14,見其他登記事項,鋼筋混凝土造,104年11月25日,三層,二層
RPRNMLNKNHPFFAW37CA,4,4.14,見其他登記事項,鋼筋混凝土造,104年11月25日,三層,
RPTNMLSKNHPFFAW08CA,7,73.81,見其他登記事項,鋼筋混凝土造,102年5月19日,五層,三層
RPTNMLSKNHPFFAW08CA,7,13.07,見其他登記事項,鋼筋混凝土造,102年5月19日,五層,
RPPNMLSKNHPFFAW67CA,4,85.05,見其他登記事項,鋼筋混凝土造,104年10月30日,三層,一層
RPPNMLSKNHPFFAW67CA,4,6.13,見其他登記事項,鋼筋混凝土造,104年10月30日,三層,
RPXNMLPKNHPFFAW18CA,6,22.80,見其他登記事項,鋼筋混凝土造,102年11月20日,三層,一層
RPXNMLPKNHPFFAW18CA,6,3.80,見其他登記事項,鋼筋混凝土造,102年11月20日,三層,
RPXNMLPKNHPFFAW18CA,6,5.03,見其他登記事項,鋼筋混凝土造,102年11月20日,三層,
RPTNMLPLNHPFFAW87CA,64,89.58,住家用,見其他登記事項,45年7月1日,一層,一層
RPRNMLLLNHPFFAW27CA,11,141.75,見其他登記事項,鋼筋混凝土造,98年10月19日,三層,一層 二層 三層
RPPNMLPLNHPFFAW47CA,49,107.97,住商用,鋼筋混凝土造,59年12月15日,三層,一層 二層 三層
RPRNMLTKNHPFFAW97CA,4,64.59,見其他登記事項,鋼筋混凝土造,105年6月17日,七層,四層
RPRNMLTKNHPFFAW97CA,4,25.40,見其他登記事項,鋼筋混凝土造,105年6月17日,七層,
RPQNMLPLNHPFFAW57CA,52,81.65,住家用,見其他登記事項,57年7月1日,一層,一層
