鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
馬公市,房地(土地+建物),澎湖縣馬公市光復路61~90號,40.0,住,,,1090410,土地2建物2車位0,四層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0730629,82.11,3,2,3,有,有,4300000,52369,,0.0,0,,RPPNMLSKNHPFFAX77CA
馬公市,土地,東澳段1081~1110地號,394.21,住,,,1090429,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19000000,48198,,0.0,0,,RPVNMLSKNHPFFAX38CA
湖西鄉,土地,湖東新段1531~1560地號,748.12,,一般農業區,農牧用地,1090505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,333092,445,,0.0,0,,RPRNMLNKNHPFFAX57DA
湖西鄉,土地,湖東新段1531~1560地號,37.96,,一般農業區,交通用地,1090505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16908,445,,0.0,0,,RPSNMLNKNHPFFAX67DA
馬公市,建物,澎湖縣馬公市中山路31~60號,0.0,,,,1090318,土地0建物1車位0,全,二層,透天厝,商業用,見其他登記事項,0610831,22.12,2,1,1,有,無,60000,2712,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRNMLSKNHPFFAX08DA
湖西鄉,土地,南寮北段1621~1650地號,195.42,,一般農業區,農牧用地,1081210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,306500,1568,,0.0,0,向政府機關承購之案件。;逾期未辦理繼承土地,RPRNMLOJOHPFFAX67DA
馬公市,土地,馬公段1741~1770地號,6.0,住,,,1090324,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,381840,63640,,0.0,0,向政府機關承購之案件。;,RPVNMLRLNHPFFAX48DA
馬公市,房地(土地+建物),澎湖縣馬公市文前街61~90號,123.88,住,,,1090328,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1071217,299.14,6,2,7,有,無,21600000,72207,,0.0,0,,RPQNMLOKNHPFFAX47CA
西嶼鄉,土地,池東段661~690地號,106.8,,鄉村區,乙種建築用地,1090416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,484500,4537,,0.0,0,,RPSNMLOKNHPFFAX67CA
湖西鄉,房地(土地+建物),澎湖縣湖西鄉港底1~30號,176.21,,一般農業區,甲種建築用地,1090427,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0890822,187.03,4,2,3,有,無,3150000,16842,,0.0,0,,RPPNMLPKNHPFFAX47CA
湖西鄉,土地,城北段361~390地號,938.82,,一般農業區,殯葬用地,1090505,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1130000,1204,,0.0,0,,RPQNMLPKNHPFFAX57CA
馬公市,房地(土地+建物),澎湖縣馬公市鎖港五路1~30號,99.15,住,,,1090305,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090207,234.81,4,3,5,有,無,10000000,42588,,0.0,0,,RPRNMLOKNHPFFAX57CA
馬公市,土地,四維段931~960地號,20.04,,鄉村區,乙種建築用地,1081112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,294705,14706,,0.0,0,標售逾期未辦理繼承登記不動產,RPPNMLKLNHPFFAX07CA
馬公市,房地(土地+建物),澎湖縣馬公市五福路138巷151~180號,219.82,,一般農業區,甲種建築用地,1090501,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090302,243.54,5,3,5,有,無,10200000,41882,,0.0,0,,RPQNMLKLNHPFFAX17CA
