編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSNMLOKNHPFFAX67CA,池東段,106.80,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLNKNHPFFAX57DA,湖東新段,748.12,非都市：一般農業區 ; 非都市編定：農牧用地
RPVNMLRLNHPFFAX48DA,馬公段,6.00,都市：住
RPVNMLSKNHPFFAX38CA,東澳段,394.21,都市：住
RPSNMLNKNHPFFAX67DA,湖東新段,37.96,非都市：一般農業區 ; 非都市編定：交通用地
RPRNMLOJOHPFFAX67DA,南寮北段,195.42,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLOKNHPFFAX47CA,東澳段,123.88,都市：住
RPPNMLSKNHPFFAX77CA,馬公段,36.25,都市：住
RPPNMLSKNHPFFAX77CA,馬公段,3.75,都市：住
RPPNMLKLNHPFFAX07CA,四維段,20.04,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLTKNHPFFAX87CA,文東段,59.12,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLPKNHPFFAX57CA,城北段,196.76,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLPKNHPFFAX57CA,城北段,742.06,非都市：一般農業區 ; 非都市編定：殯葬用地
RPPNMLPKNHPFFAX47CA,成功南段,128.76,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPPNMLPKNHPFFAX47CA,成功南段,47.45,非都市：一般農業區 ; 非都市編定：交通用地
RPUNMLKLNHPFFAX57CA,許家段,517.89,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLKLNHPFFAX37CA,五德西段,883.19,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLKLNHPFFAX37CA,五德西段,162.34,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLTKNHPFFAX18CA,文東段,893.71,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLOKNHPFFAX57CA,北極段,99.15,都市：住
RPUNMLSKNHPFFAX28CA,安宅段,218.01,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLKLNHPFFAX47CA,五德西段,490.16,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLSKNHPFFAX87CA,馬公段,45.00,都市：商
RPQNMLKLNHPFFAX17CA,五福段,167.70,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPQNMLKLNHPFFAX17CA,五福段,52.12,非都市：一般農業區 ; 非都市編定：交通用地
RPQNMLNJOHPFFAX37CA,西澳段,148.91,都市：住
RPXNMLSKNHPFFAX58CA,海堤段,84.01,都市：住
RPTNMLQLNHPFFAX08CA,沙港南段,2501.20,非都市：一般農業區 ; 非都市編定：農牧用地
RPOOMLKLNHPFFAX07CA,鎖港西段,1233.01,都市：住
RPWNMLKLNHPFFAX77CA,四維段,80.37,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLLLNHPFFAX17CA,光華段,64.25,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPQNMLPLNHPFFAX67CA,光榮段,2.62,都市：其他
RPWNMLTKNHPFFAX58CA,文光段,120.51,都市：住
RPXNMLKLNHPFFAX87CA,文東段,3172.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLLLNHPFFAX27CA,北極段,91.94,都市：住
RPPNMLTJOHPFFAX87CA,鎮海新段,110.28,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLSKNHPFFAX18CA,文化段,2.91,都市：住
RPTNMLSKNHPFFAX18CA,文化段,21.20,都市：住
RPTNMLSKNHPFFAX18CA,文化段,35.38,都市：住
