鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中山區,建物,臺北市中山區林森北路259巷1~30號,0.0,商,,,1090509,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0730922,13.9,0,0,0,無,無,無,4500,324,,0.0,0,,RPPNMLLKNHPFFCA77CC
中山區,建物,臺北市中山區林森北路301~330號,0.0,商,,,1090428,土地0建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990409,45.36,1,1,1,有,有,有,25000,551,,0.0,0,含稅、含管理費,RPUOMLLKNHPFFCA38CC
中山區,建物,臺北市中山區南京東路三段48巷31~60號,0.0,住,,,1090430,土地0建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930330,219.76,3,2,2,有,有,有,124888,568,坡道平面,0.0,0,含稅,RPVOMLLKNHPFFCA48CC
中山區,建物,臺北市中山區建國北路三段151~180號,0.0,商,,,1090508,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740515,146.29000000000002,3,2,2,有,無,有,27000,185,,0.0,0,,RPWOMLLKNHPFFCA58CC
中山區,建物,臺北市中山區復興北路331~360號,0.0,商,,,1090511,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0700114,125.28,0,0,0,無,無,有,44000,351,,0.0,0,含稅,RPVPMLLKNHPFFCA58CC
中山區,建物,臺北市中山區中山北路二段77巷1~30號,0.0,商,,,1090417,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981027,60.68,2,1,1,有,有,有,49000,808,,0.0,0,有民情風俗因素之交易。;售價包含裝潢或家電。;親友、員工或其他特殊關係間之交易。;,RPSQMLLKNHPFFCA38CC
中山區,建物,臺北市中山區林森北路571~600號,0.0,商,,,1090417,土地0建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,88.99000000000001,1,1,1,有,有,有,58000,652,,0.0,0,售價包含裝潢或家電。;親友、員工或其他特殊關係間之交易。;,RPUQMLLKNHPFFCA58CC
中山區,車位,臺北市中山區北安路631~660號,0.0,住,,,1090424,土地0建物0車位1,,,其他,,,,38.19,0,0,0,有,有,無,4000,,坡道平面,38.19,4000,依車位所登記公設門牌申報。租金含管理費。,RPWRMLLKNHPFFCA88CC
中山區,建物,臺北市中山區民生東路二段147巷12弄1~30號,0.0,住,,,1090424,土地0建物1車位0,一層,3,公寓(5樓含以下無電梯),,加強磚造,,73.88,1,2,2,有,無,有,35000,474,,0.0,0,有民情風俗因素之交易。;作辦公室使用。,RPPSMLLKNHPFFCA28CC
文山區,建物,臺北市文山區興隆路四段105巷31~60號,0.0,住,,,1090430,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0820802,241.84,0,0,0,無,無,無,92000,380,,0.0,0,,RPPNMLLKNHPFFAA57CC
文山區,建物,臺北市文山區車前路1~30號,0.0,商,,,1090504,土地0建物1車位3,二十一層,33,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1040427,203.70999999999998,3,2,2,有,有,有,47000,231,其他,0.0,0,,RPXNMLLKNHPFFAA38CC
文山區,建物,臺北市文山區車前路1~30號,0.0,商,,,1090504,土地0建物1車位3,十九層,33,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1040427,234.25,4,2,2,有,有,有,55000,235,其他,0.0,0,,RPOOMLLKNHPFFAA57CC
中正區,建物,臺北市中正區中華路二段31~60號,0.0,商,,,1090507,土地0建物0車位0,三層,5,套房(1房1廳1衛),住商用,鋼筋混凝土造,,29.32,1,0,1,有,無,有,13800,471,,0.0,0,此為分租套房，房號303，第三層分成3間，一間平均面積為29.32平方公尺,RPPSMLLKNHPFFAA08CC
大同區,建物,臺北市大同區民生西路421~450號,0.0,其他,,,1090423,土地0建物0車位0,一層,3,店面(店鋪),,加強磚造,,91.61,0,0,0,無,無,無,42000,458,,0.0,0,,RPVNMLLKNHPFFBA28CC
大同區,建物,臺北市大同區重慶北路三段296巷1~30號,0.0,住,,,1090417,土地0建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0731126,51.96,0,0,0,無,有,無,22000,423,,0.0,0,,RPWNMLLKNHPFFBA38CC
中正區,建物,臺北市中正區延平南路151~180號,0.0,商,,,1090507,土地0建物0車位0,四層,4,套房(1房1廳1衛),,鋼筋混凝土造,,26.24,1,0,1,有,無,有,10000,381,,0.0,0,此為分租套房，房號402，第四層分成3間，一間平均面積為26.24平方公尺,RPPOMLLKNHPFFBA77CC
中正區,建物,臺北市中正區杭州南路一段1~30號,0.0,商,,,1090510,土地0建物1車位0,十一層,11,辦公商業大樓,商業用,鋼筋混凝土造,0810511,149.79,0,0,0,無,無,無,63000,421,,0.0,0,,RPQOMLLKNHPFFBA87CC
中正區,建物,臺北市中正區延平南路151~180號,0.0,商,,,1090501,土地0建物0車位0,三層,4,套房(1房1廳1衛),,鋼筋混凝土造,,26.24,1,0,1,有,無,有,9500,362,,0.0,0,此為分租套房，房號301，第三層分成3間，一間平均面積為26.24平方公尺,RPTOMLLKNHPFFBA18CC
中正區,建物,臺北市中正區延平南路151~180號,0.0,商,,,1090501,土地0建物0車位0,四層,4,套房(1房1廳1衛),,鋼筋混凝土造,,19.68,1,0,1,有,無,有,10300,523,,0.0,0,此為分租套房，房號410，第四層分成4間，一間平均面積為19.68平方公尺,RPUOMLLKNHPFFBA28CC
信義區,建物,臺北市信義區松勤街61~90號,0.0,住,,,1090505,土地0建物1車位2,三層,10,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1081107,358.15,0,0,0,無,無,有,270000,754,升降機械,0.0,0,1.出租樓層:3樓全部 本+之1+之2+之32.租賃期間:共2年又15天,RPSNMLLKNHPFFDA18CC
信義區,建物,臺北市信義區信義路五段150巷335弄1~30號,0.0,住,,,1090511,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0580120,85.5,3,1,2,有,無,無,30000,351,,0.0,0,,RPVNMLLKNHPFFDA48CC
