編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPWRMLLKNHPFFCA88CC,北安段一小段,.00,都市：住
RPUOMLLKNHPFFCA38CC,中山段三小段,.00,都市：商
RPWOMLLKNHPFFCA58CC,榮星段四小段,.00,都市：商
RPVOMLLKNHPFFCA48CC,長安段一小段,.00,都市：住
RPPNMLLKNHPFFCA77CC,吉林段五小段,.00,都市：商
RPUQMLLKNHPFFCA58CC,德惠段四小段,.00,都市：商
RPVPMLLKNHPFFCA58CC,榮星段三小段,.00,都市：商
RPPNMLLKNHPFFAA57CC,木柵段三小段,.00,都市：住
RPSQMLLKNHPFFCA38CC,中山段三小段,.00,都市：商
RPPSMLLKNHPFFCA28CC,榮星段六小段,.00,都市：住
RPXNMLLKNHPFFAA38CC,景美段五小段,.00,都市：商
RPVNMLLKNHPFFBA28CC,迪化段三小段,.00,都市：其他
RPVNMLLKNHPFFBA28CC,迪化段三小段,.00,都市：其他
RPOOMLLKNHPFFAA57CC,景美段五小段,.00,都市：商
RPPSMLLKNHPFFAA08CC,南海段五小段,.00,都市：商
RPPOMLLKNHPFFBA77CC,城中段三小段,.00,都市：商
RPUOMLLKNHPFFBA28CC,城中段三小段,.00,都市：商
RPWNMLLKNHPFFBA38CC,文昌段一小段,.00,都市：住
RPWNMLLKNHPFFBA38CC,文昌段一小段,.00,都市：住
RPQOMLLKNHPFFBA87CC,臨沂段一小段,.00,都市：商
RPQOMLLKNHPFFBA87CC,臨沂段一小段,.00,都市：商
RPTOMLLKNHPFFBA18CC,城中段三小段,.00,都市：商
RPVNMLLKNHPFFDA48CC,祥和段三小段,.00,都市：住
RPXNMLLKNHPFFDA68CC,經貿段,.00,都市：住
RPSNMLLKNHPFFDA18CC,信義段五小段,.00,都市：住
RPUOMLLKNHPFFDA48CC,民生段,.00,都市：住
RPVOMLLKNHPFFDA58CC,敦化段一小段,.00,都市：商
RPQOMLLKNHPFFDA08CC,敦化段一小段,.00,都市：其他
RPPPMLLKNHPFFDA08CC,敦化段一小段,.00,都市：商
RPTOMLLKNHPFFEA48CC,天山段二小段,.00,都市：商
RPRPMLLKNHPFFDA28CC,寶清段五小段,.00,都市：商
RPVOMLLKNHPFFEA68CC,大業段四小段,8.82,都市：工
RPTQMLLKNHPFFFA78CC,仁愛段四小段,.00,都市：其他
RPTQMLLKNHPFFFA78CC,仁愛段四小段,.00,都市：其他
RPUPMLLKNHPFFDA58CC,延吉段一小段,.00,都市：住
RPTPMLLKNHPFFEA58CC,永新段四小段,.00,都市：住
RPSPMLLKNHPFFEA48CC,大業段四小段,8.43,都市：工
RPOPMLLKNHPFFEA08CC,開明段三小段,.00,都市：住
RPQPMLLKNHPFFDA18CC,西松段二小段,.00,都市：住
RPRRMLLKNHPFFFA68CC,仁愛段六小段,.00,都市：住
RPTRMLLKNHPFFFA88CC,瑞安段二小段,.00,都市：商
RPTRMLLKNHPFFFA88CC,瑞安段二小段,.00,都市：住
RPTNMLMKNHPFFFA58CC,大安段三小段,.00,都市：其他
RPTNMLMKNHPFFFA58CC,大安段三小段,.00,都市：其他
RPUOMLMKNHPFFFA78CC,龍泉段一小段,.00,都市：商
RPSPMLMKNHPFFDA48CC,南港段四小段,.00,都市：住
RPTPMLMKNHPFFDA58CC,西松段二小段,.00,都市：商
RPTPMLMKNHPFFDA58CC,西松段二小段,.00,都市：其他
RPSOMLMKNHPFFFA58CC,復興段三小段,.00,都市：其他
RPXOMLMKNHPFFDA88CC,永吉段二小段,.00,都市：住
RPXOMLMKNHPFFDA88CC,永吉段二小段,.00,都市：其他
RPVQMLMKNHPFFDA88CC,西松段二小段,16.39,都市：住
RPTQMLMKNHPFFDA68CC,延吉段一小段,.00,都市：住
RPPQMLMKNHPFFDA28CC,西松段一小段,.00,都市：商
RPRSMLMKNHPFFDA68CC,延吉段三小段,.00,都市：住
RPQRMLMKNHPFFDA48CC,西松段一小段,5.36,都市：住
RPQQMLMKNHPFFDA38CC,敦化段四小段,.00,都市：住
RPQQMLMKNHPFFDA38CC,敦化段四小段,.00,都市：住
RPPNMLMKNHPFFBA77CC,市府段三小段,.00,都市：商
RPORMLMKNHPFFDA28CC,永吉段一小段,.00,都市：住
RPRNMLMKNHPFFBA97CC,公園段二小段,.00,都市：商
RPRNMLMKNHPFFBA97CC,公園段二小段,.00,都市：商
RPTNMLMKNHPFFBA18CC,臨沂段四小段,.00,都市：住
RPQPMLMKNHPFFBA08CC,公園段二小段,.00,都市：商
RPQPMLMKNHPFFBA08CC,公園段二小段,.00,都市：商
RPQNMLMKNHPFFAA77CC,南海段五小段,.00,都市：商
RPPNMLMKNHPFFAA67CC,南海段五小段,.00,都市：商
RPTNMLMKNHPFFAA08CC,南海段五小段,.00,都市：商
RPPPMLMKNHPFFBA97CC,臨沂段二小段,.00,都市：住
RPRPMLMKNHPFFBA18CC,城中段三小段,.00,都市：商
RPWNMLMKNHPFFAA38CC,南海段五小段,.00,都市：商
