編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVNMLPKNHPFFFB09CB,市鎮北段,14.61,都市：商
RPUNMLPKNHPFFFB98CB,市鎮北段,14.61,都市：商
RPOOMLPKNHPFFFB48CB,市鎮北段,14.61,都市：商
RPPOMLOKNHPFFFB48CB,市鎮北段,14.61,都市：商
RPSOMLOKNHPFFFB78CB,市鎮北段,14.61,都市：商
RPOOMLOKNHPFFFB38CB,市鎮北段,14.61,都市：商
RPROMLOKNHPFFFB68CB,市鎮北段,14.61,都市：商
RPWNMLPKNHPFFFB56CB,市鎮北段,14.61,都市：商
RPPOMLPKNHPFFFB58CB,市鎮北段,14.61,都市：商
RPQOMLOKNHPFFFB58CB,市鎮北段,14.61,都市：商
RPSOMLPKNHPFFFB88CB,市鎮北段,14.61,都市：商
RPQOMLPKNHPFFFB68CB,市鎮北段,14.61,都市：商
RPROMLPKNHPFFFB78CB,市鎮北段,14.87,都市：商
RPUOMLPKNHPFFFB09CB,市鎮北段,14.61,都市：商
