鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西屯區,房地(土地+建物),臺中市西屯區臺灣大道四段751~780號,900.0,其他,,,1090501,土地1建物3車位0,見其他登記事項,12,辦公商業大樓,見其他登記事項,見其他登記事項,0801125,1288.24,0,0,0,無,無,有,227040,176,,0.0,0,,RPXNMLLKNHPFFCB68CC
南屯區,建物,臺中市南屯區保安七街61~90號,0.0,,,,1090509,土地0建物0車位0,五層,11,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1060817,34.43,1,1,1,有,有,有,7500,218,,0.0,0,,RPSOMLLKNHPFFCB28CC
南屯區,建物,臺中市南屯區保安七街61~90號,0.0,,,,1090509,土地0建物0車位0,四層,11,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1060817,41.37,1,1,1,有,有,有,10000,242,,0.0,0,,RPTOMLLKNHPFFCB38CC
南屯區,房地(土地+建物),臺中市南屯區大墩十街181~210號,13.01,住,,,1090416,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800611,134.20000000000002,3,2,2,有,有,有,18500,138,,0.0,0,,RPQPMLLKNHPFFCB18CC
北屯區,建物,臺中市北屯區熱河路三段93巷31~60號,0.0,住,,,1090420,土地0建物1車位1,見其他登記事項,16,店面(店鋪),住商用,鋼筋混凝土造,0801207,400.03999999999996,6,1,3,有,有,無,29000,72,坡道平面,0.0,0,門牌整編依謄本門牌申報。租賃期間含免租金裝潢期。車位面積無法分算。,RPXOMLLKNHPFFBB68CC
北區,房地(土地+建物)+車位,臺中市北區育樂街61~90號,9.43,商,,,1090424,土地1建物1車位1,十一層,21,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080513,72.71000000000001,1,1,1,有,有,有,14500,342,坡道平面,34.65,0,,RPVQMLLKNHPFFBB68CC
北區,房地(土地+建物),臺中市北區西屯路二段1~30號,7.56,住,,,1090424,土地1建物1車位0,八層,12,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0820503,121.94,3,2,2,有,有,無,17000,139,,0.0,0,,RPXQMLLKNHPFFBB88CC
北區,房地(土地+建物)+車位,臺中市北區育樂街61~90號,9.43,商,,,1090420,土地1建物1車位2,九層,21,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080513,72.71000000000001,1,1,1,有,有,有,16500,227,其他,0.0,0,,RPURMLLKNHPFFBB68CC
西區,房地(土地+建物),臺中市西區五權路121~150號,41.99,商,,,1090416,土地1建物1車位0,見其他登記事項,11,店面(店鋪),住商用,鋼筋混凝土造,0730726,179.18,3,2,3,有,有,無,30000,167,,0.0,0,,RPWNMLLKNHPFFAB38CC
南區,房地(土地+建物)+車位,臺中市南區大慶街一段130巷31~60號,17.81,住,,,1090405,土地1建物1車位2,六層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970624,117.45,3,2,2,有,有,有,18000,236,坡道機械,45.14,0,,RPSOMLLKNHPFFAB08CC
清水區,房地(土地+建物)+車位,臺中市清水區港新五路211~240號,21.84,商,,,1090509,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060905,168.17000000000002,3,2,2,有,有,有,22500,134,坡道平面,34.35,0,,RPSNMLLKNHPFFFB48CC
清水區,房地(土地+建物)+車位,臺中市清水區港新三路1~30號,14.99,商,,,1090507,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070926,112.13,2,2,1,有,有,有,18500,165,坡道平面,32.25,0,,RPRNMLMKNHPFFFB48CC
