編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPXNMLLKNHPFFCB68CC,福安段,900.00,都市：其他
RPTOMLLKNHPFFCB38CC,寶文段,.00,非都市： ; 非都市編定：
RPXOMLLKNHPFFBB68CC,松昌段,.00,都市：住
RPQPMLLKNHPFFCB18CC,大新段,6.66,都市：住
RPQPMLLKNHPFFCB18CC,大新段,6.35,都市：住
RPWNMLLKNHPFFAB38CC,後子段,41.99,都市：商
RPXQMLLKNHPFFBB88CC,中興段,7.56,都市：住
RPURMLLKNHPFFBB68CC,錦村段,9.43,都市：商
RPVQMLLKNHPFFBB68CC,錦村段,9.43,都市：商
RPSOMLLKNHPFFCB28CC,寶文段,.00,非都市： ; 非都市編定：
RPSOMLLKNHPFFAB08CC,樹子腳段,17.81,都市：住
RPSNMLLKNHPFFFB48CC,市鎮北段,21.84,都市：商
RPRNMLMKNHPFFFB48CC,市鎮北段,14.99,都市：商
RPWNMLMKNHPFFAB48CC,下橋子頭段,16.54,都市：住
RPOOMLMKNHPFFAB77CC,下橋子頭段,5.00,都市：住
RPROMLMKNHPFFBB18CC,錦村段,9.43,都市：商
RPQOMLMKNHPFFAB97CC,中墩段三小段,.00,都市：商
RPUOMLMKNHPFFAB38CC,萬安段九小段,.00,都市：住
RPUOMLMKNHPFFAB38CC,正義段九小段,.00,都市：住
RPUOMLMKNHPFFAB38CC,頂橋子頭段,.00,都市：住
RPTOMLMKNHPFFBB38CC,東信段,15.04,都市：住
RPXNMLMKNHPFFCB78CC,惠民段,.00,都市：其他
RPOPMLMKNHPFFBB97CC,錦村段,9.52,都市：商
RPUOMLMKNHPFFBB48CC,東義段,25.56,都市：住
RPVPMLMKNHPFFCB78CC,國安段,.00,非都市： ; 非都市編定：
RPUPMLMKNHPFFCB68CC,黎明段,47.12,都市：住
RPQQMLMKNHPFFCB38CC,大新段,.00,都市：住
RPSOMLNKNHPFFCB48CC,黎明段,180.00,都市：住
RPRNMLOKNHPFFIB09DC,高鐵段,330.00,都市：其他
RPOQMLNKNHPFFAB08CC,下橋子頭段,.00,都市：住
RPTNMLNKNHPFFCB48CC,大墩段,23.29,都市：住
RPUNMLOKNHPFFHB56CC,大新段,.00,都市：住
RPOQMLOKNHPFFBB38DC,賴厝段,6.43,都市：住
RPPNMLOKNHPFFJB98DC,永新段,98.16,都市：住
RPWPMLOKNHPFFBB09DC,松竹段,5.96,都市：住
RPROMLOKNHPFFAB38DC,公館段,1.56,都市：住
RPROMLOKNHPFFAB38DC,公館段,1.35,都市：住
RPXPMLOKNHPFFBB56DC,賴厝段,3.37,都市：住
RPWQMLOKNHPFFBB09CC,中德段,5.28,都市：住
RPWQMLOKNHPFFBB09CC,中德段,17.43,都市：住
RPQPMLOKNHPFFBB38CC,乾溝子段,9.14,都市：住
RPQPMLOKNHPFFBB38CC,乾溝子段,.26,都市：住
RPPQMLOKNHPFFCB48CC,上石碑段,31.31,都市：商
RPTQMLOKNHPFFCB88CC,惠民段,1299.22,都市：其他
RPXOMLPKNHPFFCB56CC,下石碑段,442.00,都市：工
RPOOMLPKNHPFFCB28CC,上石碑段,11.61,都市：住
RPXQMLPKNHPFFBB66CC,東峰段,10.50,都市：住
RPWQMLOKNHPFFCB56CC,何安段,.00,都市：住
RPWQMLOKNHPFFCB56CC,何安段,.00,都市：其他
RPTQMLPKNHPFFBB88CC,水源段,58.00,都市：住
