編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPPNMLNLNHPFFBC97CA,坡道平面,700000,36.54
RPTNMLMLNHPFFBC28CA,坡道平面,0,
RPROMLOJOHPFFBC28CA,坡道平面,1000000,43.73
RPQOMLOJOHPFFBC18CA,坡道平面,750000,43.73
RPTOMLOJOHPFFBC48CA,坡道平面,900000,49.62
RPRNMLPJOHPFFBC28CA,坡道平面,750000,49.62
RPWNMLMLNHPFFCC88EA,坡道平面,900000,27.40
RPWNMLMLNHPFFCC88EA,坡道平面,900000,27.40
RPTOMLTLNHPFFCC56CA,坡道平面,1400000,27.36
RPWOMLOJOHPFFBC78CA,坡道平面,1100000,49.62
RPVOMLOJOHPFFBC68CA,坡道平面,900000,49.62
RPXOMLOJOHPFFBC88CA,坡道平面,0,49.62
RPOPMLOJOHPFFBC08CA,坡道平面,1100000,43.73
RPPPMLOJOHPFFBC18CA,坡道平面,900000,43.73
RPPOMLMKNHPFFBC87CA,坡道平面,0,
RPQPMLOJOHPFFBC28CA,坡道平面,900000,43.73
RPSPMLOJOHPFFBC48CA,坡道平面,1300000,49.62
RPRPMLOJOHPFFBC38CA,坡道平面,750000,43.73
RPRNMLTKNHPFFBC68CA,坡道機械,400000,18.83
RPRNMLNLNHPFFBC18CA,坡道平面,0,35.96
RPVNMLMLNHPFFCC78EA,坡道平面,0,31.96
RPQNMLTKNHPFFBC58CA,坡道機械,400000,18.83
RPWNMLTKNHPFFBC56CA,坡道平面,0,34.99
RPWNMLTKNHPFFBC56CA,坡道平面,0,34.99
RPVNMLOKNHPFFCC68CA,坡道平面,1000000,15.87
RPVNMLOKNHPFFCC68CA,坡道平面,1000000,15.87
RPRNMLMLNHPFFCC18CA,坡道平面,0,42.95
RPRNMLTLNHPFFCC88CA,升降平面,1200000,15.01
RPVNMLPLNHPFFCC88CA,坡道平面,0,29.28
RPQNMLSKNHPFFBC58DA,坡道平面,800000,34.17
RPWNMLOKNHPFFCC78CA,坡道機械,950000,18.60
RPWNMLPJOHPFFBC78CA,升降機械,600000,14.79
RPWPMLOJOHPFFBC88CA,坡道平面,0,24.17
RPQNMLNLNHPFFBC08CA,坡道平面,0,24.17
RPUNMLQLNHPFFBC78CA,一樓平面,0,
RPSOMLQLNHPFFBC68CA,坡道平面,1150000,31.21
RPROMLQLNHPFFBC58CA,坡道平面,1050000,35.96
RPQOMLQLNHPFFBC48CA,坡道平面,0,35.96
RPQOMLQLNHPFFBC48CA,坡道平面,0,35.96
RPUOMLQLNHPFFBC88CA,坡道平面,1000000,35.96
RPWOMLQLNHPFFBC09CA,坡道平面,950000,31.21
RPVOMLQLNHPFFBC98CA,坡道平面,1200000,35.96
RPOPMLQLNHPFFBC38CA,坡道平面,1050000,35.96
RPXOMLQLNHPFFBC56CA,坡道平面,1050000,35.96
RPVOMLMLNHPFFCC68CA,坡道平面,0,
RPOOMLTLNHPFFCC68CA,坡道平面,0,28.62
RPPNMLSKNHPFFCC48CA,坡道平面,0,29.27
RPTNMLKLNHPFFCC18CA,坡道平面,0,13.47
RPXNMLMLNHPFFCC98EA,坡道平面,0,13.47
RPVNMLOJOHPFFCC68CA,坡道平面,0,
RPQOMLKKOHPFFBC08EA,坡道機械,1250000,10.52
RPQOMLKKOHPFFBC08EA,坡道機械,1250000,10.52
RPQNMLKLNHPFFCC87CA,坡道平面,0,
RPRNMLLJOHPFFBC87CA,坡道平面,750000,36.84
RPXNMLQLNHPFFBC09CA,坡道平面,1850000,32.33
RPOOMLTKNHPFFBC48CA,坡道平面,0,
RPTNMLMLNHPFFCC38CA,升降機械,600000,14.95
RPXNMLMLNHPFFBC68CA,坡道平面,0,
RPSNMLLLNHPFFCC18CA,坡道平面,1000000,
RPPOMLPLNHPFFBC28CA,坡道平面,0,32.33
RPSOMLTKNHPFFCC98CA,坡道平面,0,
RPSNMLQLNHPFFCC68CA,坡道平面,0,50.12
RPUNMLRLNHPFFCC98CA,坡道平面,0,
RPQNMLLKOHPFFCC97CA,坡道平面,0,46.69
RPPNMLLLNHPFFBC77CA,坡道平面,0,34.16
RPUNMLKLNHPFFBC18CA,坡道平面,0,
RPVNMLOJOHPFFBC58CA,坡道平面,0,24.17
RPROMLLLNHPFFBC08CA,坡道平面,0,25.92
