編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLMKNHPFFCC08CC,25,74.85,住家用,鋼筋混凝土造,84年8月1日,十二層,
RPPNMLMKNHPFFCC08CC,25,12.11,共用部份,鋼筋混凝土造,84年8月1日,十二層,
RPPNMLMKNHPFFCC08CC,25,3.75,共用部份,鋼筋混凝土造,84年8月1日,十二層,
RPXNMLKLNHPFFCC88DC,4,49.55,見其他登記事項,鋼筋混凝土造,105年1月24日,二十二層,
RPXNMLKLNHPFFCC88DC,4,.48,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPXNMLKLNHPFFCC88DC,4,20.25,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPXNMLKLNHPFFCC88DC,4,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,
RPSNMLMKNHPFFBC28CC,1,93.61,見其他登記事項,鋼筋混凝土造,108年2月12日,十四層,
RPSNMLMKNHPFFBC28CC,1,17.53,見其他登記事項,鋼筋混凝土造,108年2月12日,十四層,
RPSNMLMKNHPFFBC28CC,1,25.66,見其他登記事項,鋼筋混凝土造,108年2月12日,十四層,
RPTNMLMKNHPFFBC38CC,21,25.41,住家用,鋼筋混凝土造,88年5月10日,七層,
RPTNMLMKNHPFFBC38CC,21,5.04,共用部份,鋼筋混凝土造,88年5月10日,七層,
RPTNMLMKNHPFFBC38CC,21,2.98,共用部份,鋼筋混凝土造,88年5月10日,七層,
RPRNMLMKNHPFFBC18CC,1,93.61,見其他登記事項,鋼筋混凝土造,108年2月12日,十四層,
RPRNMLMKNHPFFBC18CC,1,17.53,見其他登記事項,鋼筋混凝土造,108年2月12日,十四層,
RPRNMLMKNHPFFBC18CC,1,25.66,見其他登記事項,鋼筋混凝土造,108年2月12日,十四層,
RPUNMLMKNHPFFBC48CC,29,117.44,商業用,鋼筋混凝土造,80年7月20日,五層,
RPUNMLMKNHPFFBC48CC,29,3.09,共用部份,鋼筋混凝土造,80年7月20日,五層,
