編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLLKNHPFFDD88CC,23,123.10,住商用,鋼筋混凝土造,86年8月25日,八層,
RPXNMLLKNHPFFAD68CC,42,75.90,住家用,加強磚造,67年1月28日,二層,
RPPNMLLKNHPFFAD87CC,,55.17,住家用,磚造,,三層,
RPROMLLKNHPFFCD38CC,12,21.70,住家用,鋼筋混凝土造,97年2月29日,十四層,
RPROMLLKNHPFFCD38CC,12,5.39,共有部分,鋼筋混凝土造,97年2月29日,十四層,
RPROMLLKNHPFFCD38CC,12,7.11,共有部分,鋼筋混凝土造,97年2月29日,十四層,
RPQNMLLKNHPFFCD18CC,16,46.34,住家用,見其他登記事項,93年7月12日,十四層,
RPQNMLLKNHPFFCD18CC,16,8.56,共有部分,見其他登記事項,93年7月12日,十四層,
RPQNMLLKNHPFFCD18CC,16,32.97,共有部分,見其他登記事項,93年7月12日,十四層,
RPWNMLLKNHPFFCD78CC,30,21.32,住家用,鋼筋混凝土造,78年11月14日,五層,
RPWNMLLKNHPFFCD78CC,30,6.45,共有部分,鋼筋混凝土造,78年11月14日,五層,
RPSNMLLKNHPFFCD38CC,34,119.53,住商用,加強磚造,74年12月23日,二層,
RPPOMLLKNHPFFCD18CC,31,79.40,住家用,鋼筋混凝土造,78年5月12日,五層,
RPPOMLLKNHPFFCD18CC,31,24.10,共有部分,鋼筋混凝土造,78年5月12日,五層,
RPTOMLLKNHPFFCD58CC,4,83.69,見其他登記事項,鋼筋混凝土造,105年3月14日,十四層,
RPTOMLLKNHPFFCD58CC,4,61.34,見其他登記事項,鋼筋混凝土造,105年3月14日,十四層,
RPTOMLLKNHPFFCD58CC,4,22.48,見其他登記事項,鋼筋混凝土造,105年3月14日,十四層,
RPSOMLLKNHPFFCD48CC,25,68.91,住家用,鋼筋混凝土造,83年12月14日,七層,
RPSOMLLKNHPFFCD48CC,25,19.32,共有部分,鋼筋混凝土造,83年12月14日,七層,
RPSOMLLKNHPFFCD48CC,25,13.84,共有部分,鋼筋混凝土造,83年12月14日,七層,
RPSNMLMKNHPFFDD58CC,21,20.88,國民住宅,鋼筋混凝土造,88年3月17日,六層,
RPTNMLLKNHPFFKD66CC,27,181.01,見其他登記事項,鋼筋混凝土造,82年4月21日,三層,
RPTNMLLKNHPFFKD66CC,27,15.44,共有部分,鋼筋混凝土造,82年4月21日,三層,
RPSOMLLKNHPFFKD66CC,25,63.25,住家用,鋼筋混凝土造,84年10月9日,十五層,
RPSOMLLKNHPFFKD66CC,25,19.89,共有部分,鋼筋混凝土造,84年10月9日,十五層,
RPUOMLLKNHPFFKD86CC,26,43.89,住家用,鋼筋混凝土造,83年4月8日,十三層,
RPUOMLLKNHPFFKD86CC,26,13.98,共有部分,鋼筋混凝土造,83年4月8日,十三層,
RPVNMLMKNHPFFKD96CC,27,26.45,住商用,鋼筋混凝土造,82年8月20日,十二層,
RPSNMLMKNHPFFID09CC,25,46.27,住家用,鋼筋混凝土造,84年8月19日,五層,
RPSNMLMKNHPFFID09CC,25,9.92,共有部分,鋼筋混凝土造,84年8月19日,五層,
RPSNMLMKNHPFFBD38CC,39,91.74,見其他登記事項,鋼筋混凝土造,70年9月7日,四層,
RPSNMLMKNHPFFBD38CC,39,3.12,見其他登記事項,鋼筋混凝土造,70年9月7日,四層,
RPSNMLMKNHPFFBD38CC,39,7.80,共有部分,鋼筋混凝土造,70年9月7日,四層,
RPPNMLMKNHPFFCD18CC,27,16.52,住商用,鋼筋混凝土造,82年4月1日,四層,
RPSNMLMKNHPFFCD48CC,18,98.58,見其他登記事項,鋼筋混凝土造,91年1月2日,八層,
RPSNMLMKNHPFFCD48CC,18,39.98,共有部分,鋼筋混凝土造,91年1月2日,八層,
RPSNMLMKNHPFFCD48CC,18,17.98,共有部分,鋼筋混凝土造,91年1月2日,八層,
RPRNMLMKNHPFFCD38CC,33,89.10,住家用,鋼筋混凝土造,76年6月8日,五層,
RPRNMLMKNHPFFCD38CC,33,20.18,共有部分,鋼筋混凝土造,76年6月8日,五層,
RPUNMLMKNHPFFCD68CC,25,161.74,住家用,鋼筋混凝土造,84年3月22日,十二層,
RPUNMLMKNHPFFCD68CC,25,42.36,共有部分,鋼筋混凝土造,84年3月22日,十二層,
RPOOMLMKNHPFFCD18CC,24,91.86,住家用,鋼筋混凝土造,84年11月6日,二十層,
RPOOMLMKNHPFFCD18CC,24,13.66,共有部分,鋼筋混凝土造,84年11月6日,二十層,
RPOOMLMKNHPFFCD18CC,24,40.94,共有部分,鋼筋混凝土造,84年11月6日,二十層,
RPUNMLMKNHPFFAD48CC,36,97.98,住家用,鋼筋混凝土造,72年12月10日,七層,
RPUNMLMKNHPFFAD48CC,36,14.01,共有部分,鋼筋混凝土造,72年12月10日,七層,
RPTOMLMKNHPFFAD48CC,29,39.65,住商用,鋼筋混凝土造,80年5月10日,五層,
RPWNMLMKNHPFFCD88CC,38,87.09,住家用,鋼筋混凝土造,71年2月17日,五層,
RPWNMLMKNHPFFCD88CC,38,.00,共有部分,鋼筋混凝土造,71年2月17日,五層,
RPWNMLNKNHPFFAD78CC,13,39.67,見其他登記事項,鋼筋混凝土造,96年4月27日,四層,
RPUNMLNKNHPFFAD58CC,14,26.69,見其他登記事項,見其他登記事項,95年7月13日,九層,
RPUNMLNKNHPFFAD58CC,14,4.30,共有部分,見其他登記事項,95年7月13日,十一層,
RPUNMLNKNHPFFAD58CC,14,8.63,共有部分,見其他登記事項,95年7月13日,九層,
RPUNMLNKNHPFFAD58CC,14,.01,共有部分,見其他登記事項,95年7月13日,十一層,
RPSOMLNKNHPFFAD48CC,39,54.04,住家用,鋼筋混凝土造,70年7月3日,五層,
RPSOMLNKNHPFFAD48CC,39,9.78,共有部分,鋼筋混凝土造,70年7月3日,五層,
RPQOMLNKNHPFFAD28CC,25,47.27,住家用,鋼筋混凝土造,83年12月22日,二十一層,
RPQOMLNKNHPFFAD28CC,25,7.30,共有部分,鋼筋混凝土造,83年12月22日,二十一層,
RPQOMLNKNHPFFAD28CC,25,4.72,共有部分,鋼筋混凝土造,83年12月22日,二十一層,
RPXNMLNKNHPFFAD88CC,40,57.37,商業用,鋼筋混凝土造,68年12月14日,三層,
RPPOMLNKNHPFFCD38CC,2,183.47,住家用,鋼筋混凝土造,106年11月7日,三層,
RPXNMLNKNHPFFCD09CC,2,57.88,見其他登記事項,見其他登記事項,107年6月19日,十五層,
RPXNMLNKNHPFFCD09CC,2,29.17,見其他登記事項,見其他登記事項,107年6月19日,十五層,
RPSNMLNKNHPFFBD48CC,38,102.27,住商用,加強磚造,71年9月8日,二層,
RPVNMLNKNHPFFBD78CC,39,83.14,住家用,鋼筋混凝土造,69年11月8日,二層,
RPROMLNKNHPFFCD58CC,59,55.07,住家用,磚造,50年1月1日,一層,
RPWNMLNKNHPFFBD88CC,39,94.10,住家用,加強磚造,70年5月15日,二層,
RPQOMLNKNHPFFID09CC,18,162.41,住家用,鋼筋混凝土造,91年5月3日,四層,
RPWNMLNKNHPFFKD17CC,13,112.09,住家用,鋼筋混凝土造,95年12月15日,十層,
RPWNMLNKNHPFFKD17CC,13,63.02,共有部分,鋼筋混凝土造,95年12月15日,十四層,
RPWNMLOKNHPFFHD96CC,25,44.36,住家用,鋼筋混凝土造,84年5月31日,八層,
RPWNMLOKNHPFFHD96CC,25,9.16,見其他登記事項,鋼筋混凝土造,84年5月31日,八層,
RPWNMLOKNHPFFKD27CC,34,136.07,住商用,鋼筋混凝土造,75年9月2日,四層,
RPQNMLNKNHPFFKD56CC,27,30.32,住家用,鋼筋混凝土造,81年11月30日,九層,
RPQNMLNKNHPFFKD56CC,27,25.73,共有部分,鋼筋混凝土造,81年11月30日,九層,
RPRNMLOKNHPFFKD76CC,23,34.15,住家用,鋼筋混凝土造,85年11月22日,十三層,
RPRNMLOKNHPFFKD76CC,23,40.06,共有部分,鋼筋混凝土造,85年11月22日,十三層,
RPTNMLOKNHPFFBD68CC,24,66.70,住家用,鋼筋混凝土造,84年11月10日,九層,
RPTNMLOKNHPFFBD68CC,24,10.53,見其他登記事項,鋼筋混凝土造,84年11月10日,九層,
RPTNMLOKNHPFFBD68CC,24,9.40,見其他登記事項,鋼筋混凝土造,84年11月10日,九層,
RPRNMLOKNHPFFID56CC,18,263.10,住家用,鋼筋混凝土造,91年10月3日,五層,
RPRNMLOKNHPFFID56CC,18,26.65,共有部分,鋼筋混凝土造,91年10月3日,五層,
RPTOMLOKNHPFFHD76CC,8,246.73,住家用,鋼筋混凝土造,100年12月21日,四層,
RPOOMLOKNHPFFBD28CC,36,77.83,住商用,加強磚造,73年1月31日,二層,
RPWOMLOKNHPFFCD56CC,25,30.46,住家用,鋼筋混凝土造,83年11月28日,六層,
RPWOMLOKNHPFFCD56CC,25,5.13,共有部分,鋼筋混凝土造,83年11月28日,六層,
RPWOMLOKNHPFFCD56CC,25,8.08,共有部分,鋼筋混凝土造,83年11月28日,六層,
RPPPMLOKNHPFFCD58CC,27,94.60,住家用,鋼筋混凝土造,81年12月29日,十一層,
RPPPMLOKNHPFFCD58CC,27,21.78,共有部分,鋼筋混凝土造,81年12月29日,十一層,
RPPPMLOKNHPFFCD58CC,27,12.55,共有部分,鋼筋混凝土造,81年12月29日,十一層,
RPPPMLOKNHPFFCD58CC,27,12.72,共有部分,鋼筋混凝土造,81年12月29日,十一層,
RPQPMLOKNHPFFCD68CC,29,15.55,住家用,鋼筋混凝土造,80年1月22日,九層,
RPQPMLOKNHPFFCD68CC,29,8.25,共有部分,鋼筋混凝土造,80年1月22日,九層,
RPVOMLOKNHPFFAD88CC,73,41.96,住商用,加強磚造,36年2月19日,三層,
RPUOMLOKNHPFFAD78CC,23,25.95,住家用,鋼筋混凝土造,85年12月2日,十九層,
RPUOMLOKNHPFFAD78CC,23,2.65,共有部分,鋼筋混凝土造,85年12月2日,十九層,
RPUOMLOKNHPFFAD78CC,23,5.61,共有部分,鋼筋混凝土造,85年12月2日,十九層,
RPSPMLOKNHPFFCD88CC,26,20.59,住家用,鋼筋混凝土造,83年2月8日,八層,
RPSPMLOKNHPFFCD88CC,26,4.42,共有部分,鋼筋混凝土造,83年2月8日,八層,
RPSPMLOKNHPFFCD88CC,26,5.12,共有部分,鋼筋混凝土造,83年2月8日,八層,
RPPPMLPKNHPFFAD48CC,42,56.18,住家用,加強磚造,67年11月11日,二層,
RPTOMLOKNHPFFAD68CC,,57.36,住家用,磚造,,三層,
RPWOMLOKNHPFFAD98CC,27,36.62,住家用,鋼筋混凝土造,81年12月22日,六層,
RPWOMLOKNHPFFAD98CC,27,6.97,共有部分,鋼筋混凝土造,81年12月22日,六層,
RPWOMLOKNHPFFAD98CC,27,8.55,共有部分,鋼筋混凝土造,81年12月22日,六層,
