編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPWNMLLKNHPFFDD88CC,華城段,.00,都市：住
RPXNMLLKNHPFFAD68CC,仁愛段,.00,都市：住
RPXNMLLKNHPFFAD68CC,仁愛段,.00,都市：住
RPPNMLLKNHPFFAD87CC,永華段,27.70,都市：商
RPROMLLKNHPFFCD38CC,虎尾寮段,.00,都市：住
RPQNMLLKNHPFFCD18CC,東光段,.00,都市：商
RPWNMLLKNHPFFCD78CC,虎尾寮段,.00,都市：住
RPSNMLLKNHPFFCD38CC,仁和段,.00,都市：住
RPPOMLLKNHPFFCD18CC,新興段,.00,都市：住
RPTOMLLKNHPFFCD58CC,水交社段,.00,都市：商
RPSOMLLKNHPFFCD48CC,府東段,.00,都市：住
RPSOMLLKNHPFFCD48CC,府東段,.00,都市：住
RPSNMLMKNHPFFDD58CC,新東段,.00,非都市： ; 非都市編定：
RPTNMLLKNHPFFKD66CC,永華段,.00,都市：住
RPTNMLMKNHPFFID56CC,興安段,.00,都市：工
RPSOMLLKNHPFFKD66CC,永和段,.00,都市：商
RPUOMLLKNHPFFKD86CC,六甲頂段,5.45,都市：住
RPVNMLMKNHPFFKD96CC,大灣段,.00,都市：商
RPSNMLMKNHPFFID09CC,清水段,.00,都市：住
RPSNMLMKNHPFFID09CC,清水段,.00,都市：住
RPSNMLMKNHPFFID09CC,清水段,.00,都市：住
RPSNMLMKNHPFFID09CC,清水段,.00,都市：住
RPSNMLMKNHPFFBD38CC,怡中段,.00,都市：住
RPPNMLMKNHPFFCD18CC,虎尾寮段,.00,都市：住
RPSNMLMKNHPFFCD48CC,育樂段,.00,都市：住
RPRNMLMKNHPFFCD38CC,光明段,.00,都市：住
RPUNMLMKNHPFFCD68CC,富農段,.00,都市：住
RPUNMLMKNHPFFCD68CC,富農段,.00,都市：住
RPOOMLMKNHPFFCD18CC,富農段,.00,都市：住
RPOOMLMKNHPFFCD18CC,富農段,.00,都市：住
RPUNMLMKNHPFFAD48CC,南門段,.00,都市：住
RPTOMLMKNHPFFAD48CC,金華段,86.00,都市：住
RPWNMLMKNHPFFCD88CC,公英段,.00,都市：住
RPWNMLNKNHPFFAD78CC,北元段,.00,都市：住
RPUNMLNKNHPFFAD58CC,青年段,.00,都市：商
RPUNMLNKNHPFFAD58CC,青年段,.00,都市：商
RPUNMLNKNHPFFAD58CC,青年段,.00,都市：商
RPSOMLNKNHPFFAD48CC,公園段,.00,都市：商
