編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLMKNHPFFAE38CA,34,35.07,,鋼筋混凝土造,75年2月17日,十六層,九層
RPUNMLMKNHPFFAE38CA,34,3.62,,鋼筋混凝土造,75年2月17日,十六層,
RPUNMLMKNHPFFAE38CA,34,11.40,,鋼筋混凝土造,75年2月17日,十六層,
RPTOMLOKNHPFFAE58CA,24,66.72,住家用,鋼筋混凝土造,84年12月19日,二十四層,四層
RPTOMLOKNHPFFAE58CA,24,19.94,見使用執照,鋼筋混凝土造,84年12月19日,二十四層,
RPTOMLOKNHPFFAE58CA,24,12.60,見使用執照,鋼筋混凝土造,84年12月19日,二十四層,
RPPNMLQKNHPFFAE28CA,13,135.78,住家用,鋼筋混凝土造,96年3月28日,十四層,十四層
RPPNMLQKNHPFFAE28CA,13,76.44,見其它登記事項,鋼筋混凝土造,96年3月28日,十四層,
RPTNMLLKNHPFFAE18CA,25,143.59,住商用,鋼筋混凝土造,84年6月23日,十二層,一層 二層 騎樓
RPTNMLLKNHPFFAE18CA,25,38.73,見使用執照,鋼筋混凝土造,84年6月23日,十二層,
RPRNMLPLNHPFFAE48CA,3,202.91,見其它登記事項,鋼筋混凝土造,106年6月1日,二十九層,十四層
RPRNMLPLNHPFFAE48CA,3,186.78,見其它登記事項,鋼筋混凝土造,106年6月1日,二十九層,
RPUNMLOKNHPFFAE58CA,38,26.85,,鋼筋混凝土造,70年10月3日,十二層,三層
RPUNMLOKNHPFFAE58CA,38,10.83,,鋼筋混凝土造,70年10月3日,十二層,
RPSNMLLLNHPFFAE18CA,5,219.98,見其它登記事項,見其它登記事項,104年9月15日,三十八層,十八層
RPSNMLLLNHPFFAE18CA,5,152.91,見其它登記事項,見其它登記事項,104年9月15日,三十八層,
RPUNMLNKNHPFFAE48CA,40,84.12,,鋼筋混凝土造,69年4月24日,八層,七層
RPVNMLLKNHPFFAE38CA,21,52.96,住家用,鋼筋混凝土造,88年9月30日,十四層,七層
RPVNMLLKNHPFFAE38CA,21,24.46,共有部分,鋼筋混凝土造,88年9月30日,十四層,
RPWNMLTLNHPFFAE76CA,4,338.40,見其它登記事項,見其它登記事項,104年11月4日,三十六層,二十二層
RPWNMLTLNHPFFAE76CA,4,263.16,見其它登記事項,見其它登記事項,104年11月4日,三十六層,
RPSNMLNKNHPFFBE38CA,19,30.71,見其他登記事項,鋼筋混凝土造,90年5月29日,二十四層,
RPXNMLMKNHPFFBE78CA,10,95.69,住家用,鋼筋混凝土造,99年5月4日,十五層,九層
RPXNMLMKNHPFFBE78CA,10,59.88,見其他登記事項,鋼筋混凝土造,99年5月4日,十五層,
RPRNMLNKNHPFFBE28CA,44,156.36,,鋼筋混凝土造,64年12月30日,三層,一層 二層 三層 騎樓
RPQNMLPJOHPFFAE28CA,7,162.60,住家用,鋼筋混凝土造,102年6月19日,二十四層,二層
RPQNMLPJOHPFFAE28CA,7,107.19,見其它登記事項,鋼筋混凝土造,102年6月19日,二十四層,
RPQOMLMKNHPFFBE18CA,32,136.09,,鋼筋混凝土造,77年6月27日,十七層,十三層
RPQOMLMKNHPFFBE18CA,32,45.53,,鋼筋混凝土造,77年6月27日,十七層,
RPTNMLTKNHPFFBE09CA,55,68.96,住家用,加強磚造,54年9月29日,二層,一層 二層
RPPNMLTKNHPFFBE68CA,48,218.15,,鋼筋混凝土造,60年11月3日,四層,一層 二層 三層 四層 騎樓 地下層
RPQNMLSKNHPFFBE68CA,15,112.74,住家用,鋼筋混凝土造,94年4月28日,十四層,九層
RPQNMLSKNHPFFBE68CA,15,49.49,見其他登記事項,鋼筋混凝土造,94年4月28日,十四層,
RPOOMLTKNHPFFBE68CA,,99.44,見其他登記事項,見其他登記事項,109年1月3日,十五層,十一層
RPOOMLTKNHPFFBE68CA,,75.94,共有部分,見其他登記事項,109年1月3日,十五層,
RPWNMLKLNHPFFBE58CA,27,106.93,住家用,鋼筋混凝土造,82年2月8日,十二層,八層
RPWNMLKLNHPFFBE58CA,27,23.82,見使用執照,鋼筋混凝土造,82年2月8日,十二層,
RPTPMLTKNHPFFBE66CA,3,154.57,住家用,鋼筋混凝土造,105年10月11日,十四層,十層
RPTPMLTKNHPFFBE66CA,3,126.47,共有部分,鋼筋混凝土造,105年10月11日,十四層,
RPQOMLLLNHPFFBE18CA,37,108.41,,鋼筋混凝土造,72年8月13日,八層,八層
RPQOMLLLNHPFFBE18CA,37,24.83,,鋼筋混凝土造,72年8月13日,八層,
RPXNMLPLNHPFFBE56CA,29,26.86,,鋼筋混凝土造,80年5月10日,十二層,六層
RPXNMLPLNHPFFBE56CA,29,10.20,,鋼筋混凝土造,80年5月10日,十二層,
RPXNMLPLNHPFFBE56CA,29,.95,,鋼筋混凝土造,80年5月10日,十二層,四層
RPTNMLOKNHPFFCE68CA,35,87.78,,鋼筋混凝土造,74年6月4日,五層,五層
RPTNMLOKNHPFFCE68CA,35,8.14,見使用執照,鋼筋混凝土造,74年6月4日,五層,
RPPNMLOKNHPFFCE28CA,24,82.97,住家用,鋼筋混凝土造,85年7月8日,十一層,四層
RPPNMLOKNHPFFCE28CA,24,29.74,見使用執照,鋼筋混凝土造,85年7月8日,十一層,
RPROMLOKNHPFFCE58CA,1,214.59,見其它登記事項,見其它登記事項,108年2月14日,四層,一層 二層 三層 四層
RPUNMLOKNHPFFCE78CA,27,90.67,住家用,鋼筋混凝土造,82年5月7日,八層,六層
RPUNMLOKNHPFFCE78CA,27,24.68,見使用執照,鋼筋混凝土造,82年5月7日,八層,
RPSOMLLJOHPFFCE38CA,41,79.91,,鋼筋混凝土造,67年11月4日,四層,一層
RPPNMLMJOHPFFCE08CA,22,116.45,住家用,鋼筋混凝土造,87年4月13日,十五層,十四層
RPPNMLMJOHPFFCE08CA,22,51.97,共有部份,鋼筋混凝土造,87年4月13日,十五層,
RPOOMLNKNHPFFDE28CA,40,87.45,,鋼筋混凝土造,69年6月7日,五層,五層
RPQOMLNKNHPFFDE48CA,4,117.57,見其它登記事項,鋼筋混凝土造,105年9月1日,十五層,十三層
RPQOMLNKNHPFFDE48CA,4,100.78,見其它登記事項,鋼筋混凝土造,105年9月1日,十五層,
RPUOMLOKNHPFFDE98CA,22,23.00,見使用執照,鋼筋混凝土造,86年12月16日,十三層,
RPVNMLMKNHPFFDE78CA,40,139.86,,鋼筋混凝土造,69年6月30日,四層,一層 二層 三層 四層 地下層
RPQPMLNKNHPFFDE58CA,5,209.59,住家用,鋼筋混凝土造,104年9月3日,十八層,十八層 見其他登記事項
RPQPMLNKNHPFFDE58CA,5,158.41,見其它登記事項,鋼筋混凝土造,104年9月3日,十八層,
RPTOMLOKNHPFFDE88CA,21,33.09,住家用,鋼筋混凝土造,88年7月31日,十四層,十三層
RPTOMLOKNHPFFDE88CA,21,11.98,見使用執照,鋼筋混凝土造,88年7月31日,十四層,
RPRPMLOKNHPFFDE78CA,25,86.62,住家用,鋼筋混凝土造,84年4月19日,十九層,三層 電梯樓梯間
RPRPMLOKNHPFFDE78CA,25,3.88,見使用執照,鋼筋混凝土造,84年4月19日,十九層,
RPRNMLSKNHPFFDE98CA,25,134.14,住家用,鋼筋混凝土造,83年11月17日,四層,一層 二層 三層 四層
RPQQMLMJOHPFFDE58CA,,57.31,見其它登記事項,鋼筋混凝土造,109年3月5日,十五層,九層
RPQQMLMJOHPFFDE58CA,,51.59,見其它登記事項,鋼筋混凝土造,109年3月5日,十五層,
RPTQMLMJOHPFFDE88CA,,57.31,見其它登記事項,鋼筋混凝土造,109年3月5日,十五層,十三層
RPTQMLMJOHPFFDE88CA,,69.76,見其它登記事項,鋼筋混凝土造,109年3月5日,十五層,
RPRQMLMJOHPFFDE68CA,,57.31,見其它登記事項,鋼筋混凝土造,109年3月5日,十五層,六層
RPRQMLMJOHPFFDE68CA,,51.59,見其它登記事項,鋼筋混凝土造,109年3月5日,十五層,
RPSQMLMJOHPFFDE78CA,,76.70,見其它登記事項,鋼筋混凝土造,109年3月5日,十五層,八層
RPSQMLMJOHPFFDE78CA,,80.49,見其它登記事項,鋼筋混凝土造,109年3月5日,十五層,
RPVQMLMJOHPFFDE09CA,,80.17,見其它登記事項,鋼筋混凝土造,109年3月5日,十五層,八層
RPVQMLMJOHPFFDE09CA,,80.96,見其它登記事項,鋼筋混凝土造,109年3月5日,十五層,
RPUQMLMJOHPFFDE98CA,,80.17,見其它登記事項,鋼筋混凝土造,109年3月5日,十五層,七層
RPUQMLMJOHPFFDE98CA,,82.43,見其它登記事項,鋼筋混凝土造,109年3月5日,十五層,
RPXQMLMJOHPFFDE66CA,,57.31,見其它登記事項,鋼筋混凝土造,109年3月5日,十五層,十二層
RPXQMLMJOHPFFDE66CA,,51.59,見其它登記事項,鋼筋混凝土造,109年3月5日,十五層,
RPPRMLMJOHPFFDE58CA,,51.35,見其它登記事項,鋼筋混凝土造,109年3月5日,十五層,十三層
RPPRMLMJOHPFFDE58CA,,28.42,見其它登記事項,鋼筋混凝土造,109年3月5日,十五層,
RPWQMLMJOHPFFDE56CA,,76.70,見其它登記事項,鋼筋混凝土造,109年3月5日,十五層,九層
