編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPTOMLOKNHPFFAE58CA,前金段,5.99,都市：住
RPTOMLOKNHPFFAE58CA,北金段,3.51,都市：住
RPPNMLQKNHPFFAE28CA,青海段,29.17,都市：住
RPTNMLLKNHPFFAE18CA,龍華段八小段,17.20,都市：商
RPRNMLPLNHPFFAE48CA,青海段,35.04,都市：住
RPSNMLLLNHPFFAE18CA,龍中段,21.36,都市：商
RPUNMLNKNHPFFAE48CA,文東段,1.20,都市：商
RPUNMLNKNHPFFAE48CA,文東段,13.20,都市：商
RPUNMLNKNHPFFAE48CA,文東段,2.28,都市：商
RPVNMLLKNHPFFAE38CA,龍華段八小段,7.55,都市：商
RPPNMLSJOHPFFAE48CA,龍華段七小段,91.57,都市：住
RPSNMLOKNHPFFBE48CA,五權段,42.00,都市：住
RPWNMLTLNHPFFAE76CA,龍中段,35.99,都市：商
RPSNMLNKNHPFFBE38CA,苓雅寮段,2.75,都市：住
RPXNMLMKNHPFFBE78CA,林德官段一小段,17.42,都市：住
RPRNMLNKNHPFFBE28CA,武聖段,79.00,都市：住
RPQNMLPJOHPFFAE28CA,青海段,28.14,都市：住
RPQOMLMKNHPFFBE18CA,林德官段一小段,19.16,都市：其他
RPTNMLTKNHPFFBE09CA,新興段一小段,26.00,都市：商
RPTNMLTKNHPFFBE09CA,新興段一小段,31.00,都市：商
RPPNMLTKNHPFFBE68CA,新興段二小段,61.00,都市：商
RPSNMLNKNHPFFCE48CA,坪頂段,156.13,都市：住
RPQNMLSKNHPFFBE68CA,五權段,9.44,都市：商
RPQNMLSKNHPFFBE68CA,五權段,6.34,都市：住
RPOOMLTKNHPFFBE68CA,五塊厝段,25.04,都市：住
RPWNMLKLNHPFFBE58CA,五權段,18.13,都市：住
RPTPMLTKNHPFFBE66CA,林德官段一小段,24.48,都市：住
RPQOMLLLNHPFFBE18CA,新興段四小段,11.46,都市：商
RPUNMLNKNHPFFCE68CA,坪頂段,180.06,都市：住
RPXNMLPLNHPFFBE56CA,成功段,3.76,都市：商
RPROMLLLNHPFFCE38CA,愛群段,29.91,都市：商
RPQOMLLLNHPFFCE28CA,愛群段,14.95,都市：商
RPTNMLOKNHPFFCE68CA,鎮昌段,41.67,都市：住
RPPNMLOKNHPFFCE28CA,瑞隆段二小段,18.58,都市：住
RPXNMLNJOHPFFCE98CA,鎮昌段,242.00,都市：住
RPROMLOKNHPFFCE58CA,坪頂段,120.97,都市：住
RPUNMLOKNHPFFCE78CA,鎮昌段一小段,2.77,都市：商
RPUNMLOKNHPFFCE78CA,鎮昌段一小段,12.04,都市：商
RPSOMLLJOHPFFCE38CA,瑞隆段三小段,42.50,都市：住
RPPNMLMJOHPFFCE08CA,瑞隆段二小段,26.35,都市：住
RPPNMLMJOHPFFCE08CA,瑞隆段二小段,2.02,都市：商
RPOOMLNKNHPFFDE28CA,大港段,30.00,都市：住
RPQOMLNKNHPFFDE48CA,獅頭段一小段,21.02,都市：住
RPUOMLOKNHPFFDE98CA,鼎泰段,3.06,都市：住
RPVPMLNKNHPFFDE09CA,三塊厝段,25.00,都市：其他
RPVNMLMKNHPFFDE78CA,三塊厝段四小段,49.00,都市：住
RPQRMLPKNHPFFDE98CA,獅頭段一小段,1050.82,都市：商
RPXOMLSKNHPFFDE07CA,鼎盛段,45.02,都市：其他
RPQPMLNKNHPFFDE58CA,鼎泰段,53.98,都市：住
RPTOMLOKNHPFFDE88CA,獅頭段,3.62,都市：商
RPRPMLOKNHPFFDE78CA,灣復段,5.67,都市：商
RPQQMLMJOHPFFDE58CA,覆鼎金段覆鼎金小段,13.65,都市：住
RPTQMLMJOHPFFDE88CA,覆鼎金段覆鼎金小段,13.65,都市：住
RPRQMLMJOHPFFDE68CA,覆鼎金段覆鼎金小段,13.65,都市：住
RPSQMLMJOHPFFDE78CA,覆鼎金段覆鼎金小段,18.59,都市：住
RPVQMLMJOHPFFDE09CA,覆鼎金段覆鼎金小段,19.76,都市：住
RPUQMLMJOHPFFDE98CA,覆鼎金段覆鼎金小段,19.76,都市：住
