編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPSOMLLKNHPFFCE58CC,坡道平面,0,24.85
RPWNMLMKNHPFFEE56CC,坡道平面,0,36.19
RPUNMLNKNHPFFBE78CC,坡道平面,2200,14.64
RPVNMLNKNHPFFBE88CC,坡道平面,1700,12.66
RPOOMLMKNHPFFBE18CC,坡道平面,0,16.84
RPUQMLNKNHPFFDE66CC,坡道平面,0,26.28
RPVNMLNKNHPFFCE98CC,坡道平面,0,24.85
RPTOMLNKNHPFFFE56CC,坡道平面,0,
RPVOMLNKNHPFFFE76CC,坡道平面,1319,24.91
RPSNMLOKNHPFFAE58CC,升降平面,0,6.03
RPRPMLOKNHPFFEE09CC,坡道平面,0,
RPQPMLOKNHPFFEE98CC,坡道平面,0,
RPOOMLPKNHPFFCE58CC,坡道機械,5500,4.88
RPXOMLPKNHPFFEE07CC,坡道平面,0,34.79
RPSNMLPKNHPFFEE09CC,坡道平面,0,20.67
RPTNMLPKNHPFFGE76CC,坡道平面,0,20.22
RPUOMLSKNHPFFCE86CC,坡道機械,0,10.73
RPPOMLSKNHPFFBE88CC,塔式車位,2500,8.26
RPPOMLSKNHPFFBE88CC,一樓平面,3400,16.52
RPPOMLSKNHPFFBE88CC,塔式車位,2500,8.26
RPPOMLSKNHPFFBE88CC,塔式車位,2500,8.26
RPPOMLSKNHPFFBE88CC,塔式車位,2500,8.26
RPPOMLSKNHPFFBE88CC,塔式車位,2500,8.26
RPPOMLSKNHPFFBE88CC,塔式車位,2500,8.26
RPPOMLSKNHPFFBE88CC,塔式車位,2500,8.26
RPPOMLSKNHPFFBE88CC,塔式車位,2500,8.26
RPPOMLSKNHPFFBE88CC,塔式車位,2500,8.26
RPPOMLSKNHPFFBE88CC,塔式車位,2500,8.26
RPPOMLSKNHPFFBE88CC,塔式車位,2500,8.26
RPPOMLSKNHPFFBE88CC,塔式車位,2500,8.26
RPOOMLSKNHPFFBE78CC,一樓平面,0,16.52
RPOOMLSKNHPFFBE78CC,一樓平面,0,16.52
RPOOMLSKNHPFFDE98CC,坡道平面,0,
RPQQMLSKNHPFFEE86CC,坡道平面,0,30.67
RPQNMLSKNHPFFAE78CC,坡道平面,0,26.33
RPTOMLTKNHPFFBE76CC,坡道平面,2000,14.64
RPUOMLTKNHPFFBE86CC,坡道平面,1600,14.64
