鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
板橋區,房地(土地+建物),新北市板橋區南雅東路1~30號,9.76,商,,,1090405,土地2建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940525,76.44,2,2,1,有,有,9600000,125589,,0.0,0,含增建或未登記建物。;,RPQNMLMKNHPFFAF08CA
板橋區,房地(土地+建物)+車位,新北市板橋區縣民大道三段270巷1~30號,24.18,工,,,1090401,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0940128,203.47,4,2,2,有,有,23000000,113039,坡道平面,38.09,0,含增建或未登記建物。;,RPRNMLMKNHPFFAF18CA
板橋區,房地(土地+建物),新北市板橋區南雅南路一段1~30號,3.2,商,,,1090316,土地1建物1車位0,十一層,十一層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0830528,37.19,0,1,1,有,有,3700000,99489,,0.0,0,含增建或未登記建物。;,RPTNMLMKNHPFFAF38CA
板橋區,房地(土地+建物),新北市板橋區金門街103巷1~30號,32.58,住,,,1090410,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670707,96.69,3,2,2,有,無,8600000,88944,,0.0,0,含增建或未登記建物。;,RPSNMLNKNHPFFAF38CA
板橋區,房地(土地+建物),新北市板橋區金華街10巷31~60號,87.0,住,,,1090330,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0600525,89.11,6,3,3,有,無,13000000,145887,,0.0,0,親友間買賣; 含增建部分,RPXNMLNKNHPFFAF88CA
板橋區,房地(土地+建物)+車位,新北市板橋區金門街379巷1~30號,36.3,住,,,1090218,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791226,175.88,3,2,2,有,有,14500000,82443,坡道平面,0.0,0,含增建或未登記建物。;,RPOOMLNKNHPFFAF08CA
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路151~180號,6.61,商,,,1090427,土地1建物1車位1,五層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071227,108.08000000000001,2,1,1,有,有,15000000,138786,坡道平面,23.98,0,,RPPPMLNKNHPFFAF28CA
板橋區,房地(土地+建物),新北市板橋區光環路二段61~90號,13.52,住,,,1090321,土地1建物1車位0,十五層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1071213,93.66,2,2,2,有,有,13720000,146487,,0.0,0,,RPQNMLTKNHPFFAF78CA
板橋區,房地(土地+建物),新北市板橋區民權路202巷13弄31~60號,59.0,住,,,1090321,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0600419,78.4,3,2,2,有,無,14000000,178571,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPPOMLRLNHPFFAF68CA
