編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLMKNHPFFAF08CA,新興段,9.74,都市：商
RPQNMLMKNHPFFAF08CA,新興段,.02,都市：其他
RPOOMLNKNHPFFAF08CA,振興段,36.30,都市：住
RPPOMLRLNHPFFAF68CA,大庭段,59.00,都市：住
RPXNMLNKNHPFFAF88CA,大庭段,87.00,都市：住
RPTNMLMKNHPFFAF38CA,新興段,3.20,都市：商
RPQNMLTKNHPFFAF78CA,光環段,13.52,都市：住
RPRNMLMKNHPFFAF18CA,光仁段,24.18,都市：工
RPSNMLNKNHPFFAF38CA,篤行段,11.86,都市：住
RPSNMLNKNHPFFAF38CA,篤行段,20.72,都市：住
RPSPMLTLNHPFFAF66CA,重慶段,10.20,都市：商
RPSPMLTLNHPFFAF66CA,重慶段,10.70,都市：商
RPPPMLNKNHPFFAF28CA,江翠段,6.61,都市：商
RPVQMLLKNHPFFBF88CA,瓊林段,95.83,都市：其他
RPORMLNJOHPFFAF38CA,光華段,.93,都市：住
RPVQMLMKNHPFFBF98CA,公館段,662.95,都市：工
RPVQMLMKNHPFFBF98CA,公館段,23.11,都市：其他
RPVQMLNJOHPFFAF98CA,光華段,19.58,都市：住
RPTQMLNJOHPFFAF78CA,光華段,21.33,都市：住
RPTOMLMKNHPFFBF58CA,昌隆段,12.07,都市：其他
RPRPMLPJOHPFFAF68CA,江子翠段溪頭小段,14.11,都市：住
RPSPMLPJOHPFFAF78CA,江子翠段溪頭小段,14.99,都市：住
RPROMLMKNHPFFBF38CA,四維段,8.69,都市：住
RPRQMLMKNHPFFBF58CA,和平段,13.81,都市：住
RPSRMLMKNHPFFBF78CA,力行段,9.60,都市：住
RPPOMLNKNHPFFBF28CA,龍鳳段,1.75,都市：住
RPVOMLNKNHPFFBF88CA,光榮段,9.95,都市：住
RPWOMLNKNHPFFBF98CA,光榮段,9.95,都市：住
RPTOMLNKNHPFFBF68CA,光榮段,12.87,都市：住
RPRSMLMKNHPFFBF78CA,國宅段,21.02,都市：住
RPQRMLNKNHPFFBF68CA,裕民段,60.20,都市：其他
RPQNMLNKNHPFFBF28CA,建林段,58.98,都市：住
RPSOMLNKNHPFFBF58CA,光榮段,12.87,都市：住
RPOPMLNKNHPFFBF28CA,丹鳳段,21.16,都市：住
RPTQMLNKNHPFFBF88CA,國宅段,26.52,都市：住
RPTNMLOKNHPFFBF68CA,芳洲段,22.63,都市：住
RPUNMLLLNHPFFBF58CA,力行段,884.45,都市：住
RPPQMLOKNHPFFBF58CA,文程段,9.96,都市：其他
RPPQMLOKNHPFFBF58CA,文程段,.16,都市：其他
RPPQMLOKNHPFFBF58CA,文程段,.03,都市：其他
RPSNMLOKNHPFFBF58CA,芳洲段,22.75,都市：住
RPWNMLOKNHPFFBF98CA,力行段,19.42,都市：商
RPXSMLSKNHPFFBF37CA,瓊林段,31.66,都市：住
RPUNMLPKNHPFFBF88CA,富國段,5.26,都市：住
RPPUMLSKNHPFFBF76CA,芳洲段,.28,都市：住
RPVNMLOKNHPFFBF88CA,芳洲段,23.01,都市：住
RPORMLLLNHPFFBF38CA,同榮段,19.33,都市：住
RPORMLLLNHPFFBF38CA,同榮段,.01,都市：住
RPORMLLLNHPFFBF38CA,同榮段,2.91,都市：住
RPSOMLMKNHPFFCF58CA,黎明段,56.21,都市：其他
RPSOMLMKNHPFFCF58CA,安坑段車子路小段,.09,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSOMLMKNHPFFCF58CA,安坑段車子路小段,1.36,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSOMLMKNHPFFCF58CA,安坑段車子路小段,5.77,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSOMLMKNHPFFCF58CA,安坑段車子路小段,1.06,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSOMLMKNHPFFCF58CA,安坑段車子路小段,.83,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSOMLMKNHPFFCF58CA,黎明段,.03,都市：其他
RPSOMLMKNHPFFCF58CA,黎明段,1.64,都市：其他
RPSOMLMKNHPFFCF58CA,黎明段,.81,都市：其他
RPSOMLMKNHPFFCF58CA,黎明段,.14,都市：其他
RPSOMLMKNHPFFCF58CA,黎明段,.00,都市：其他
RPSNMLNKNHPFFCF58CA,中華段,2.39,都市：其他
RPSNMLNKNHPFFCF58CA,中華段,31.20,都市：住
RPQPMLTKNHPFFCF56CA,永業段,18.09,都市：其他
RPPPMLLLNHPFFCF38CA,中華段,45.96,都市：住
RPPPMLLLNHPFFCF38CA,中華段,7.53,都市：其他
RPVOMLMKNHPFFCF88CA,中正段,35.13,都市：住
RPSOMLNKNHPFFCF68CA,復興段,63.83,都市：工
RPRNMLSLNHPFFCF09CA,民安段,15.04,都市：住
RPROMLQLNHPFFCF98CA,香坡段,45.01,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSPMLKLNHPFFCF58CA,香坡段,3.27,非都市：山坡地保育區 ; 非都市編定：林業用地
RPSPMLKLNHPFFCF58CA,香坡段,123.21,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSPMLKLNHPFFCF58CA,香坡段,3.87,非都市：山坡地保育區 ; 非都市編定：遊憩用地
