編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWPMLMKNHPFFAG98CA,37,25.74,住家用,鋼筋混凝土造,72年7月19日,十一層,十層
RPWPMLMKNHPFFAG98CA,37,4.72,見其他登記事項,鋼筋混凝土造,72年7月19日,十一層,
RPWPMLMKNHPFFAG98CA,,1.99,見其他登記事項,鋼筋混凝土造,,十層,
RPOOMLLKNHPFFAG97CA,2,216.82,見其他登記事項,見其他登記事項,107年8月30日,三層,一層 二層 三層 見其他登記事項
RPSNMLQKNHPFFAG78CA,1,202.24,住家用,見其他登記事項,108年10月23日,三層,一層 二層 三層
RPTNMLQKNHPFFAG88CA,,197.77,住家用,見其他登記事項,108年10月23日,三層,一層 二層 三層
RPRPMLMKNHPFFAG48CA,24,78.86,住家用,鋼筋混凝土造,85年9月2日,七層,四層
RPRPMLMKNHPFFAG48CA,24,10.88,見其他登記事項,鋼筋混凝土造,85年9月2日,七層,
RPRPMLMKNHPFFAG48CA,24,9.92,見其他登記事項,鋼筋混凝土造,85年9月2日,七層,
RPRPMLMKNHPFFAG48CA,24,9.55,見其他登記事項,鋼筋混凝土造,85年9月2日,七層,
RPSOMLMKNHPFFAG48CA,25,1.15,共有部份,鋼筋混凝土造,84年6月16日,五層,
RPSOMLMKNHPFFAG48CA,25,63.52,住家用,鋼筋混凝土造,84年6月16日,五層,四層
RPVNMLPKNHPFFAG98CA,25,220.48,見其他登記事項,鋼筋混凝土造,83年10月26日,四層,一層 二層 三層 四層
RPWNMLPKNHPFFAG09CA,15,205.80,住商用,鋼筋混凝土造,94年4月13日,三層,一層 二層 三層
RPWOMLTLNHPFFAG07CA,1,237.62,住家用,見其他登記事項,108年9月2日,三層,一層 二層 三層 見其他登記事項
RPSOMLMKNHPFFBG58CA,26,96.78,住家用,鋼筋混凝土造,83年2月7日,七層,四層
RPSOMLMKNHPFFBG58CA,26,31.85,共有部分,鋼筋混凝土造,83年2月7日,七層,
RPSOMLMKNHPFFBG58CA,26,7.29,共有部分,鋼筋混凝土造,83年2月7日,七層,
RPXNMLLKNHPFFBG88CA,42,65.27,住商用,鋼筋混凝土加強磚造,67年8月8日,三層,二層
RPUNMLQLNHPFFAG09CA,1,102.22,見其他登記事項,見其他登記事項,108年9月3日,十二層,八層
RPUNMLQLNHPFFAG09CA,1,54.36,見其他登記事項,見其他登記事項,108年9月3日,十二層,
RPUNMLQLNHPFFAG09CA,1,20.07,見其他登記事項,見其他登記事項,108年9月3日,十二層,
RPUOMLTLNHPFFAG86CA,24,205.62,住家用,鋼筋混凝土造,84年11月6日,三層,一層 二層 三層
RPSNMLMKNHPFFBG68EA,25,84.11,住家用,鋼筋混凝土造,84年4月26日,七層,五層
RPSNMLMKNHPFFBG68EA,25,14.35,共有部分,鋼筋混凝土造,84年4月26日,七層,
RPSNMLMKNHPFFBG68EA,25,8.22,共有部分,鋼筋混凝土造,84年4月26日,七層,
RPTOMLOKNHPFFBG88CA,47,68.45,住家用,鋼筋混凝土加強磚造,62年7月21日,一層,一層 騎樓
RPPPMLTLNHPFFBG56CA,11,38.85,見其他登記事項,鋼筋混凝土造,98年10月8日,十三層,七層
RPPPMLTLNHPFFBG56CA,11,17.46,見其他登記事項,鋼筋混凝土造,98年10月8日,十三層,
RPPPMLTLNHPFFBG56CA,11,12.12,見其他登記事項,鋼筋混凝土造,98年10月8日,十三層,
RPPNMLOKNHPFFBG58EA,4,217.79,見其他登記事項,鋼筋混凝土造,105年2月5日,三層,一層 二層 三層 見其他登記事項
RPXNMLSKNHPFFBG17EA,22,223.22,住家用,鋼筋混凝土造,87年7月22日,四層,一層 二層 三層 四層
RPRNMLSLNHPFFBG09CA,6,410.47,農舍,鋼筋混凝土造,103年5月14日,三層,一層 二層 三層
