編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUPMLMKNHPFFAH88CA,2,33.51,見其他登記事項,鋼筋混凝土造,107年9月10日,二十四層,
RPXNMLMKNHPFFAH98CA,25,.21,見其他登記事項,鋼筋混凝土造,84年5月19日,十六層,地下一層
RPXNMLMKNHPFFAH98CA,25,71.19,共有部份,鋼筋混凝土造,84年5月19日,十六層,
RPXNMLMKNHPFFAH98CA,25,155.94,住家用,鋼筋混凝土造,84年5月19日,十六層,十四層 十五層
RPXNMLMKNHPFFAH98CA,25,29.26,共有部份,鋼筋混凝土造,84年5月19日,十六層,
RPXNMLMKNHPFFAH98CA,25,17.75,共有部份,鋼筋混凝土造,84年5月19日,十六層,
RPVPMLLKNHPFFAH88CA,26,65.29,住家用,鋼筋混凝土造,82年10月30日,十層,五層
RPVPMLLKNHPFFAH88CA,26,12.63,共有部份,鋼筋混凝土造,82年10月30日,十層,
RPQQMLLKNHPFFAH48CA,25,40.76,住家用,鋼筋混凝土造,84年4月19日,十九層,十五層
RPQQMLLKNHPFFAH48CA,25,6.95,共有部份,鋼筋混凝土造,84年4月19日,二十層,
RPQQMLLKNHPFFAH48CA,25,1.46,共有部份,鋼筋混凝土造,84年4月19日,十九層,
RPWPMLMKNHPFFAH09CA,27,14.25,共有部份,鋼筋混凝土造,82年8月12日,五層,
RPWPMLMKNHPFFAH09CA,27,88.78,住家用,鋼筋混凝土造,82年8月12日,五層,二層
RPWPMLMKNHPFFAH09CA,27,22.37,共有部份,鋼筋混凝土造,82年8月12日,五層,
RPXPMLNKNHPFFAH66CA,25,51.58,見其他登記事項,鋼筋混凝土造,84年4月14日,十七層,六層
RPXPMLNKNHPFFAH66CA,25,2.94,共有部份,鋼筋混凝土造,84年4月14日,十七層,
RPXPMLNKNHPFFAH66CA,25,10.07,共有部份,鋼筋混凝土造,84年4月14日,十七層,
RPROMLMKNHPFFAH48CA,24,.06,住家用,鋼筋混凝土造,85年1月6日,五層,一層
RPROMLMKNHPFFAH48CA,24,.01,共有部份,鋼筋混凝土造,85年1月6日,五層,
RPROMLMKNHPFFAH48CA,24,28.47,共有部份,鋼筋混凝土造,85年1月6日,五層,
RPQNMLNKNHPFFAH38CA,24,24.60,住家用,鋼筋混凝土造,85年1月18日,十二層,十二層
RPQNMLNKNHPFFAH38CA,24,9.99,共有部份,鋼筋混凝土造,85年1月18日,十二層,
RPQNMLMKNHPFFAH28CA,26,79.77,見其他登記事項,鋼筋混凝土造,83年7月26日,十二層,十二層
RPQNMLMKNHPFFAH28CA,26,3.68,共有部份,鋼筋混凝土造,83年7月26日,十二層,
RPQNMLMKNHPFFAH28CA,26,2.62,共有部份,鋼筋混凝土造,83年7月26日,十二層,
RPTSMLSKNHPFFAH07CA,20,24.60,共有部份,鋼筋混凝土造,89年9月22日,十四層,
RPQPMLSKNHPFFAH09CA,38,85.13,住家用,鋼筋混凝土造,70年10月24日,五層,三層
